first_checkpoint_271.0,second_checkpoint_283.0,end_evolution_300.0
,,
4594.455646773773,4594.45468403473,4594.4534531117315
,,
2321.636575289917,2321.636206003636,2321.6357338449943
,,
,,
2931.676587464672,2931.672026280949,2931.666194628177
1639.019715559007,1639.0174392854433,1639.0145292292618
3153.910510877456,3153.906315012141,3153.900950922721
3490.0125055953285,3490.0118824165907,3490.0110856430806
,,
,,
1584.943943100306,1584.9371973939217,1584.9285737134262
2267.289665346875,2267.288943139587,2267.2880197701106
,,
4246.701922341139,4246.701608145601,4246.701206416448
1926.98095101812,1926.92868977623,1926.8618535937228
4990.294928435945,4990.294226087975,4990.293328090459
,,
,,
4480.423276671482,4480.422698951957,4480.421960293564
2776.611241864344,2776.6104598030697,2776.609459904588
3167.2042666478105,3167.195382616979,3167.184025041254
4819.978094427026,4819.975624471748,4819.972468178108
,,
1340.7140945283008,1340.7131714272723,1340.711991235558
,,
,,
1756.5251136163097,1756.5216540089757,1756.517231306147
5000.507446219849,5000.507061736878,5000.506570141211
1913.558931603301,1913.5582776667056,1913.557441581219
3138.66202881351,3138.661442686043,3138.660693285406
,,
4005.468060409096,4005.467434881136,4005.466635103392
,,
,,
,,
3740.5282389074514,3740.525156129732,3740.52121456345
,,
5264.185489002983,5264.184148728397,5264.18243510187
1075.6239330305025,1075.610393039939,1075.593085285576
,,
5133.738198337798,5133.738279010424,5133.738386000514
2941.386713033839,2941.386346890122,2941.3858787493386
,,
2779.031363068285,2779.020529119935,2779.0066771166335
4365.508678445861,4365.508191743289,4365.507569463352
,,
1342.405085364827,1342.4008394275925,1342.3954117611027
2582.0541534741087,2582.0518494632643,2582.0489039333866
1872.019854711644,1871.9811047062296,1871.9315611717086
980.1968961248784,2298.568094581899,1040.746447173137
4761.8967841877,4761.896228119149,4761.895517139619
,,
3217.595523636023,3217.5952792560693,3217.5949667989444
4132.827771914782,4132.826652364447,4132.8252209827115
,,
3929.469205157736,3929.468430395637,3929.4674398508278
5067.550994278339,5067.548958587465,5067.546355796216
1331.3843698591438,1331.3811711961716,1331.3770820684902
4792.18064219766,4792.177563799315,4792.173627884506
1579.5360050442275,1579.5354785178308,1579.5348053279572
,,
4668.577188256309,4668.574806462468,4668.571761219197
4170.507819922462,4170.507640850657,4170.5074164744
2462.185201151715,2462.1848446969507,2462.1843889520546
,,
1387.2818474236872,1387.28083182968,1387.279533395672
5347.350404071595,5347.348988322536,5347.347178192337
1881.66751201892,1881.661518888747,1881.653856856262
1512.7027280890325,1512.681911981579,1512.6553043005476
2951.57383873037,2951.5733042976344,2951.5726209908316
2518.308173220112,2518.306705200152,2518.3048283258327
,,
,,
5063.7406375945575,5063.740447753133,5063.740205026514
,,
2176.851810539202,2176.848012378544,2176.843156420057
5109.460247170247,5109.459370472342,5109.458249547774
,,
3484.6307405428247,3484.629906905108,3484.6288410628204
,,
,,
4087.821596998632,4087.8174055414943,4087.812046450052
1436.7106541061498,1436.7057207935386,1436.6994144449616
2201.2855547501804,2201.284404973067,2201.2829349811914
5504.365655683586,5504.365359372039,5504.364980508874
5631.745164511244,5631.74434919443,5631.743306758922
1626.6969997640192,1626.6965692855597,1626.696018900249
4635.159211139972,4635.158984773995,4635.158695344826
4140.423616109982,4140.422472832021,4140.421011093811
3995.182917551552,3995.1824497299526,3995.1818515816867
,,
,,
2033.017448382852,2033.013098789296,2033.007538129087
1567.7163652287038,1567.7158058574062,1567.7150906730276
2688.615551107082,2688.61410170435,2688.6122486236923
3455.665510026647,3455.665020972873,3455.6643956814387
1606.448296744416,1606.4474378162165,1606.4463396611586
4987.829519859016,4987.826976745638,4987.823725326326
,,
1933.4633713877213,2785.9658981231087,2888.2102794524017
3309.6089390268257,3309.608492953665,3309.6079226210522
,,
5225.286525896012,5225.28498700689,5225.283019471935
,,
2377.168400532559,2377.146575675428,2377.1186642028233
1992.717457872253,1992.7141043798597,1992.7098171525402
2526.121338129815,2526.119642998638,2526.1174758113016
4479.920105713173,4479.919765226949,4479.919329889002
4842.799404312368,4842.799176424819,4842.798885052111
2434.233988119798,2434.2301914810128,2434.2253377127663
5596.448412245951,5596.448127057175,5596.447762410548
2586.182107200485,2586.180126137559,2586.1775933826525
1736.2198658571554,1736.2187423151256,1736.2173058812332
2873.207830545724,2873.207011821387,2873.2059650485853
4999.669876667894,4999.668794859122,4999.6674117188
,,
