first_checkpoint_271.0,second_checkpoint_283.0,end_evolution_300.0
78576.56741931039,78576.55819339633,78576.5463974525
98459.59587325812,98459.5356666129,98459.45869905398
,,
,,
59667.38770413671,59667.37850697075,59667.36674788108
,,
73087.03255603983,73086.91169907356,73086.7571860535
,,
68876.64034763648,68875.92239614081,68875.00451835415
66394.88521407398,66394.86059360695,66394.82911700296
,,
53629.15297495981,53629.14552754875,53629.1360055454
81333.17226167796,81333.13316739445,81333.0831845661
,,
46575.49826028768,46575.475619513134,46575.446672418686
51596.836714140656,51596.8267079349,51596.81391453916
47199.8566323983,47199.84796439119,47199.8368820021
62270.584072717975,62270.57720902339,62270.56843327312
83489.2491359254,83489.22431861337,83489.1925888728
66079.83763950467,66079.82571307746,66079.81046467238
52950.374877548056,52950.13005775629,52949.81706447969
,,
,,
31236.66249762034,31236.65364795397,31236.642333518135
45900.2786117721,45900.26150374176,45900.23963129115
105311.82688358668,105311.81605054786,105311.80220010117
44302.194458865626,44302.16406554993,44302.125207108504
,,
,,
51532.83913987355,51532.7536354796,51532.64431327316
110550.52092900952,110550.3565428412,110550.14640263561
63972.067352704886,63972.0556042724,63972.04058348649
39512.04720744518,39511.88455558004,39511.6765976245
,,
,,
107600.72116809622,107600.61156818044,107600.47145202267
32553.320010946565,32553.30898661589,32553.29489198278
103225.33425022598,103225.32243937206,103225.30733879778
68538.13701700312,68537.7873311658,68537.34032072772
52535.64836500443,52535.63748555457,52535.62357586887
,,
41335.60938102816,41335.593910012176,41335.57413008019
,,
39971.7606939458,39971.74893752007,39971.7339066987
,,
,,
,,
87137.52106629008,87137.51292339794,87137.50251211287
97943.83416531172,97943.78848978192,97943.7300979828
,,
94337.59548785508,94337.5347425234,94337.45708600365
78227.65138795019,78227.47606467726,78227.25195626277
,,
81895.44807548233,81895.42944428987,81895.40562346224
41007.42982204448,41007.40604492631,41007.375645110136
40795.02194110024,40795.00911615095,40794.99271913621
,,
73807.77812512321,73807.71838959999,73807.6420218625
33952.89943795351,33952.88899981199,33952.87565461529
61839.77121552934,61839.7553089674,61839.734972225466
96494.03433207124,96494.02596642992,96494.01527037975
96377.767784548,96377.72284696456,96377.66539430614
42599.668214404905,42599.65380478196,42599.63538162964
110321.770330298,110321.80295114778,110321.84515462705
86976.90382900329,86976.82355329396,86976.7209339673
,,
,,
84118.86368448236,84118.3591488937,84117.71414783734
,,
59872.826434596216,59872.74145044716,59872.632805915695
,,
,,
,,
,,
79760.76071601703,79760.74544633311,79760.72592369291
37267.579365824015,37267.47484165816,37267.34121610364
60989.07903841199,60989.07141856988,60989.06167610779
94418.11216697242,94418.07545368285,94418.02851555585
,,
,,
,,
69443.14163022982,69443.10275440112,69443.05305134246
