changing_M_i_at_271.0,changing_M_i_at_283.0,changing_M_i_at_300.0
0.0,0.0,0.0
22081.15363287959,22080.60353849752,22079.90002760248
22822.981418227755,22822.372589737795,22821.594324507445
23544.16422570376,23543.476239774813,23542.61741971905
24245.39016015668,24244.23363223534,24243.397246413686
24934.94453450012,24927.31803876332,24927.764401275355
25689.99759850411,25668.39127545548,25668.34970790965
26562.04662776225,27478.75086124076,27426.44734161001
31471.4998004316,27637.86234908525,25683.54982103353
41025.59394262114,17040.711843021058,17709.800518526998
49500.74837772085,17078.8132233866,17274.773759654403
18914.943357177588,32465.745948352807,18128.962259018976
22186.623694346104,21151.844333049467,53948.66400188552
22749.836784320225,22574.257190431643,18322.885603609677
25191.552388216733,22909.15120814968,44232.46876197244
20967.771917924,26482.49502682416,20052.320637634588
37218.43190964379,21863.571335643734,46261.87353881478
22081.42083846251,34216.077028304055,22078.57682012057
50160.838195473705,23101.82453959772,45545.7017391039
24965.587037980604,38411.48072865952,24249.207033791692
45270.28847156941,25551.049337980457,35847.06158847784
27366.50043618176,33178.954040754536,29377.268627735662
34830.54025350252,31762.91334107606,31286.502344967877
32429.143129096326,32489.883343817222,32326.099068700518
32823.13266323105,32815.27508368958,32801.81466843197
33336.790127773755,33328.10364649429,33316.96052529677
33939.69005383154,33931.46850235405,33920.961382709815
34613.737313575955,34605.98788006689,34596.08900572034
35343.2272110729,35335.91008268254,35326.566479070876
36115.87687246202,36108.9427740396,36100.090377738496
36922.409921028295,36915.81096799784,36907.387903081275
37755.870315364,37749.56375737529,37741.514963402326
38611.014348707,38604.963344325326,38597.24146989616
39483.84686406188,39478.02011778653,39470.58499721545
40371.28521638121,40365.65625940056,40358.473957169954
41270.91958784935,41265.46601705137,41258.50783290207
42180.8420532575,42175.54484260144,42168.78641753763
43099.52380786505,43094.36672307461,43087.78728254003
44025.72606242445,44020.695177434725,44014.27690768608
44958.43460352704,44953.51790603813,44947.24544636827
45896.81114390187,45891.9982150959,45885.85824608987
46840.15671653885,46835.43847105423,46829.41938066045
47787.88380934762,47783.25228366921,47777.34389567292
48739.494917759606,48734.94309734747,48729.13644970175
49694.56586410798,49690.08754151529,49684.37470451036
50652.7326966374,50648.32235447056,50642.69628081008
51613.68130503137,51609.33401889468,51603.78841942087
52577.13911807931,52572.850475665655,52567.37971579396
53542.86841233794,53538.63444562709,53533.23345858471
54510.66087835298,54506.478006504,54501.14222027168
55480.33317678859,55476.19815780198,55470.9234332889
56451.72327993707,56447.633169544846,56442.41574801909
57424.687440978574,57420.63955752177,57415.47601570475
58399.09766852109,58395.08956281068,58389.97677434984
59374.8396105345,59370.86903988068,59365.804142154906
60351.81077206413,60347.875677807264,60342.856043212174
61329.91900668101,61326.01749467794,61321.04070569065
62309.08123368279,62305.21155729772,62300.275384744346
63289.22234245558,63285.38288768214,63280.48527173037
64270.274252782496,64266.46352518663,64261.60255866588
65252.17510570967,65248.3917189338,65243.565632651094
66234.86856420874,66231.11122981978,66226.318379593
67218.30320657103,67214.5707250689,67209.80958024334
68202.43199844766,68198.72325127937,68193.992384529
69187.2118318425,69183.52577429029,69178.82385253596
70172.6031213226,70168.93877615448,70164.26455245615
71158.5694492955,71154.92590108232,71150.27820738251
72145.07725350952,72141.4536435265,72136.83138414075
73132.09555100632,73128.49107264874,73123.89321841285
74119.59569363884,74116.00958829123,74111.43517128692
75107.55115100803,75103.98270431376,75099.4308131066
76095.9373172838,76092.38585576977,76087.85563110055
77084.73133888547,77081.19622690223,77076.68685778041
78073.91196043428,78070.3925973768,78065.90331753298
79063.4593867453,79059.95520452398,79055.485289182
80053.35515893869,80049.86561967456,80045.41438260915
81043.58204300648,81040.10663692658,81035.67342777735
82034.1239293931,82030.66217290603,82026.24637472116
83024.96574233593,83021.51717626919,83017.11820325552
84016.09335787228,84012.65754585527,84008.27484131498
85007.49352955916,85004.07005653839,84999.70309097304
85999.1538210696,85995.74229194164,85991.39056130877
86991.06254493025,86987.66258328361,86983.32560739019
87983.20870675704,87979.81995371102,87975.49727473201
88975.58195441843,88972.20406755096,88967.89524866086
89968.17253162505,89964.80518398115,89960.50980808874
90960.97123549976,90957.61411467352,90953.33178325059
91953.96937773612,91950.62218502008,91946.35251701536
92947.15874899313,92943.82119858838,92939.56382942027
93940.53158621678,93937.20340449968,93932.95798512008
94934.08054260896,94930.76146744902,94926.52766347301
95927.79865999742,95924.48844012228,95920.26593101778
96921.6793433852,96918.37773778872,96914.16621612146
97915.71633747945,97912.42311486982,97908.22228559901
98909.90370502352,98906.61864330804,98902.4282231287
99904.235806772,99900.95869257518,99896.77840930365
100898.70728296344,100895.43791117672,100891.2675031758
101893.31303616337,101890.05120952314,101885.89042516389
102888.04821535877,102884.79374405132,102880.6423412089
103882.90820119978,103879.66090249058,103875.5186480712
104877.88859229189,104874.64829017756,104870.51495967481
