euler,RK_rtol_1e-05_atol_1e-08,RK_rtol_1e-06_atol_1e-09
21621.98253966741,21621.975332715607,21621.98387678494
21621.982539667395,21621.99118318174,21621.986541181646
21621.98253966741,21622.0199556997,21621.984535343057
21621.98253966741,21621.9908329426,21621.98487992306
21621.982539667424,21621.98686520178,21621.984377357006
21621.98253966741,21622.003667190744,21621.986036318056
21621.982539667457,21621.975221805744,21621.984550152276
21621.982539667417,21621.98846337581,21621.983909141378
21621.98253966745,21621.992890007597,21621.9843609182
21621.98253966744,21621.990410627983,21621.98453655922
21621.982539667424,21621.987264258554,21621.984451518667
21621.98253966745,21621.994618018198,21621.98464542608
21621.98253966741,21621.98871290467,21621.984316256283
21621.98253966745,21622.02695993158,21621.986082520245
21621.98253966746,21621.99189288795,21621.98490545398
21621.982539667453,21621.994242645535,21621.98407217837
21621.98253966745,21621.989816700745,21621.98399212452
21621.98253966745,21621.988779877825,21621.984238448713
21621.98253966745,21621.989579691854,21621.984505772834
21621.982539667453,21621.99059630142,21621.985050885865
21621.982539667453,21622.001516924305,21621.986130099
21621.982539667453,21621.994586198907,21621.982731525648
21621.982539667453,21622.0042329919,21621.983817153636
21621.982539667453,21621.993795730737,21621.98485092139
21621.98253966745,21621.986770556683,21621.98280983938
21621.98253966745,21621.995703873046,21621.984160096486
21621.982539667453,21621.98702710184,21621.98488561428
21621.982539667453,21621.99649294649,21621.98421956705
21621.982539667453,21621.99328218572,21621.98467414337
21621.982539667453,21621.988676060875,21621.982984986284
21621.982539667453,21621.988805124514,21621.982763612137
21621.982539667453,21621.998113595306,21621.983058761594
21621.982539667453,21622.0074762082,21621.983932669307
21621.982539667453,21621.990457271582,21621.98393778204
21621.982539667453,21621.99704357152,21621.9838180111
21621.982539667453,21621.98859769603,21621.982020723346
21621.982539667453,21621.98793928677,21621.983898464638
21621.98253966746,21621.988264022195,21621.985204823297
21621.98253966745,21622.00519029565,21621.984283739897
21621.982539667453,21621.99804466994,21621.97991371371
21621.98253966745,21621.99663909223,21621.979892205458
21621.98253966745,21621.99505956139,21621.98430059101
21621.98253966745,21621.987822748662,21621.98562607572
21621.98253966745,21621.98798575549,21621.985200919946
21621.98253966745,21621.941949956585,21621.985036345082
21621.982539667457,21621.988641985507,21621.98571833119
21621.982539667457,21621.992390840125,21621.984337230522
21621.982539667468,21622.01463945196,21621.98433401759
21621.98253966745,21621.99148184194,21621.984203050513
21621.98253966745,21621.970805596506,21621.98403410072
21621.98253966746,21621.976729833637,21621.983968013035
21621.98253966746,21621.97764465391,21621.98250897697
21621.98253966742,21621.97661668857,21621.983861463723
21621.98253966746,21621.975744760293,21621.984735462258
21621.98253966745,21621.98850449987,21621.98309066463
21621.982539667453,21621.989465139453,21621.9824581882
21621.98253966745,21621.987421986243,21621.983111737776
21621.98253966745,21621.99224702244,21621.984006747643
21621.982539667453,21621.99887213265,21621.98307877021
21621.982539667457,21621.98695508088,21621.984633816763
21621.98253966744,21621.99423318415,21621.98399355479
21621.98253966746,21621.979530614524,21621.98252804292
21621.98253966746,21621.976750506437,21621.987188534058
21621.98253966744,21621.98786218634,21621.98543863071
21621.98253966746,21621.99032347069,21621.98516910234
21621.98253966745,21621.99028532497,21621.982421016182
21621.98253966745,21621.99417795448,21621.983953165633
21621.98253966742,21621.99060700177,21621.98390218092
21621.98253966745,21621.998710639564,21621.98392515095
21621.98253966746,21621.99073060604,21621.9853715691
21621.98253966745,21621.991545997786,21621.986840136145
21621.982539667457,21621.993776534728,21621.984439875807
21621.98253966746,21621.995003708027,21621.98398409583
21621.982539667453,21621.998816739066,21621.984541001177
21621.982539667453,21621.98830822997,21621.985086483044
21621.982539667453,21621.994545288937,21621.98527241667
21621.98253966746,21621.999628805253,21621.984742431076
21621.982539667457,21621.99815022329,21621.98387745344
21621.98253966744,21621.99202290065,21621.984174218276
21621.982539667468,21621.99053317032,21621.984761258573
21621.98253966745,21621.991094117147,21621.983859346772
21621.98253966745,21621.990218443312,21621.98396587804
21621.98253966746,21621.989452204347,21621.98392805199
21621.98253966745,21621.988448148382,21621.983939290458
21621.98253966744,21621.994335312196,21621.983863784397
21621.982539667457,21621.98865669104,21621.983988277785
21621.982539667457,21621.994796377174,21621.98404344306
21621.98253966746,21622.00205772063,21621.984573526483
21621.98253966745,21622.012606613203,21621.984185525067
21621.98253966745,21622.002154578364,21621.98443890621
21621.98253966745,21622.00116328593,21621.984164427537
21621.98253966745,21621.9980531328,21621.984914031345
21621.98253966745,21621.987766140137,21621.98506281586
21621.98253966746,21621.99223790572,21621.985768046867
21621.98253966745,21621.987053537057,21621.984661258357
21621.98253966745,21621.986910450385,21621.98566460428
21621.98253966744,21621.989168210795,21621.98664183406
21621.98253966745,21621.98748733396,21621.98496143481
21621.98253966746,21621.98720098476,21621.985659559647
21621.98253966744,21621.987358945906,21621.986005358136
,21621.992377472798,21621.98618256114
