euler,RK_rtol_1e-05_atol_1e-08,RK_rtol_1e-06_atol_1e-09
24126.017453867,21621.975332715607,21621.98387678494
24439.199459159696,22210.274461884223,22210.268668126973
24727.28597699097,22719.928730452157,22719.943289898376
24993.68233144185,23169.312069583237,23169.317609807193
25241.139219469616,23570.788268605676,23570.79371028403
25471.91306201896,23933.191042489143,23933.199659106565
25687.879469211628,24263.103970767992,24263.0675077657
25890.615512191143,24565.419165377058,24565.40101985184
26081.4606497551,24844.130365435554,24844.10493881432
26261.5626876642,25102.317385602444,25102.30119835669
26431.91301573639,25342.51226881825,25342.528296060747
26593.3740171373,25566.885634521943,25566.877739845844
26746.700665845907,25777.11037034569,25777.10108967097
26892.55774344028,25974.67616311172,25974.670346330404
27031.533708682444,26160.85574317936,26160.844938202692
27164.151977827536,26336.71131379725,26336.70204583847
27290.880179340755,26503.188138865706,26503.179168961105
27412.13780764766,26661.104977517552,26661.093607487575
27528.30259952964,26811.20014535016,26811.158474472162
27639.715882500743,26954.01489604472,26954.00932332293
27746.687089153824,27090.21151129649,27090.206239614254
27849.497589806,27220.255906009417,27220.250726149072
27948.403964096826,27344.62633407721,27344.582063843005
28043.64080784568,27463.625299063617,27463.609218452322
28135.423152624087,27577.704899484903,27577.69361839925
28223.94856076304,27687.18672581153,27687.156599427803
28309.39894691852,27792.30740756899,27792.301343430885
28391.942168116788,27893.401201731434,27893.399081544998
28471.73341685401,27990.7051441504,27990.692927554268
28548.916445921062,28084.415320699474,28084.410054771884
28623.624648848072,28174.779468120774,28174.75716854196
28695.98201597992,28261.972813101263,28261.932080309838
28766.10398301857,28346.10712589325,28346.102371628494
28834.098186259154,28427.437782615307,28427.433389733123
28900.06513658836,28506.09258065728,28506.074018378287
28964.09882252488,28582.1849420908,28582.1666876812
29026.28725109296,28655.84234673985,28655.837796000396
29086.712934069383,28727.21981894107,28727.208979585146
29145.45332609612,28796.398603792717,28796.39101575048
29202.58122026585,28863.4984841859,28863.490204116926
29258.16510603847,28928.60770807188,28928.602661524023
29312.26949370977,28991.827772677152,28991.820581820546
29364.955209110936,29053.23390504531,29053.228651368303
29416.27966175288,29112.91993018827,29112.908420773576
29466.297089231623,29170.964053554933,29170.937426922294
29515.0587803678,29227.400994817333,29227.3817814288
29562.613279257544,29282.318977638628,29282.310497652277
29609.00657215661,29335.79797498301,29335.786528019467
29654.282258896725,29387.874855517195,29387.868972497785
29698.481710340835,29438.644922136784,29438.6125246769
29741.64421321472,29488.0806036447,29488.074945511875
29783.80710350584,29536.30885296727,29536.30144941014
29825.005889491127,29583.34544517896,29583.340787407724
29865.274365341967,29629.242137638048,29629.238241729523
29904.644716155504,29674.05054587856,29674.036579520285
29943.14761517298,29717.80279537377,29717.772304303162
29980.812313869024,29760.50974994273,29760.49417264568
30017.66672552625,29802.260479167635,29802.228812156573
30053.73750284937,29843.026984990007,29843.014087035663
30089.05011011848,29882.88915868017,29882.885184078714
30123.62889033342,29921.873596409543,29921.8699721669
30157.4971277577,29959.996751527266,29960.000645756896
30190.67710623281,29997.293823211305,29997.30705779233
30223.19016359881,30033.79462226284,30033.811542473337
30255.056742527035,30069.52623714851,30069.541441752666
30286.296438042635,30104.526544569475,30104.52911853853
30316.928041990323,30138.778609560253,30138.7908983326
30346.96958467457,30172.34671878896,30172.35694921962
30376.43837388481,30205.231156991133,30205.238042207486
30405.351031498743,30237.445254938502,30237.463743233246
30433.723527840324,30269.05878101804,30269.052665784882
30461.5712139543,30299.9987742104,30300.01921848918
30488.908851945285,30330.38304137184,30330.388358169497
30515.750643517906,30360.156448123584,30360.175243034675
30542.110256844186,30389.353540630054,30389.39519727911
30568.000851870533,30418.06248380292,30418.06928573449
30593.43510417424,30446.18728207911,30446.208557137616
30618.42522746473,30473.81812625181,30473.825824789143
30642.98299482056,30500.93261369365,30500.946763290594
30667.11975874581,30527.54225134029,30527.570300717445
30690.84647012237,30553.71027200833,30553.720336064347
30714.17369612999,30579.4022018501,30579.409620148297
30737.11163719963,30604.63315441483,30604.645031606717
30759.6701430616,30629.42734202059,30629.439832838838
30781.85872794489,30653.803910265,30653.810301105917
30803.686584980715,30677.75206948963,30677.76496973049
30825.1625998588,30701.30143201972,30701.312596638505
30846.295363782105,30724.457843022807,30724.46672257573
30867.09318576219,30747.22968481653,30747.23384048164
30887.564104294484,30769.58017142194,30769.62786980287
30907.71589845032,30791.65043813443,30791.65519116808
30927.556098419656,30813.30056185532,30813.32544178843
30947.0919955367,30834.62991148051,30834.649599712153
30966.33065181777,30855.62367654567,30855.63352944048
30985.27890903952,30876.279358790456,30876.28312146869
31003.94339738341,30896.580122498573,30896.613554070762
31022.33054367064,30916.588531695124,30916.624191251838
31040.44657921035,30936.32096606636,30936.3278422862
31058.29754728236,30955.71367518037,30955.730874387034
31075.889310274382,30974.832816762115,30974.8400698778
31093.22755649247,30993.655851328866,30993.661433556437
