euler,RK_rtol_1e-05_atol_1e-08
21624.725124831137,21624.716725926755
22212.61973078949,22212.623375157957
22722.00044138267,22721.975246519218
23171.14859612805,23171.141963426835
23572.43932828788,23572.422003295567
23934.690005631524,23934.685693876647
24264.4322083048,24264.475182469225
24566.654490683508,24566.67320708458
24845.262122926724,24845.28367349544
25103.375207187662,25103.39645072927
25343.529492449536,25343.498280536696
25567.816012611915,25567.82589073639
25777.98083483558,25778.022103269857
25975.497979865613,25975.51343483179
26161.62381087304,26161.627893604465
26337.438320473164,26337.4424294777
26503.87696335685,26503.885822591976
26661.75554179081,26661.768502909086
26811.789903089728,26811.797250232168
26954.61170603557,26954.618830555315
27090.781169334707,27090.7888314205
27220.79747534949,27220.805256211443
27345.10733226633,27345.12654012762
27464.112075430465,27464.115583919633
27578.17359922428,27578.184881130728
27687.619344824077,27687.627572046058
27792.74651978432,27792.75328401011
27893.82568806852,27893.830354149584
27991.10384064709,27991.12456581058
28084.80703481995,28084.810478597818
28175.14267335111,28175.15452255842
28262.301481125807,28262.312945710575
28346.459226478622,28346.481080831585
28427.778225941456,28427.789448955366
28506.40866443693,28506.42261758528
28582.489757525425,28582.52474684293
28656.150777923835,28656.15431323084
28727.511964936544,28727.540875583705
28796.685332507343,28796.700491052397
28863.7753891863,28863.785502179522
28928.87978130964,28928.88423465595
28992.08986902747,28992.09476428163
29053.49124343062,29053.534376906468
29113.1641918636,29113.20230165963
29171.1841175339,29171.193802035556
29227.62191870018,29227.626651793184
29282.5443320228,29282.55001326433
29336.014244062557,29336.038515989087
29388.0909744052,29388.098132303418
29438.830533454104,29438.8336888432
29488.28585755814,29488.315304174692
29536.507023819733,29536.521641557774
29583.54144665014,29583.561250324146
29629.43405789677,29629.43958429359
29674.22747215823,29674.258914333073
29717.962138720508,29717.970259628913
29760.67648138811,29760.684213644963
29802.40702734494,29802.41354114542
29843.1885260571,29843.193199409525
29883.054059123508,29883.0688872989
29922.035141884146,29922.039779844665
29960.161817514167,29960.14487014185
29997.462744256627,29997.453931191903
30033.96527638303,30033.96093556374
30069.695539411103,30069.668114490312
30104.67850005949,30104.670991849398
30138.93803137221,30138.933235895027
30172.496973404457,30172.486612202978
30205.377189825977,30205.346561649956
30237.59962076452,30237.586891634637
30269.18433218298,30269.19591210228
30300.15056205705,30300.146835976127
30330.516763598032,30330.512764269904
30360.300645741478,30360.29202992441
30389.51921110634,30389.512608091813
30418.18879160902,30418.183728205426
30446.32508190341,30446.31589112476
30473.943170802457,30473.935693642325
30501.05757082393,30501.05018134876
30527.68224599284,30527.672013232048
30553.830638020416,30553.82306558012
30579.515690971093,30579.51072478994
30604.74987452081,30604.743119359297
30629.545205899805,30629.54185892681
30653.913270608187,30653.901598685523
30677.86524198462,30677.853017788166
30701.4118997023,30701.389343762297
30724.563647261835,30724.550903259547
30747.3305285441,30747.324490577197
30769.722243483087,30769.70115511673
30791.748162913136,30791.719983607512
30813.41734264177,30813.414517722806
30834.73853679553,30834.697792241474
30855.720210482512,30855.709800860925
30876.37055181338,30876.332250898162
30896.69748331808,30896.692579506776
30916.708672794677,30916.67259639664
30936.41154362265,30936.390671678717
30955.8132845725,30955.80192680275
30974.920859139573,30974.914225083994
30993.741014430245,30993.715769619525
