euler,RK_rtol_0.001_atol_1e-06,RK_rtol_0.0001_atol_1e-07,RK_rtol_1e-05_atol_1e-08,RK_rtol_1e-06_atol_1e-09
841.0534856446412,841.097558494449,841.0489272571599,841.0531839969827,841.0535891190266
909.3494969878524,909.255677931019,909.3429648514436,909.3496998233798,909.3495893632609
974.534300587635,974.4860452949374,974.544068969906,974.5332707911869,974.5345030639653
1037.3323172151368,1037.2976277298494,1037.3451290223136,1037.3320723244456,1037.3323529257134
1098.2339266954723,1098.264235124008,1098.2366115906182,1098.2332233565717,1098.2338974752972
1157.5885279308347,1157.6592496385017,1157.59021690651,1157.5883749079535,1157.58854614218
1215.654942653907,1215.6955935644378,1215.6608625054548,1215.656797655476,1215.6549223127722
1272.6308483055018,1272.6557065408656,1272.6455071753776,1272.6316695718783,1272.6308271143262
1328.6709958686213,1328.691217383305,1328.6770833570474,1328.6719356607298,1328.6709933918855
1383.8990230928794,1383.9546585342898,1383.9009395820117,1383.8999481038254,1383.899029230032
1438.415412029418,1438.4372435297478,1438.4177541209842,1438.4141055519065,1438.4154229692083
1492.3030223608296,1492.3197395614611,1492.3065640778586,1492.303461354859,1492.303031302717
1545.6310440505854,1545.682619430711,1545.635900128637,1545.632816199217,1545.631034354816
1598.4578868990857,1598.4834383552138,1598.465738002553,1598.458560686549,1598.457773920079
1650.8333357670515,1650.86351516441,1650.8454599173688,1650.833525200644,1650.8334047730161
1702.8001866232028,1702.8542325806054,1702.8058663128866,1702.8003763041695,1702.8002698691955
1754.3955079503503,1754.4278824998337,1754.4033522061425,1754.3958987358856,1754.3955622749716
1805.6516268630603,1805.6836072578635,1805.6627054596136,1805.652191252783,1805.6517842275198
1856.5969096434,1856.6154466924768,1856.6019931762607,1856.5972347615923,1856.596868700467
1907.2563865040368,1907.2813554691909,1907.2578520348288,1907.256701544305,1907.2563456396203
1957.652256760934,1957.688920582401,1957.655383220242,1957.6525940766408,1957.6522049019031
2007.804301093534,2007.869658405005,2007.809929748205,2007.8046429282017,2007.804335006895
2057.730220830756,2057.8748133346785,2057.736135205627,2057.7310477828305,2057.7302013270883
2107.4459193497464,2107.551636046098,2107.4571940914407,2107.446078679986,2107.44584793418
2156.965737133545,2156.987990304017,2156.9686620356347,2156.9662263711684,2156.9657726664486
2206.3026494168,2206.330215125363,2206.306622397301,2206.303008446333,2206.302620246042
2255.468433391726,2255.495261477222,2255.449001863771,2255.468729879518,2255.4683472484653
2304.4738104673147,2304.514183653883,2304.477315179584,2304.4740174498,2304.4738793424162
2353.3285679453325,2353.352809352223,2353.3299800432032,2353.3294569832174,2353.3286096923753
2402.0416636065843,2402.068552927805,2402.0459232716007,2402.041818016188,2402.0416592713887
2450.621316024271,2450.64253813683,2450.624035911171,2450.621827296218,2450.62124708581
2499.075082891344,2499.0945959158794,2499.0782793310127,2499.0755775428825,2499.075069731497
2547.4099292301203,2547.4644095797053,2547.420870710406,2547.4108650743383,2547.409869548596
2595.632287019689,2595.687902346751,2595.633585151752,2595.6327708936324,2595.63226932376
2643.748107510103,2643.779972653627,2643.749452061264,2643.748707148002,2643.748093976969
2691.762907277767,2691.804748720538,2691.7678379778663,2691.764400473487,2691.762890148719
2739.681808902438,2739.718310257538,2739.676206510627,2739.6819654721235,2739.6817865535795
2787.509577004483,2787.5619932457826,2787.506328436113,2787.510811497404,2787.509546931417
2835.250650264866,2835.266427145196,2835.2546685340367,2835.251300277804,2835.250596343254
2882.9091699546893,2882.967167984528,2882.9137991779253,2882.9096054152733,2882.909054639666
2930.4890054219136,2930.6985463289016,2930.494351258878,2930.489200254284,2930.4889753143457
2977.993776917145,2978.025584275456,2977.9975343384344,2977.993990359317,2977.993749533878
3025.426876085374,3025.444474874436,3025.4363080524995,3025.4287139142675,3025.426868382824
3072.7914844045454,3072.869194208317,3072.786897142863,3072.7931086398826,3072.7914256288987
3120.090589813052,3120.159271945289,3120.086879584308,3120.09100627046,3120.090568907243
3167.3270017355167,3167.4421746880685,3167.325463277077,3167.327207697862,3167.3269904408958
3214.5033646884467,3214.5571690449287,3214.5021730180247,3214.50361079956,3214.5033537809486
3261.62217062373,3261.658313671788,3261.6172836410765,3261.623206395257,3261.6220722294
3308.685770147775,3308.714027417586,3308.6823519852574,3308.68607874238,3308.685753256477
3355.69638273684,3355.712698036904,3355.6871804762786,3355.696521178152,3355.6963716351347
3402.6561060542413,3402.6895398895394,3402.650553361546,3402.6573612872503,3402.6560720852563
,3449.611284896343,3449.565458623135,3449.567549624047,3449.566901394222
,3496.4728241381704,3496.414649183361,3496.4315621719297,3496.430689584338
,3543.310041072567,3543.247739930456,3543.24950231964,3543.2492495768947
,3590.04157210509,3590.0213945446108,3590.0255929802274,3590.024155068406
3636.757289164517,3636.878295892541,3636.755230358614,3636.757637933923,3636.757269807801
3683.449893422227,3683.490913059152,3683.44634666865,3683.450225591034,3683.4497637305035
3730.103513616372,3730.163761426384,3730.101377747282,3730.103793938384,3730.1034635652104
3776.7195267342,3776.7460704001032,3776.707202062176,3776.719728790877,3776.7194971893787
3823.299243671807,3823.3370874250186,3823.297073011208,3823.299877019316,3823.2993091077424
3869.843913260485,3869.941376889578,3869.838245489855,3869.8441136560127,3869.8440115597027
,3916.38578933616,3916.35166978218,3916.3540093949937,3916.3547609705734
,3962.886023815504,3962.8316055505534,3962.8324463589247,3962.8329249041676
4009.279271694308,4009.41918105452,4009.276585465853,4009.279090468205,4009.279395464881
4055.695123856083,4055.731003385459,4055.689256001482,4055.693961992896,4055.6950210111945
4102.081363311871,4102.1133179058015,4102.086868361663,4102.081047411266,4102.081317512481
4148.438936058244,4148.531338633517,4148.442319825646,4148.438735328091,4148.438891797611
4194.768747158415,4194.8053291003325,4194.7704007926695,4194.768309950133,4194.768817414307
4241.071662985211,4241.143735789,4241.081956472723,4241.070364833938,4241.071706330504
4287.348513315046,4287.507566195222,4287.363014420608,4287.347975413602,4287.348635639874
4333.600093284555,4333.658543336617,4333.604544917166,4333.600587903219,4333.600160687806
4379.827165220434,4379.862375811182,4379.829171671334,4379.827009635034,4379.827216415948
,4426.104577200336,4426.034241474694,4426.03029310961,4426.030506260934
4472.210680416584,4472.259671352593,4472.214768564265,4472.210317032745,4472.210797234902
4518.36849916172,4518.406043035898,4518.371184957802,4518.368221226267,4518.368567314237
4564.504563758386,4564.523273884415,4564.508926502791,4564.504351173428,4564.504697198623
4610.61949612511,4610.6411460699255,4610.622722786629,4610.619108181684,4610.619550518352
4656.713894173276,4656.803542955057,4656.719749266672,4656.713578973777,4656.714033352927
,4702.801991270939,4702.801725324576,4702.788021460164,4702.78842393596
,4748.866282215082,4748.856389461652,4748.842933551406,4748.843394668036
4794.879525520872,4794.900568270188,4794.88315813306,4794.879206150414,4794.879545989057
4840.897324825567,4840.918821956685,4840.904066378458,4840.89711611699,4840.897362836531
4886.89725791859,4886.910625542095,4886.909025225367,4886.896973185443,4886.897290279685
4932.879800996363,4932.896911487484,4932.88729655073,4932.879660987812,4932.879993653494
4978.8454131475055,4978.864744571091,4978.850977067229,4978.844919505285,4978.84557121351
5024.794537128267,5024.827704184079,5024.80090181731,5024.794019994089,5024.79461305393
,5070.850591778224,5070.731204214435,5070.726644097431,5070.727638895607
,5116.680641533904,5116.646998214242,5116.644475021876,5116.645037617812
,5162.615758846048,5162.548533315386,5162.546923262369,5162.54719997452
,5208.499373770002,5208.436265252597,5208.433581036112,5208.434617020678
,5254.334074827634,5254.310557728123,5254.306081817601,5254.307489193825
5300.165942549988,5300.181912264269,5300.180370071303,5300.165824448083,5300.165992240714
5346.010818999084,5346.040915689207,5346.019577689389,5346.00909030107,5346.010939311219
5391.842241564638,5391.927082657851,5391.845506480566,5391.841801258865,5391.842284811451
5437.660534709837,5437.7288196163,5437.661956823397,5437.658909752949,5437.660566848646
5483.466012373938,5483.503909287492,5483.467342845446,5483.465805860995,5483.466057478328
5529.258978402148,5529.273774644345,5529.261838533601,5529.25744788107,5529.259073769745
5575.039726954316,5575.083179938297,5575.044572749082,5575.038842182233,5575.039766681478
5620.808542893638,5620.831997537018,5620.811458199324,5620.808062187596,5620.808714245004
5666.565702156532,5666.647886300873,5666.567340975734,5666.565422053017,5666.565818408321
5712.311472104748,5712.358096761399,5712.32106179039,5712.310401539683,5712.3114969396465
