euler,RK_rtol_0.001_atol_1e-06,RK_rtol_0.0001_atol_1e-07,RK_rtol_1e-05_atol_1e-08,RK_rtol_1e-06_atol_1e-09
21624.723691524658,21625.760357662628,21624.61667760641,21624.716725926755,21624.726247927716
22212.61850040892,22210.41391860105,22212.46505839301,22212.62337515796,22212.62077844347
22721.99936401749,22720.865471523903,22722.2291219624,22721.975246519218,22722.004217403242
23171.14763874605,23170.33266061403,23171.44896372565,23171.141963426835,23171.14856104204
23572.438467792846,23573.15146479337,23572.50167937068,23572.422003295567,23572.437854890843
23934.68922516336,23936.352901808776,23934.729016208013,23934.685693876647,23934.68972065714
24264.431495136363,24265.387972469605,24264.57078323354,24264.475182469225,24264.43107812868
24566.653834946603,24567.23873443696,24566.998662891903,24566.67320708458,24566.65339292819
24845.26151679998,24845.737482462104,24845.404754122927,24845.28367349544,24845.26151062657
25103.37464435783,25104.683771610144,25103.419774139213,25103.39645072927,25103.374837043542
25343.528967740767,25344.042903788508,25343.58410883552,25343.498280536696,25343.52927010422
25567.815521724304,25568.20895511117,25567.89888222533,25567.82589073639,25567.815774173672
25777.980374155377,25779.193838361527,25778.094654645167,25778.022103269857,25777.980185552533
25975.4975463249,25976.09911634301,25975.68228905686,25975.51343483179,25975.49492555481
26161.623401843877,26162.333478330795,26161.908677322004,26161.627893604465,26161.625060343107
26337.437933686622,26338.70955279089,26337.57159694964,26337.4424294777,26337.439925346735
26503.87659683984,26504.63853905529,26504.06119052472,26503.885822591976,26503.87790634924
26661.755193816683,26662.50787030273,26662.015890268594,26661.768502909086,26661.758926147482
26811.7895721385,26812.226076988947,26811.90921413108,26811.797250232168,26811.788637081267
26954.61139076225,26955.19900429096,26954.645903186105,26954.618830555315,26954.610456179107
27090.780868543094,27091.643597065653,27090.85446091785,27090.7888314205,27090.779673984714
27220.79718797127,27222.33548818679,27220.92966106811,27220.805256211443,27220.798010530812
27345.107057343444,27348.50973945109,27345.24625417644,27345.12654012762,27345.106621873838
27464.11181210037,27466.59956969564,27464.37715309558,27464.11558391964,27464.110154044167
27578.17334670772,27578.697257978936,27578.24219931251,27578.184881130728,27578.17420443093
27687.61910241484,27688.26800319384,27687.712619347378,27687.62757204605,27687.618436634075
27792.74628684032,27793.37789985459,27792.28902458478,27792.75328401011,27792.74427949591
27893.8254640044,27894.775887752337,27893.90796302194,27893.830354149584,27893.827103986718
27991.103624927724,27991.67446288952,27991.136877584904,27991.12456581058,27991.104625792144
28084.80682695495,28085.439632630776,28084.90709379452,28084.810478597818,28084.806742651628
28175.142472889987,28175.642201612303,28175.206504372,28175.15452255842,28175.1408675417
28262.301287653878,28262.760773828493,28262.376534416813,28262.31294571057,28262.30099442716
28346.459039613277,28347.741532484142,28346.71656700613,28346.481080831585,28346.457650919398
28427.778045329,28429.08727160157,28427.808615746708,28427.78944895537,28427.777644233654
28506.40848974985,28507.15862323853,28506.44015094773,28506.42261758528,28506.40818611648
28582.489588459823,28583.474643777045,28582.60565404636,28582.52474684293,28582.489199707885
28656.150614197293,28657.00996800814,28656.018770098275,28656.15431323084,28656.150102128435
28727.51180628616,28728.745605206623,28727.43535915517,28727.540875583705,28727.511111975342
28796.68517868798,28797.05678471006,28796.779770926147,28796.7004910524,28796.68392263617
28863.77523996919,28865.14040386576,28863.884212766327,28863.78550217952,28863.772538486344
28928.87963648078,28933.81194550737,28929.00547866828,28928.88423465595,28928.87894015365
28992.08972838657,28992.838677247903,28992.178183992743,28992.09476428163,28992.08909581789
29053.49110678989,29053.9054341548,29053.713127307623,29053.534376906468,29053.49093711412
29113.16405904683,29114.993285544537,29113.056097006232,29113.20230165963,29113.162686882675
29171.18398837541,29172.80092069579,29171.096666934587,29171.19380203556,29171.183507275644
29227.621793044225,29230.33302680837,29227.58559183132,29227.626651793184,29227.62153787338
29282.54420972263,29283.81078365336,29282.51617051694,29282.55001326433,29282.54396337507
29336.01412497981,29336.864896333813,29335.899103754226,29336.038515989087,29336.01181901706
29388.090858409338,29388.75607720707,29388.01040951014,29388.098132303418,29388.090470666575
29438.830420421848,29439.214594135985,29438.613817467456,29438.8336888432,29438.830168705415
29488.285747372844,29489.07285990019,29488.155049852856,29488.31530417469,29488.28495712946
,29537.5514174343,29536.472421101167,29536.52164155777,29536.50638248907
,29584.5326225006,29583.163123083257,29583.561250324143,29583.540709822155
,29630.864688541355,29629.39809901264,29629.43958429359,29629.433634737714
,29674.63506800484,29674.160085606105,29674.25891433308,29674.225065785282
29717.96204122573,29720.81072702708,29717.913586721494,29717.97025962892,29717.961593847496
29760.67638615829,29761.64217392244,29760.592904648995,29760.684213644963,29760.67334125677
29802.40693429939,29803.825416014944,29802.356664925905,29802.41354114542,29802.40576397257
29843.188435119064,29843.813529416024,29842.8983131056,29843.193199409525,29843.187747338165
29883.053970219866,29883.94510516155,29883.00287861656,29883.0688872989,29883.05551818603
29922.03505494526,29924.32959960217,29921.901639144733,29922.039779844665,29922.03737638621
,29960.89325066394,29960.08979562137,29960.14487014185,29960.162563051017
,29998.71530744666,29997.43414005157,29997.453931191903,29997.465196733825
30033.96519495191,30037.258972413,30033.90196611487,30033.96093556374,30033.96811559329
30069.695459696595,30070.540311690387,30069.55733008679,30069.668114490312,30069.6930453425
30104.67842200639,30105.43078301956,30104.808026753963,30104.6709918494,30104.677350440998
30138.937954927645,30141.11346494081,30139.01762273945,30138.933235895027,30138.93691944453
30172.49689851786,30173.358129950884,30172.5358359221,30172.48661220297,30172.4985588286
30205.377116448948,30207.073897443574,30205.61945336332,30205.34656164996,30205.37814311059
30237.59954885067,30241.34411265948,30237.94094399104,30237.58689163464,30237.60243473668
30269.1842616878,30270.56059539041,30269.289070588096,30269.19591210228,30269.185854491676
30300.150492937977,30300.97946775421,30300.19773781616,30300.146835976127,30300.15170406462
,30332.261780287423,30330.605720797616,30330.512764269904,30330.517782369
30360.30057925352,30361.45420258993,30360.396832109465,30360.29202992441,30360.303335094657
30389.51914587661,30390.40319624594,30389.58238395053,30389.512608091813,30389.520755901398
30418.188727601293,30418.629474640555,30418.29144600796,30418.183728205426,30418.19187458178
30446.325019082906,30446.83486302945,30446.400990611808,30446.31589112476,30446.326304984203
30473.943109135656,30476.053773220752,30474.080962880667,30473.935693642325,30473.946391066733
,30501.37931083222,30501.372813215043,30501.05018134876,30501.059656844223
,30528.221851899805,30527.988808162954,30527.672013232048,30527.682869355594
30553.830579626352,30554.326097251967,30553.91610965537,30553.82306558012,30553.8310664664
30579.51563360904,30580.02178183822,30579.67435923103,30579.51072478994,30579.51653337889
30604.74981816305,30605.06477427227,30605.026866922515,30604.743119359297,30604.750584833735
30629.545150519643,30629.948249884423,30629.721628768468,30629.54185892681,30629.54969104353
30653.9132161799,30654.368510317145,30654.0442172773,30653.901598685523,30653.91694224005
30677.865188483374,30678.64617814073,30678.01504312804,30677.85301778817,30677.866980590952
,30704.30760445344,30701.496708578044,30701.389343762297,30701.412765066267
,30725.402506170783,30724.610310880187,30724.550903259547,30724.5641489292
,30748.945311300777,30747.362399028265,30747.3244905772,30747.33100546183
,30771.25027643329,30769.764353805607,30769.70115511673,30769.7255463763
,30792.379279857672,30791.825367471425,30791.719983607512,30791.753119024528
30813.41729422801,30813.793542319425,30813.75698493391,30813.41451772281,30813.418468260516
30834.738489157466,30835.4472165744,30834.94471238504,30834.69779224148,30834.7413258585
30855.72016360135,30857.717758859515,30855.79703961372,30855.709800860925,30855.72118579359
30876.370505670915,30877.97849657963,30876.40399399859,30876.33225089816,30876.371266271875
30896.69743789672,30897.58976537805,30896.72876881771,30896.692579506776,30896.698503707325
30916.708628077347,30917.05714201133,30916.775973841588,30916.67259639664,30916.710877258338
30936.41149959286,30937.43474552086,30936.52559699007,30936.39067167872,30936.412438686835
30955.813241214208,30956.365724724303,30955.881885303348,30955.80192680275,30955.817279312138
30974.92081643736,30976.85591317699,30974.95940627868,30974.914225084,30974.923557182676
30993.740972369036,30994.838820384848,30993.966764682675,30993.715769619525,30993.7415606678
