euler,RK_rtol_0.001_atol_1e-06,RK_rtol_0.0001_atol_1e-07,RK_rtol_1e-05_atol_1e-08
21621.98253966741,21624.39457859665,21621.56796960277,21621.975332715607
22210.26732694802,22208.806852294456,22210.230988472824,22210.274461884223
22719.94163730542,22716.909251621903,22720.06558553483,22719.928730452153
23169.31976495776,23167.04522271665,23169.36467737593,23169.312069583233
23570.79604769857,23571.571527775617,23571.014865641584,23570.788268605673
23933.19988551314,23934.196166229875,23933.346363254142,23933.191042489143
24263.07082191564,24263.69731883282,24263.118578435904,24263.103970767992
24565.402913361817,24565.80546938158,24565.483461094114,24565.419165377058
24844.105365663738,24845.50556410677,24844.223455588173,24844.130365435554
25102.301177743957,25102.75957291262,25102.545055736115,25102.317385602444
25342.528282389696,25343.042285873937,25342.56070340451,25342.512268818246
25566.879393710267,25567.523926852173,25566.97053244896,25566.885634521943
25777.10189450181,25777.94804256614,25777.18762413449,25777.11037034569
25974.670851534192,25975.43336702545,25974.712269164,25974.676163111722
26160.843470877466,26164.45122077953,26160.89131284635,26160.85574317936
26336.70043248245,26337.41199897598,26336.734559916807,26336.711313797252
26503.177757491336,26504.36085975413,26503.23452486109,26503.188138865702
26661.09171945679,26661.47535557516,26661.23810128513,26661.104977517552
26811.158561179574,26813.028348619573,26811.202477408897,26811.20014535016
26954.010275911096,26955.54598118251,26954.04091019701,26954.014896044722
27090.2073672359,27093.245620322,27090.560062137884,27090.21151129649
27220.24926173492,27221.535610857543,27220.29984203069,27220.255906009417
27344.582878207315,27346.48078580608,27344.79348309331,27344.626334077206
27463.609734629103,27466.83171760211,27463.68893226952,27463.625299063617
27577.69188455529,27578.690923524748,27577.74865305755,27577.704899484906
27687.15690854423,27688.04405029074,27687.20763125043,27687.186725811534
27792.302136738024,27792.99770727835,27792.14475467091,27792.30740756899
27893.398241358147,27895.153333523867,27893.751985687428,27893.401201731434
27990.69230934378,27991.37337213792,27990.834790557863,27990.705144150397
28084.41048337415,28084.92292617174,28084.47274757388,28084.415320699474
28174.76024242688,28175.399568902,28174.85498589924,28174.779468120778
28261.93237963433,28263.310882166632,28262.00622485228,28261.972813101263
28346.102724626347,28348.00218890749,28346.244295623088,28346.10712589325
28427.43364914132,28428.27988557668,28427.896719933546,28427.437782615307
28506.07538795668,28507.8859070078,28506.21885537033,28506.09258065728
28582.16720176804,28583.721966804875,28582.2999904942,28582.184942090797
28655.838404252438,28656.153736328288,28655.49952597056,28655.84234673985
28727.20927196985,28728.27211384065,28727.154574613687,28727.21981894107
28796.391852823228,28798.762160000744,28796.46141573297,28796.398603792713
28863.49068638091,28866.534132010533,28863.69375037969,28863.4984841859
28928.603447366357,28930.51416757498,28928.72869541624,28928.607708071882
28991.821521957914,28992.698973747287,28991.955916444786,28991.827772677152
29053.23052515429,29053.545118636623,29053.26679120232,29053.23390504531
29112.91076629784,29114.180118011824,29112.76710362605,29112.91993018827
29170.937668869483,29171.74260140257,29170.87322729937,29170.964053554933
29227.38214984164,29230.00277971564,29227.210907065768,29227.400994817333
29282.310963174623,29283.00943931821,29282.252232558432,29282.318977638628
29335.787011445253,29337.06978454385,29335.66862794887,29335.797974983012
29387.86962908756,29388.341359031227,29387.8034146477,29387.874855517195
29438.61484028876,29440.2981034339,29438.48556419113,29438.644922136784
29488.07559420992,29489.29790765866,29487.958558263803,29488.0806036447
,29536.717463164,29536.16711661957,29536.30885296727
,29583.673867324564,29583.29650293254,29583.34544517896
,29630.13169482971,29629.187065407623,29629.242137638048
,29674.687550173127,29673.97165187399,29674.05054587856
29717.776079670195,29718.47698049083,29717.73159766194,29717.802795373766
29760.49474230425,29760.876341089875,29760.383426598848,29760.509749942732
29802.22945442284,29803.00870767797,29802.056466711423,29802.260479167635
29843.014972931946,29843.488933093864,29842.97151640737,29843.026984990007
29882.884386413483,29883.99563790464,29882.6740486562,29882.88915868017
29921.86921676801,29923.26091752732,29921.646694401512,29921.873596409543
,29961.64922545934,29959.9196834203,29959.996751527262
,29997.73494048092,29997.24107534933,29997.293823211305
30033.80985701836,30034.432340426763,30033.6626458676,30033.794622262838
30069.54339453805,30074.50001083066,30069.44311990463,30069.52623714851
30104.529524317,30105.1890056944,30104.706369186,30104.526544569475
30138.792123990395,30139.30709957182,30138.87501384165,30138.778609560253
30172.354037951347,30173.313913931463,30172.38268562377,30172.346718788962
30205.23713397115,30207.62755240021,30205.422646132367,30205.231156991133
30237.462356058328,30238.48532738048,30237.56261823103,30237.445254938502
30269.049773850056,30272.619467398654,30269.13275796041,30269.05878101804
30300.0186288035,30300.67627421204,30300.132828649585,30299.9987742104
,30332.3125417044,30330.469505038527,30330.38304137184
30360.173731797444,30361.44606340633,30360.219754529327,30360.156448123584
30389.39469749578,30389.772189885403,30389.77123856729,30389.353540630058
30418.066609264908,30419.668851734084,30418.1186975986,30418.06248380292
