euler,RK_rtol_1e-05_atol_1e-08
0.0,0.0
19946.87301241726,21525.17206781773
21391.37640019016,21389.638417634163
21136.4348003186,21403.759314031548
21360.84576215558,21276.022381313083
21265.802876207537,21341.13592218577
21364.85063824729,21299.113374817454
21300.018205479413,21311.289624320718
21290.340965222327,21323.750026854996
21323.02344056545,21316.102716520298
21331.219541346145,21309.287140969605
21317.220271414182,21310.66031414287
21305.303126892453,21314.958518173124
21304.84624499648,21317.225997274036
21311.41734749473,21316.694197112607
21317.88389638773,21314.80446662565
21320.49502268269,21313.22710360459
21319.27441822626,21312.636769731347
21316.11086202212,21312.91142621083
21312.97669270847,21313.71815375346
21311.05779733649,21314.500631816736
21310.651938240942,21315.057547053693
21311.44807328518,21315.255876097777
21312.879342175565,21315.16254249405
21314.392832818176,21314.857106347474
21315.594522881816,21314.489284524778
21316.288780699,21314.15929689554
21316.45186007046,21313.9170364348
21316.17636421871,21313.78365022739
21315.61256686769,21313.77263067231
21314.920701208564,21313.838876388276
21314.23926777873,21313.974447443685
21313.6687855159,21314.134156273525
21313.267673846327,21314.286839811146
21313.0561901083,21314.42710631695
21313.024703588697,21314.52134217747
21313.14343606165,21314.58417812844
21313.37174438156,21314.604402925997
21313.66585463581,21314.594107199868
21313.98459637236,21314.553697555828
21314.293120236714,21314.497876718448
21314.564840766023,21314.433398147885
21314.781969408577,21314.362293640374
21314.935032672976,21314.295217077055
21315.021742221496,21314.26525578275
21315.045525030226,21314.19131396799
21315.013951681354,21314.15938837023
21314.937231789285,21314.144592944747
21314.82688450997,21314.125907739497
21314.694642272265,21314.141004378682
21314.551607986254,21314.154107826926
21314.407659216344,21314.162116179683
21314.271075545108,21314.187947891452
21314.14835570895,21314.222307729666
21314.04418717823,21314.2459400436
21313.961531008044,21314.27753415022
21313.901787593622,21314.30458072118
21313.86501331417,21314.34521338531
21313.85016311066,21314.35653321295
21313.855339220183,21314.380617094364
21313.87803119179,21314.411456296755
21313.91533669589,21314.428123165493
21313.96415639332,21314.40083681536
21314.021359210383,21314.408160996056
21314.083916795844,21314.418084314475
21314.149007763684,21314.39019180555
21314.214093631,21314.388315944794
21314.27696922092,21314.368304453517
21314.335790799996,21314.36783388487
21314.38908543319,21314.345049227733
21314.43574503884,21314.33035493964
21314.475008467143,21314.321473093016
21314.50643466391,21314.31195000162
21314.529869650705,21314.322042720236
21314.545409690538,21314.292387190082
21314.55336263896,21314.274159668017
21314.554209117385,21314.264495697094
21314.548564807297,21314.261871177234
21314.537144854577,21314.279804995535
21314.52073109865,21314.250594729798
21314.50014260376,21314.245832978304
21314.476209768454,21314.25223093603
21314.44975212333,21314.243835949845
21314.421559794693,21314.248747518897
21314.39237850609,21314.245294550707
21314.3628979142,21314.25766106798
21314.333743019324,21314.26639518114
21314.30546835472,21314.262003701013
21314.278554640867,21314.27537867827
21314.25340758201,21314.26556658747
21314.23035848733,21314.27807718718
21314.209666410567,21314.277199912463
21314.19152151804,21314.29509514612
21314.176049419035,21314.30112715648
21314.163316213817,21314.29447861935
21314.153334042378,21314.30508635927
21314.1460669421,21314.305230259528
21314.14143684803,21314.308381852195
21314.13932959552,21314.327871520032
21314.139600806506,21314.318749805112
21314.142081564143,21314.35350975956
