euler,RK_rtol_1e-05_atol_1e-08,RK_rtol_1e-06_atol_1e-09
21621.98253966736,21621.993512599267,21621.98514874955
21621.98253966737,21621.988378001333,21621.984094878146
21621.98253966737,21621.99252970755,21621.98408642028
21621.98253966736,21621.994835674755,21621.985064780307
21621.98253966736,21622.005652332187,21621.987111350867
21621.98253966736,21621.98739727176,21621.984373113617
21621.98253966741,21621.99310879102,21621.98423602711
21621.9825396674,21621.987218031136,21621.986353658125
21621.982539667395,21621.987036733062,21621.98437158817
21621.98253966741,21622.003006940708,21621.984281992805
21621.98253966741,21622.005998486027,21621.98487264037
21621.9825396674,21621.99332746744,21621.98394969705
21621.982539667395,21621.99834500771,21621.983821995625
21621.9825396674,21621.99149009389,21621.984210850453
21621.98253966741,21621.98844164596,21621.984228723697
21621.982539667395,21622.006341567623,21621.98503432252
21621.982539667417,21622.001546341573,21621.985672458173
21621.982539667428,21621.98716007328,21621.984953582138
21621.98253966744,21622.003517168447,21621.986210876672
21621.982539667428,21621.989054796173,21621.987092053638
21621.98253966744,21621.99122061347,21621.98390072528
21621.98253966744,21621.986220794188,21621.986822695082
21621.98253966745,21621.988843006744,21621.984024628713
21621.98253966744,21621.99149547009,21621.9847501456
21621.982539667453,21621.9926093448,21621.984052513188
21621.982539667475,21622.007694749213,21621.983800136142
21621.982539667475,21621.98792664625,21621.984338772323
21621.98253966749,21621.993400814103,21621.983805331587
21621.98253966749,21622.01908168978,21621.986026180628
21621.98253966749,21621.99036264516,21621.983835222185
21621.98253966744,21621.998330189614,21621.984547376014
21621.982539667457,21622.01098496381,21621.984231482915
21621.982539667453,21621.999244050334,21621.983865951664
21621.982539667453,21621.98830719876,21621.98383513415
21621.982539667453,21621.99814578309,21621.984027377177
21621.98253966745,21621.98922323408,21621.98567184001
21621.98253966745,21621.99618374704,21621.9842188247
21621.98253966745,21621.991883752315,21621.983932980726
21621.98253966744,21622.00097578593,21621.983983630427
21621.98253966744,21621.994579058923,21621.983924126216
21621.98253966745,21622.00867141104,21621.985418136876
21621.98253966744,21621.99757450047,21621.98400977018
21621.98253966744,21621.99396782556,21621.983979965502
21621.98253966742,21622.00366893178,21621.986435325452
21621.98253966743,21621.99034844644,21621.984610975396
21621.98253966743,21621.9872829662,21621.98489694224
21621.982539667428,21621.989916902097,21621.986044829926
21621.982539667435,21621.99236890252,21621.985532477218
21621.982539667435,21621.98783585115,21621.984013540827
21621.98253966743,21622.012376082523,21621.986398162328
21621.982539667417,21621.98813676404,21621.984753150162
21621.98253966743,21621.996088976623,21621.98388102791
21621.98253966743,21621.987396877084,21621.987326464747
21621.982539667413,21622.00656963573,21621.984267032167
21621.982539667413,21622.00361139318,21621.985493432192
21621.982539667424,21622.022006945343,21621.984615320944
21621.982539667417,21622.002335401696,21621.984080568276
21621.98253966741,21621.99410178016,21621.98540142509
21621.98253966742,21621.986874669703,21621.984010131146
21621.98253966742,21621.994145551005,21621.985116902473
21621.98253966742,21621.9885157903,21621.98448741867
21621.98253966742,21621.99184848209,21621.98651289194
21621.98253966742,21621.99826079369,21621.98402260909
21621.98253966742,21621.991104743203,21621.983919027152
21621.98253966742,21621.994687291368,21621.98436228747
21621.98253966742,21621.990831582098,21621.985730915312
21621.9825396674,21621.990273220472,21621.98448695361
21621.9825396674,21621.993014853,21621.98406537998
21621.98253966742,21621.994318322133,21621.984496848243
21621.9825396674,21621.999194210828,21621.98459948011
21621.982539667417,21621.987214456472,21621.983916694473
21621.9825396674,21621.98626608412,21621.984745618778
21621.982539667424,21621.99519703163,21621.984106737375
21621.98253966742,21621.98890064317,21621.98384584913
21621.982539667413,21621.99356303882,21621.983885235808
21621.98253966741,21621.99449420937,21621.98402062823
21621.98253966742,21621.98984557513,21621.98717919267
21621.98253966741,21621.986504323,21621.984586284223
21621.98253966741,21621.991239901217,21621.98460162121
21621.98253966741,21621.98771462028,21621.98563341733
21621.98253966741,21621.987236735044,21621.984483584518
21621.982539667395,21621.992870522703,21621.984013435358
21621.982539667424,21621.994584295324,21621.985428175423
21621.982539667417,21621.98917770641,21621.98415923302
21621.98253966741,21621.988502770226,21621.98400736833
21621.98253966741,21622.00150185905,21621.983968688106
21621.982539667395,21621.99766566311,21621.98446362622
21621.982539667395,21621.992849305745,21621.986146091465
21621.98253966741,21621.986521974868,21621.985204909586
21621.98253966741,21621.98780831427,21621.9841601626
21621.982539667395,21621.99612566464,21621.985209905357
21621.982539667395,21621.99395370917,21621.98466270348
21621.98253966741,21621.987370708845,21621.98485871998
21621.982539667395,21621.99399937797,21621.984144703012
21621.982539667417,21622.00355103858,21621.984990132452
21621.982539667395,21621.996283541284,21621.98318800391
21621.9825396674,21621.9956250834,21621.984559606346
21621.9825396674,21622.004499635088,21621.98380498045
21621.98253966741,21621.99045612307,21621.983924492557
21621.98253966741,21621.98644558452,21621.98520449211
21621.98253966741,21621.975332715607,21621.98387678494
