euler,RK_rtol_1e-05_atol_1e-08,RK_rtol_1e-06_atol_1e-09
21624.723691524658,21624.716725926755,21624.726247927716
21624.72369152521,21624.734528721638,21624.726253134308
21624.723691525724,21624.73857051044,21624.729541168832
21624.7236915262,21624.732192772924,21624.727389439413
21624.723691526644,21624.73853415932,21624.727042815928
21624.723691527004,21624.731438068437,21624.723840047198
21624.723691527382,21624.73109548686,21624.72612158795
21624.723691527663,21624.7370627261,21624.726267518796
21624.723691527903,21624.73972938673,21624.72690100151
21624.723691528096,21624.73650482315,21624.726003985546
21624.72369152823,21624.731589364616,21624.727689070598
21624.72369152824,21624.7463009172,21624.726291238025
21624.723691528223,21624.73695332198,21624.725934409955
21624.72369152812,21624.72961459193,21624.72673014551
21624.72369152793,21624.73463082453,21624.726068191554
21624.72369152763,21624.730091787627,21624.728350755602
21624.723691527182,21624.738506785747,21624.726678924984
21624.72369152669,21624.74101219261,21624.72619631556
21624.723691526,21624.741018387547,21624.726982925593
21624.72369152525,21624.73606676242,21624.726640629007
21624.723691524337,21624.740547181667,21624.725758330584
21624.723691523257,21624.731387429125,21624.725868231537
21624.723691522016,21624.7340851651,21624.72616827417
21624.7236915206,21624.74053376669,21624.725966582566
21624.723691519,21624.756336404014,21624.725886683813
21624.72369151713,21624.734909989544,21624.728786963624
21624.723691515075,21624.744601483653,21624.72789360686
21624.72369151274,21624.74029851081,21624.72631108123
21624.723691510128,21624.729017973368,21624.727095636285
21624.723691507283,21624.745639514986,21624.72607600993
21624.72369150412,21624.7392023924,21624.72607212863
21624.72369150061,21624.74554769616,21624.725964237532
21624.723691496765,21624.733658492743,21624.726068597523
21624.72369149253,21624.7292007678,21624.726105410493
21624.723691487896,21624.7616588474,21624.728509103115
21624.723691482843,21624.729791014903,21624.725996649293
21624.72369147737,21624.753375890297,21624.727740648756
21624.723691471365,21624.738354960624,21624.726141214145
21624.723691464864,21624.73460728408,21624.726857759924
21624.723691457883,21624.760839193237,21624.72665254239
21624.72369145034,21624.731901144994,21624.725896505905
21624.723691442192,21624.737039735435,21624.725810366133
21624.723691433494,21624.73410155437,21624.726076308743
21624.723691424144,21624.7306340652,21624.726340816545
21624.72369141424,21624.728986373237,21624.725878068606
21624.723691403626,21624.731021098043,21624.726164445845
21624.723691392417,21624.729931666207,21624.72584058289
21624.72369138057,21624.728739672173,21624.725928096763
21624.723691368075,21624.73823300867,21624.72580019961
21624.72369135505,21624.7404088425,21624.727083786835
21624.723691341453,21624.741136527333,21624.726873936244
21624.723691327352,21624.73175120576,21624.726130107643
21624.72369131281,21624.755693163766,21624.72804760323
21624.72369129791,21624.734481002568,21624.726908779467
21624.723691282685,21624.760548405626,21624.72581541749
21624.72369126726,21624.7321586194,21624.726789225453
21624.72369125175,21624.737831237864,21624.726542525354
21624.72369123636,21624.729576074704,21624.725878225796
21624.72369122116,21624.731636687226,21624.7289722757
21624.723691206367,21624.73246845989,21624.728842439188
21624.72369119213,21624.731521775026,21624.7259091803
21624.72369117861,21624.734449869367,21624.726839317973
21624.72369116604,21624.74257263731,21624.728967783292
21624.72369115457,21624.73988751826,21624.7265761014
21624.723691144423,21624.731433976995,21624.726524853584
21624.72369113576,21624.73065927072,21624.7258940724
21624.72369112869,21624.732258803662,21624.72628862224
21624.72369112348,21624.75143098915,21624.72688728274
21624.723691120205,21624.73480014349,21624.726497989534
21624.72369111894,21624.72839380472,21624.726954915994
21624.723691119805,21624.72991681232,21624.725758163084
21624.723691122854,21624.74011745313,21624.7269442645
21624.723691128114,21624.728424657045,21624.725947352366
21624.72369113556,21624.73132469232,21624.727402533983
21624.72369114517,21624.731082961665,21624.725805341623
21624.723691156847,21624.73058907101,21624.726990117506
21624.72369117053,21624.73238453161,21624.726750031325
21624.723691186035,21624.7304452098,21624.725773850223
21624.72369120333,21624.73406638771,21624.726125134464
21624.7236912222,21624.744050833506,21624.72619726898
21624.723691242456,21624.732377607877,21624.72709451108
21624.72369126401,21624.734435539183,21624.726552027016
21624.723691286606,21624.74624293722,21624.72594831973
21624.723691310035,21624.74254902273,21624.726094520283
21624.72369133417,21624.729829550288,21624.72643525934
21624.72369135881,21624.739254326312,21624.726085342983
21624.723691383835,21624.76044679572,21624.72697863841
21624.723691409003,21624.7323287618,21624.726190399055
21624.723691434217,21624.74617677321,21624.726849470277
21624.723691459272,21624.73405521749,21624.728400039385
21624.72369148407,21624.73122251004,21624.725802170455
21624.72369150845,21624.729906420194,21624.726710607
21624.723691532326,21624.73826372035,21624.728410005595
21624.72369155565,21624.73223812379,21624.726786402294
21624.72369157827,21624.730072367965,21624.727983835244
21624.723691600106,21624.734764779038,21624.72715168786
21624.72369162108,21624.72900557981,21624.726867901314
21624.723691641146,21624.74133698366,21624.726499459895
21624.723691660205,21624.753638357004,21624.72606727073
21624.723691678388,21624.75872599625,21624.726925230687
21624.723691695486,21624.735473076395,21624.72602303615
