evolving_asym_D=0.4,evolving_sym_D=0.4
400.0,400.0
400.0,400.0
400.2011240307508,400.20112403075075
401.4894274311908,401.49264569675245
403.76312472544856,403.77568706738333
406.9352609138877,406.965983547846
410.9358300621508,410.996074428441
415.7083105198929,415.81189278643393
421.2067049521318,421.3698478907912
427.39332451987536,427.63464272931697
434.23713678172,434.5776484944963
441.71251464318783,442.1756749668237
449.7982719607464,450.4100235769721
458.4769077879182,459.26574600555404
467.734005541484,468.7310552548782
477.55774937514246,478.79685198122934
487.9385307379909,489.45633945250444
498.8686253771586,500.7047076938131
510.3419261093673,512.5388723862061
522.3537202806731,524.9572576309133
534.9005034313356,537.9596142534662
547.9798225912464,551.5468672035475
561.5901440543647,565.720987008953
575.730741555748,580.4848813016946
590.4016015967538,595.8423032445887
605.6033432991294,611.7977743130534
621.3371506641732,628.356519375822
637.6047155030105,645.524412403384
654.408189613169,663.3079314387118
671.7501450235333,681.7141217093657
689.6335413282111,700.7505659569626
708.0616992903201,720.425361219531
727.0382800272009,740.747101432295
746.5672691952401,761.7248653189922
766.6529656801482,783.3682091336385
787.2999743709335,805.6871638854064
808.5132026559152,828.692236739889
830.2978603292902,852.394416340818
852.6594626388844,876.8051818391408
875.6038362413116,901.9365154527568
899.1371278610508,927.8009184113782
923.2658154759392,954.4114301679286
947.9967218740736,981.7816507814383
973.3370304467963,1009.9257663972288
999.294303099843,1038.8585777688652
1025.8765001803308,1068.5955317833698
1053.0920023314134,1099.1527559669469
1080.9496341994495,1130.5470959632892
1109.4586899306871,1162.7961559907328
1138.628960405954,1195.9183422983367
1168.4707621728644,1229.9329096546026
1198.9949680457298,1264.8600109162205
1230.213039353849,1300.7207497380714
1262.1370598292192,1337.5372364999052
1294.779771135083,1375.332647539763
1328.154610047133,1414.1312877994412
1362.27574730975,1453.9586570032254
1397.1581282003508,1494.8415195078333
1432.8175148458704,1536.807977979116
1469.270530346587,1579.887551069652
1506.5347047740054,1624.1112552910213
1544.6285231213371,1669.511691295358
1583.5714752973229,1716.1231348028402
1623.3841082667377,1763.9816324351589
1664.088080453965,1813.1251027398314
1705.7062185395353,1863.5934427165591
1748.2625767935442,1915.4286401847917
1791.782499104444,1968.6748923613445
1836.2926838768656,2023.3787310484379
1881.8212519879391,2079.5891548659965
1928.397818008082,2137.3577689975964
1976.0535649094825,2196.7389329571856
2024.8213225035563,2257.789916923789
2074.7356498676004,2320.571067233961
2125.832922040742,2385.1459816669185
2178.1514212901857,2451.581695205236
2231.731433270761,2519.948877004837
2286.6153484239576,2590.322039361962
2342.8477689870933,2662.7797595219545
2400.475622009109,2737.4049152352395
2459.5482787967576,2814.284935029938
2520.1176812438466,2893.51206423825
2582.238475526733,2975.183647885205
2645.968153681604,3059.402431623682
2711.3672036132925,3146.2768819787966
2778.4992681216268,3235.921527247879
2847.4313135696107,3328.4573204892295
2918.2338088583238,3424.0120261235907
2990.9809154162517,3522.7206317665705
3065.75068895604,3624.7257870077983
3142.6252937993745,3730.1782709529816
3221.691230620973,3839.237490447643
3303.0395785155,3952.072011005368
3386.76625234664,4068.8601225678985
3472.972276395541,4189.7904423280315
3561.7640753862943,4315.062556947441
3653.253784028965,4444.887706598201
3747.5595762857,4579.489513346428
3844.806015632349,4719.104756476175
3945.124427656536,4863.984197417593
4048.6532964026646,5014.393456991264
4155.538685944348,5170.613947704927
4265.934688734444,5332.943863833403
4380.003902351271,5501.699231969726
4497.917936325458,5677.215024646441
4619.857950793775,5859.846339480289
4746.015228782412,6049.969646078695
4876.591783970326,6247.984102648467
5011.801005820838,6454.312943849173
5151.868343993592,6669.404940916744
5297.032033955455,6893.735934424977
5447.543865693675,7127.810439228684
5603.669997392386,7372.163320113854
5765.691815858308,7627.361535435341
5933.906845366198,7894.00594451546
6108.629706430979,8172.733172767866
6290.193125792022,8464.21752635673
6478.948998604769,8769.172945654605
6675.269503463204,9088.35498377315
6879.548270409148,9422.562792956734
7092.201601504687,9772.641097596055
7313.669742833797,10139.482127984016
7544.418205937729,10524.027483648882
7784.939135652841,10927.269889115489
8035.752720084172,11350.25479822932
8297.408636984974,11794.081795710663
8570.487529092012,12259.905736387947
8855.602498956461,12748.937553620504
9153.400611477144,13262.44465882831
9464.564389652298,13801.75084391443
9789.813285983542,14368.235587868316
10129.905108458175,14963.332658219171
10485.637376073526,15588.527887596452
10857.848574424976,16245.355995872935
11247.419276941082,16935.396319744512
11655.273091909996,17660.26730478353
12082.377389512034,18421.61961074854
12529.743756685664,19221.1276801136
12998.428120866854,20060.47962336206
13489.53047654642,20941.36528361046
14004.19414131907,21865.462358652625
14543.60446083179,22834.42048157707
15108.986875014216,23849.843192640335
15701.604251489667,24913.267775803415
16322.753386491033,26026.14298368117
16973.760569383616,27189.80473461912
17655.976104543653,28405.449934670585
18370.767684444312,29674.108654242133
19119.51251100872,30996.614972249437
19903.58806929409,32373.576887196472
20724.361469081425,33805.345781382435
21583.17728665145,35291.98600758628
22481.34386155136,36833.245242793295
23420.11803199609,38428.526316350035
24400.68832800602,40076.86126601375
25424.15668349751,41776.888400774864
26491.51877701124,43526.833150872626
27603.643164871643,45324.49346086211
28761.24942914189,47167.23042982642
29964.885624098966,49051.9648239636
31214.905366934407,50975.17998207623
32511.44497837269,52932.931506259825
33854.40113391476,54920.86398150921
35243.409533268146,56934.234802939645
36677.82513099069,58967.94501233521
38156.70449241009,61016.5768617887
39678.7908428544,63074.43763677237
41242.50236314222,65135.60909004955
42845.92424895539,67194.00166781794
44486.80499591999,69243.41255708822
46162.55729672762,71277.58645531771
47870.26384319028,73290.27786616012
49606.688217381576,75275.31366443301
51368.290935345765,77226.65465323546
53151.25057818077,79138.45485888561
54951.48981290444,81005.1173750762
56764.7059738683,82821.34567405666
58586.40574909952,84582.18944511176
60411.943399257325,86283.0841924553
62236.56183411875,87919.88401768642
64055.4357865835,89488.88721701797
65863.71626058793,90986.8545311618
67656.5753899086,92411.02008699645
69429.25083168317,93759.09525683925
71177.08883265979,95029.26582657552
72895.5851476367,96220.183003014
74580.42305695874,97330.94890042018
76227.50782072984,98361.09722480828
77832.99701784759,99310.56992251342
79393.32634336605,100179.69057851913
80905.23057264274,100969.13534283571
82365.75953945384,101679.90213357942
83772.28911197757,102313.27881745728
85122.52727978575,102870.8110064651
86414.51558191219,103354.27003803664
87646.62620673531,103765.62162863124
88817.55517592395,104106.99561137422
89926.31208531841,104380.65708989307
90972.2069147901,104588.97926536744
91954.8344373948,104734.41812389529
92874.0567570397,104819.48910787825
93729.9844857506,104846.74583905569
94522.95703934976,104818.76091244476
95253.5224871667,104738.10873979235
95922.41734062842,104607.35038795306
96530.5466104238,104429.02033140819
97078.9644053299,104205.61501832092
97568.85529024064,103939.58313538825
98001.5165684648,103633.31744756411
98378.3416054658,103289.14808375534
98700.80426888728,102909.33713812173
98970.44452347032,102496.07445798109
99188.85518944688,102051.4744929264
99357.66984898684,101577.5740850677
99478.5518668454,101076.33108684959
99553.18447790427,100549.6237002677
99583.26188513338,99999.25043918026
99570.48130590198,99426.93062451332
99516.53590184046,98834.30533026907
99423.108526945,98222.93870620054
99291.86622975544,97594.31961068008
99124.45544772898,96949.86349457421
98922.4978349794,96290.9144837793
98687.58666803324,95618.74761443173
98421.28377792996,94934.57118066514
98125.11696069008,94239.52916014034
97800.57782176849,93534.7036874305
97449.12001353272,92821.11754971923
97072.1578280067,92099.73668318891
96671.0651100905,91371.47265196443
96247.17445920216,90637.18509456635
95801.77668980052,89897.68412554641
95336.12052355552,89153.73268236019
94851.41248805674,88406.04880960593
94348.81699890904,87655.30787455621
93829.45660387812,86902.14470945808
93294.41236943525,86147.1556774036
92744.72439162328,85390.90065970214
92181.39241463834,84633.90496364071
91605.37654190192,83876.66115031959
91017.59802569685,83119.63078291668
90418.94012265952,82363.24609628349
89810.24900356928,81607.9115892217
89192.3347069522,80854.00554114787
88565.97212702932,80101.88145513604
87931.90202748496,79351.86942954434
87290.83207341626,78604.27746059319
86643.43787464866,77859.39267837608
85990.36403436793,77117.48251885762
85332.2251977277,76378.79583445394
84669.60709574631,75643.56394580269
84003.06758040759,74912.00163731916
83333.13764743201,74184.30809910539
82660.32244368794,73460.66781773444
81985.10225667027,72741.25141837506
81307.9334838893,72026.2164606553
80629.24958038666,71315.70819059042
79949.46198293267,70609.86025082119
79268.96100976024,69908.79535132617
78588.1167349604,69212.62590268665
77907.2798369024,68521.4546138967
77226.78242025286,67835.37505662456
76546.93881135357,67154.47219774518
75868.04632687988,66478.82290187952
75190.38601584225,65808.49640559244
74514.22337511562,65143.55476482002
73839.80903878501,64484.05327701837
73167.37944168475,63830.04087944909
72497.15745758296,63181.56052494338
71829.35301252492,62538.64953641558
71164.1636738997,61901.33994132881
70501.7752158349,61269.65878725057
69842.36216155652,60643.62843957347
69186.08830337483,60023.266862417404
68533.1072009745,59408.58788367247
67883.56265869862,58799.60144508848
67237.58918252216,58196.31383826579
66595.31241741232,57598.72792735363
65956.84956577083,57006.84335921636
65322.30978764768,56420.65676178445
64691.79458340782,55840.16193126603
64065.39815952124,55265.35000885578
63443.20777813456,54696.20964754123
62825.30409106804,54132.727169572056
62211.7614588663,53574.886715124805
61602.64825551472,53022.670382664975
60998.02715941603,52476.05836147896
60397.955431204,51935.02905682106
59802.48517895257,51399.55920809483
59211.66361132072,50869.62400046354
58625.53327915439,50345.19717026177
58044.13230604854,49826.251104558316
57467.494608353816,49312.75693520036
56895.65010509417,48804.68462764956
56328.62491824374,48302.00306490279
55766.44156379363,47804.68012677318
55209.11913402217,47312.68276479119
54656.67347136499,46825.977072970345
54109.11733426528,46344.528354668146
53566.460555368205,45868.30118575937
53028.710192408405,45397.259474326354
52495.87067212404,44931.36651705924
51967.943927516855,44470.5850525478
51444.92952876333,44014.877311636345
50926.82480806875,43564.20506500309
50413.62497874297,43118.529668116375
49905.32324876411,42677.81210371123
49401.91092908444,42242.013021921724
48903.37753692132,41811.09277819679
48409.71089426468,41385.01146911998
47920.8972218223,40963.728966246745
47436.92122861368,40547.20494806654
46957.76619741382,40135.39893019074
46483.4140662386,39728.27029386207
46013.84550605501,39325.778312875394
45549.03999489045,38927.882178995205
