evolving_asym_D=0.4 mm/w,evolving_sym_D=0.4 mm/w
400.0,400.0
400.0,400.0
400.05028100768766,400.05028100768766
400.3754311830181,400.3758334233771
400.9674732557746,400.96905510917827
401.8140704739848,401.81796092044846
402.9032089379331,402.9108682908739
404.2239176992774,404.23712011910277
405.76633286597297,405.7871512750346
407.5216163777295,407.55240945452334
409.48184679746765,409.5252477789673
411.639913444174,411.69882050621123
413.98942188426815,414.0669899033127
416.52461181802494,416.62424534529407
419.24028632005377,419.3656336218562
422.13175090362415,422.2866989411403
425.1947609087854,425.38343114681203
428.4254758970871,428.65222084516927
431.8204199433664,432.08982034462935
435.3764469051871,435.6933094984038
439.0907099120409,439.4600657012951
442.96063444944514,443.3877374234018
446.98389452123934,447.4742207706856
451.1583914609683,451.717638649098
455.4822350342093,456.1163221792073
459.95372653136695,460.66879406531547
464.57134359752496,465.37375366958526
469.3337265845418,470.23006357984013
474.23966624240376,475.2367374911243
479.288092593226,480.3929292471474
484.47806485327527,485.69792290941876
489.8087622867952,491.15112374002655
495.2794758909123,496.75204999928405
500.8896008240053,502.5003254723733
506.6386295010512,508.39567265007224
512.5261452889607,514.4379064980001
518.5518167430511,520.6269287568138
524.7153923328012,526.9627227226719
531.0166956110736,533.4453484632138
537.4556207862165,540.0749384294435
544.0321286610063,546.8516934283698
550.746242906351,553.7758789251465
557.5980466411402,560.8478216468545
564.5876792926612,568.0679064630507
571.7153337146733,575.4365735208238
578.9812535425815,582.9543156144107
586.3857307672313,590.6216757714598
593.9291035106849,598.4392450398354
601.6117539889716,606.4076604604597
609.4341066482584,614.5276032131073
617.3966264621788,622.799796923342
625.4998173792135,631.2250061199125
633.7442209100506,639.8040348329379
642.1304148457749,648.5377253241221
650.6590120985713,657.4269569410461
659.3306596573696,666.4726450883229
668.1460376515319,675.6757403090545
677.1058585162922,685.037227470627
686.2108662542015,694.558125049413
695.4618357873295,704.2394845094364
704.8595723954224,714.0823897704951
714.4049112356236,724.0879567616317
724.0987169397324,734.2573330562059
733.9418832853148,744.5916975851505
743.9353329372842,755.0922604252926
754.0800172568523,765.7602626598922
764.3769161750042,776.596976308804
774.8270381278868,787.6037043258904
785.4314200517132,798.7817806615277
796.1911274349844,810.1325703882371
807.107254426008,821.6574698876467
818.1809239938633,833.3579070971556
829.4132881411148,845.2353418148199
840.805528166719,857.2912660611174
852.3588549777007,869.5272044963788
864.0745094482992,881.9447148927891
875.953762825397,894.545388659977
887.9979171791524,907.330851423311
900.2083058978543,920.3027636541193
912.586294226114,933.4628213511426
925.1332798455936,946.8127567726108
937.8506934975568,960.354339218422
950.739999646604,974.0893758619727
963.8026971850268,988.0197126312672
977.0403201772938,1002.1472351389996
990.45443864424,1016.4738696613724
1004.0466593866024,1031.0015841654813
1017.818626847606,1045.732389385153
1031.7720240143583,1060.6683399451945
1045.9085733578847,1075.8115355340583
1060.2300378116731,1091.164122125002
1074.7382217886698,1106.7282932458645
1089.4349722367124,1122.5062912976477
1104.3221797324438,1138.5004089221447
1119.4017796138023,1154.712990418913
1134.6757531512346,1171.1464332119483
1150.1461287578302,1187.8031893664688
1165.8149832386323,1204.6857671562802
1181.6844430794215,1221.7967326822454
1197.7566857753295,1239.138711542443
1214.0339411996886,1256.7143905546566
1230.518493013568,1274.526519531898
1247.212680116517,1292.5779131117247
1264.118898139065,1310.8714526401786
1281.2396009776044,1329.410088111231
1298.5773023723148,1348.1968401626896
1316.1345775288653,1367.2348021295809
1333.914064784664,1386.5271421561004
1351.918467320496,1406.0771053672804
1370.1505549184462,1425.8880161016057
1388.6131657670542,1445.9632802058766
1407.3092083147212,1466.306387393694
1426.2416631724393,1486.920913669021
1445.413585066982,1507.8105238163528
1464.8281048457582,1528.978973959109
1484.4884315345962,1550.4301141879498
1504.397854449794,1572.1678912607993
1524.559745365838,1594.1963513764545
1544.9775607402678,1616.519643023747
1565.6548439972307,1639.1420199083211
1586.595227871353,1662.0678439591898
1607.8024368136234,1685.301588417332
1629.2802894610677,1708.8478410086984
1651.0327011720713,1732.7113072041002
1673.0636866292984,1756.8968135685657
1695.3773625122246,1781.4093112028677
1717.977950241408,1806.253879280037
1740.8697787966998,1831.4357286798033
1764.057287611696,1856.9602057240297
1787.5450295468238,1882.8327960163333
1811.3376739435605,1909.0591283892236
1835.4400097623743,1935.6449789622231
1859.8569488070984,1962.5962753145795
1884.5935290385328,1989.9191007763231
1909.654917980209,2017.6196988415786
1935.046416219344,2045.7044777081908
1960.7734610061325,2074.1800149478886
1986.8416299546668,2103.053062311378
2013.2566448488687,2132.3305506729225
2040.024375556972,2162.0195951191467
2067.150844058219,2192.1275001869867
2094.6422285855674,2222.6617652558907
2122.504867888357,2253.6300900995716
2150.7452656190208,2285.0403806028103
2179.37009484808,2316.900754649019
2208.3862027118244,2349.2195481844783
2237.8006151972345,2382.0053214653926
2267.62054206886,2415.2668654941167
2297.853381942557,2449.013208651159
2328.506727511155,2483.253623529787
2359.58837092729,2517.997633980324
2391.106309348864,2553.2550223714657
2423.0687506527497,2589.0358370762215
2455.484119322572,2625.350400190336
2488.36106251661,2662.2093154913478
2521.7084563220646,2699.6234766467014
2555.5354122021563,2737.6040756796438
2589.851283642753,2776.1626117019255
2624.665673005444,2815.310899922639
2659.988438594228,2855.0610809428495
2695.829701943217,2895.4256303459947
2732.199855333032,2936.41736859437
2769.109569543789,2978.049471242357
2806.5698018528947,3020.335479477405
2844.591804286088,3063.289311000145
2883.1871321304966,3106.9252712553707
2922.367652718743,3151.258065026015
2962.1455544934324,3196.302808402625
3002.533356361676,3242.075041141241
3043.543917349605,3288.5907394229853
3085.190446567164,3335.866329029076
3127.4865134937872,3383.918698945399
3170.446058595924,3432.7652154111934
3214.083404287695,3482.423736426847
3258.4132662463508,3532.912626736215
3303.450765094527,3584.250773299336
3349.211438461693,3636.457601271851
3395.7112534375474,3689.553090507891
3442.966619430497,3743.5577926036326
3490.994401444754,3798.492848499197
3539.811933789974,3854.380006656992
3589.437034237749,3911.241641835068
3639.888018639696,3969.100774474492
3691.183716022269,4027.981090720185
3743.343484173832,4087.906963095106
3796.387225739972,4148.903471848084
3850.3354048434026,4210.996426996004
3905.2090642452654,4274.212391081451
3961.029843065007,4338.578702667303
4017.819995076456,4404.123500590084
4075.6024075981054,4470.875748994241
4134.4006209960025,4538.865263169798
4194.23884881805,4608.122736216087
4255.141998578892,4678.679766554484
4317.135693214905,4750.568886313236
4380.246293229199,4823.823590607611
4444.500919546809,4898.478367738606
4509.927477100596,4974.5687303335035
4576.554679168634,5052.131247451419
4644.412072484113,5131.203577676853
4713.530063138967,5211.8245032239665
4783.939943302629,5294.033965073948
4855.673918777411,5377.873099167324
4928.765137412081,5463.384273672475
5003.247718395191,5550.6111273508395
5079.156782449671,5639.598609038365
5156.528482950018,5730.39301826168
5235.400037983249,5823.042047006178
5315.809763374378,5917.594822651708
5397.797106696835,6014.1019520898235
5481.402682287639,6112.615567034615
5566.668307286511,6213.189370536855
5653.637038717278,6315.878684708665
5742.35321162897,6420.740499663061
5832.862478312855,6527.833523669471
5925.211848610384,6637.218234522762
6019.449731325425,6748.956932119271
6115.625976752499,6863.1137922288835
6213.791920330662,6979.75492144725
6314.000427430494,7098.948413306781
6416.305939279066,7220.764405518999
6520.764520024931,7345.275138314245
6627.433904941979,7472.555013837399
6736.373549767444,7602.680656550353
6847.644681165398,7735.730974583219
6961.310348302665,7871.787221966766
7077.435475519284,8010.933061668211
7196.086916070245,8153.254629341232
7317.333506909402,8298.84059768886
7441.246124479983,8447.782241324674
7567.897741469051,8600.17350200341
7697.363484475542,8756.111054076682
7829.720692533101,8915.694370012869
7965.048976419707,9079.025785802347
8103.430278676142,9246.210566050073
8244.948934244505,9417.35696853696
8389.691731626253,9592.576308009524
8537.747974446558,9771.983018933835
8689.209543298097,9955.694716924863
8844.170957722632,10143.832258535753
9002.72943817288,10336.519799063506
9164.98496778016,10533.884847997775
9331.040353735048,10736.058321708135
9501.001288068746,10943.174592932186
9674.976407602133,11155.371536592238
9853.077352807108,11372.790571432066
10035.418825301476,11595.576696927474
10222.1186436734,11823.878524885133
10413.297797305102,12057.848305103487
10609.080497837504,12297.641944427594
10809.594227888,12543.419018486684
11014.96978660269,12795.342775359246
11225.34133159196,13053.580130365666
11440.846416764423,13318.301651143302
11661.62602553907,13589.681532113458
11887.824598878822,13867.897557404644
12119.590057550962,14153.13105125185
12357.073817980954,14445.566814848164
12600.430801026332,14745.393048583046
12849.81943295662,15052.801258561878
13105.401637884048,15367.98614626436
13367.342820848173,15691.145480165893
13635.811840715976,16022.479948116834
13910.980972017587,16362.192989250416
14193.025854797175,16710.49060417196
14482.125431518903,17067.58114217086
14778.461870029969,17433.675064193616
15082.220471546749,17808.984680321933
15393.58956259698,18193.723860515976
15712.76036982108,18588.107717410003
16039.926876509911,18992.352259987292
16375.285659735502,19406.67401701463
16719.035706915787,19831.28962918459
17071.378210645875,20266.415408997884
17432.516340626902,20712.266867518993
17802.654991530744,21169.058207257218
18182.000505655345,21637.00178056324
18570.760369252424,22116.307513088723
18969.142881447857,22607.182292034402
19377.356794725933,23109.829319110715
19795.610926013527,23624.44742835444
20224.11373747931,24151.230369185287
20663.072886257985,24690.366055347236
21112.694742420885,25242.035780660266
21573.18387464276,25806.41340280769
22044.74250316108,26383.664496701545
22527.569919789294,26973.945479301256
23021.861874929167,27577.402708107278
23527.809931730284,28194.171555908808
24045.600787766623,28824.375464729994
24575.415564840383,29468.12498228921
25117.42906778174,30125.516784656742
25671.809013388607,30796.632689164035
26238.7152309417,31481.538661977647
26818.298836035712,32180.28382509897
27410.701379785005,32892.899467881485
28016.053975789862,33619.39806846614
28634.47640758417,34359.77233081709
29266.076219624323,35113.994243290035
29910.947795219094,35882.014164878216
30569.17142513705,36663.75994545316
31240.812370958367,37459.136086443345
31925.919927556988,38268.022948470694
32624.52648940321,39090.276012488896
33336.646625660724,39925.72520093584
34062.27616931227,40774.174265323025
34801.39132577945,41635.40024653585
35553.94780670054,42509.15301390987
36319.87999469144,43395.15488887837
37099.10014503539,44293.10035865783
37891.49763032274,45202.655885049884
38696.93823409084,46123.45981299467
