fixed_asym_D=0.4 mm/w,fixed_sym_D=0.4 mm/w
400.0,400.0
400.0,400.0
400.05028100768766,400.05028100768766
400.37523005898737,400.3754311753156
400.96485825062354,400.96565195494986
401.8048928159196,401.80685186607974
402.88148976759095,402.8853606024302
404.1819470660839,404.18864344666446
405.69475671875534,405.7053544364663
407.4095116771013,407.4252441796458
409.31678593965546,409.3390407498644
411.4080193158785,411.4383351374541
413.67541476292064,413.7154791827549
416.1118491770581,416.16349688653446
418.7107964478941,418.7760079161715
421.46626111223526,421.54716165338255
424.3727209946681,424.4715801779878
427.4250774228513,427.5443087820766
430.6186118286503,430.7607728311049
433.9489477491857,434.11673999063123
437.41201741394576,437.6082870088338
441.0040322458152,441.23177038610766
444.7214567191736,444.98380037788655
448.5609851117015,448.8612178699331
452.5195207623903,452.86107374086765
456.5941575100014,456.98061038817383
460.782163036696,461.21724514415644
465.0809638830339,465.56855534959425
469.4881319347937,470.0322648869083
474.0013722105092,474.606232002953
478.6185118023547,479.2884382751443
483.3374898429296,484.0769785944382
488.1563483872747,488.9700520553588
493.0732241136763,493.9659536574069
498.0863407589024,499.0630667341962
503.1940022138508,504.25985603692993
508.3945862144466,509.55486140763327
513.6865385702573,514.9466919851328
519.0683678798806,520.4340208933214
524.538640687877,526.015580366919
530.0959770429846,531.6901572748748
535.7390464216905,537.4565890058592
541.4665639850227,543.3137596840598
547.2772871397534,549.260596686795
553.1700123781312,555.2960674383656
559.1435723728383,561.419176457125
565.1968333061471,567.6289626350078
571.3286924142733,573.924496730766
577.5380757297114,580.304879059934
583.8239360059367,586.7692373661325
590.1852508102754,593.3167248597256
596.6210207720173,599.9465184111064
603.1302679739787,606.6578168870133
609.7120344767416,613.4498396192855
616.3653809657097,620.3218249963737
623.0893855119427,627.2730291687351
629.8831424384706,634.3027248599748
636.7457612844591,641.4102002762571
643.6763658602002,648.5947581071073
650.6740933864462,655.855714611263
657.7380937121056,663.1923987817268
664.867528604764,670.6041515846108
672.0615711089048,678.0903252667717
679.3194049670776,685.6502827275984
686.6402240995976,693.283396950649
694.0232321386749,700.98905049114
701.4676420131519,708.7666350155672
708.9726755802902,716.6155508899928
716.5375633012826,724.535206813768
724.16154395739,732.5250194956708
731.8438644038013,740.5844133696402
739.5837793584998,748.7128203474635
747.3805512235941,756.9096796059448
755.233449936727,765.1744374062309
763.1417528503237,773.5065469431202
771.1047446365792,781.9054682223023
779.1217172162065,790.3706679636076
787.1919697090897,798.9016195284506
795.3148084050919,807.4978028697604
803.4895467533742,816.1587045027894
811.7155053686732,824.8838174952798
819.9920120530787,833.672641475556
828.3184018319329,842.5246826571878
836.694017002555,851.4394538789453
845.1182071945682,860.4164746588368
853.5903294406735,869.4552712610857
862.1097482567853,878.555376774965
870.6758357305027,887.7163312044665
879.2879716169502,896.9376815678371
887.9455434410779,906.2189820060656
896.6479466055636,915.5597938994547
905.3945845035104,924.9596859914583
914.1848686351808,934.4182345190093
923.0182187280504,943.9350233486051
931.894062859518,953.5096441174592
940.8118375816334,963.1416963790635
949.7709880472626,972.8307877525466
958.7709681371308,982.5765340752428
967.811240587232,992.3785595579262
976.8912771161212,1002.236496942191
986.0105585516408,1012.1499876594931
995.1685749566628,1022.1186819913967
1004.3648257534608,1032.1422392305967
1013.5988198463516,1042.2203278423176
1022.8700757422778,1052.3526256257112
1032.1781216690229,1062.5388198749067
1041.5224956907823,1072.778607539383
1050.9027458208348,1083.0716953833644
1060.3184301310805,1093.4178001439561
1069.769116858237,1103.8166486877626
1079.254384506507,1114.2679781657482
1088.7738219465414,1124.7715361661226
1098.3270285105584,1135.327080865051
1107.913614083482,1145.9343811750077
1117.5331991899873,1156.593216890609
1127.1854150773604,1167.303378831777
1136.8699037940876,1178.064668984108
1146.5863182641133,1188.8769006363245
1156.3343223567151,1199.7398985147156
1166.1135909519594,1210.6534989144775
1175.9238100017153,1221.6175498278826
1185.7646765862155,1232.6319110692186
1195.6358989661649,1243.6964543964525
1205.5371966304108,1254.8110636295823
1215.4683003391967,1265.9756347656582
1225.428952163031,1277.1900760904582
1235.418905517215,1288.454308286819
1245.4379251920802,1299.7682645396308
1255.4857873789929,1311.131890637514
1265.5622796921948,1322.545145071208
1275.6672011865517,1334.007999128703
1285.8003623712912,1345.5204369871653
1295.9615852198174,1357.0824558017046
1306.1507031756937,1368.6940657910422
1316.3675611548897,1380.3552903201498
1326.612015544399,1392.0661659799268
1336.8839341973303,1403.826742663999
1347.1831964245837,1415.6370836427209
1357.5096929832273,1427.497265634471
1367.8633260616912,1439.4073788743372
1378.2440092618972,1451.3675271802886
1388.6516675784494,1463.3778280169386
1399.086237375009,1475.4384125570073
1409.5476663579784,1487.5494257405926
1420.0359135476265,1499.7110263323666
1430.55094924678,1511.9233869768123
1441.0927550072126,1524.1866942516226
1451.6613235938644,1536.5011487193835
1462.2566589470186,1548.8669649776652
1472.8787761425706,1561.284371707651
1483.5277013505183,1573.7536117214274
1494.203471791806,1586.274942008072
1504.9061356936502,1598.8486337786633
1515.6357522434778,1611.4749725103497
1526.392391541608,1624.1542579896104
1537.1761345528012,1636.8868043548375
1547.987073056804,1649.6729401383805
1558.8253095980156,1662.513008308182
1569.6909574343997,1675.4073663091424
1580.5841404857604,1688.3563861043472
1591.504993281509,1701.3604542162927
1602.4536609080355,1714.419971768243
1613.4302989557996,1727.535354525853
1624.4350734662646,1740.7070329391925
1635.468160878778,1753.9354521853006
1646.5297479775138,1767.2210722114069
1657.6200318385834,1780.5643677789478
1668.7392197774227,1793.9658285085106
1679.887529296558,1807.425958925833
1691.065188033851,1820.9452785089884
1702.272433711327,1834.5243217368843
1713.5095140846763,1848.1636381391988
1724.776686893529,1861.8637923478825
1736.0742198125904,1875.6253641503483
1747.4023904037333,1889.448948544473
1758.7614860691244,1903.3351557955318
1770.1518040054798,1917.2846114951853
1781.5736511595258,1931.29795662264
1793.0273441847455,1945.3758476080968
1804.5132093994928,1959.5189563986082
1816.031582746543,1973.727970526454
1827.5828097541569,1988.0035931801542
1839.1672454987292,2002.346543278227
1850.785254569092,2016.7575555458072
1862.4372110325248,2031.2373805942318
1874.1234984025616,2045.7867850037019
1885.8445096086307,2060.4065514091294
1897.600646967602,2075.0974785892736
1909.392322157296,2089.8603815592724
1921.219956192008,2104.6960916666726
1933.0839794001056,2119.6054566910607
1944.984831403746,2134.589340947399
1956.922961100767,2149.6486253931607
1968.8988266488,2164.7842077393734
1980.9128954516475,2179.9970025656594
1992.965644147976,2195.2879414393774
2005.0575586023615,2210.6579730389603
2017.189133898733,2226.108063281543
2029.360874336251,2241.63919545498
2041.5732934276648,2257.252370354342
2053.8269139001814,2272.9486064229905
2066.122267698878,2288.728939898319
2078.4598959927075,2304.5944249622567
2090.840349183112,2320.546133896627
2103.264186915288,2336.5851572434485
2115.7319780921357,2352.7126039702766
2128.2443008909104,2368.9296016406706
2140.8017427826217,2385.2372965898808
2153.404900554194,2401.636854105845
2166.054380333425,2418.1294586155855
2178.7507976167653,2434.7163138770948
2191.4947772999453,2451.3986431768044
2204.286953711474,2468.1776895327234
2217.1279706490336,2485.0547159033385
2230.0184814188,2502.031005402367
2242.9591488776987,2519.1078615194524
2255.950645478638,2536.2866083468934
2268.993653318723,2553.5685908125
2282.0888641904858,2570.955174918664
2295.236979636148,2588.4477479877382
2308.438711004937,2606.0477189138205
2321.694779513483,2623.756518421028
2335.005916309303,2641.5755993283615
2348.3728625374147,2659.50643682125
2361.796369410084,2677.550528729873
2375.277198279728,2695.709395814353
2388.816120715007,2713.984582056917
2402.4139185801137,2732.3776549611225
2416.071384117282,2750.8902058582444
2429.7893200325443,2769.523850220922
2443.5685395847518,2788.2802279841694
2457.4098666778777,2807.1610038738386
2471.314135956635,2826.1678677426507
2485.2821929054157,2845.3025349138843
2499.314893950588,2864.566746532831
2513.4131065661663,2883.962269926121
2527.5777093828788,2903.49089896902
2541.809592300654,2923.154454460809
2556.1096566045544,2942.9547845083493
2570.478815084179,2962.8937649179393
2584.9179921565583,2982.973299595579
2599.428123992569,3003.1953209557446
2614.0101586468936,3023.561790338787
2628.665056191552,3044.0746984370667
2643.393788853029,3064.7360657299387
2658.197341153036,3085.5479429276975
2673.0767100529115,3106.512411424601
2688.0329051017243,3127.6315837610873
2703.066948588076,3148.907604095303
2718.17987569565,3170.3426486840563
2733.3727346625437,3191.9389263733174
2748.6465869443923,3213.698679098387
2764.002507381349,3235.624182393846
2779.441584368924,3257.7177459134136
2794.96492003274,3279.981713959834
2810.573630407225,3302.4184660249107
2826.268845618288,3325.030417339814
2842.0517100700044,3347.8200194357837
2857.92338263536,3370.78976071535
2873.8850368510816,3393.9421670341962
2889.9378611166035,3417.2798022937864
2906.083058897199,3440.805269044884
2922.32184893133,3464.521209102081
2938.6554654422484,3488.4303041694643
2955.085158353896,3512.5352764775434
2971.612193511145,3536.8388894315563
2988.237852904426,3561.3439482712806
3004.9634348987865,3586.053300742471
3021.7902544674325,3610.969837780039
3038.719643429791,3636.096494203098
3055.752950694153,3661.4362494219877
3072.8915425049377,3686.9921281573993
3090.136802694633,3712.767201171707
3107.490132940464,3738.7645860126236
3124.952953025836,3764.987447769292
3142.5267011066185,3791.438999840911
3160.212833982303,3818.122504718008
3178.012827372112,3845.041274776452
3195.9281761960983,3872.1986730843146
3213.9603948613044,3899.5981142216565
3232.111017553026,3927.243065113346
3250.381598531249,3955.1370458749807
3268.7737124323166,3983.2836306719996
3287.288954575879,4011.686448592055
3305.9289412772014,4040.349184530715
3324.695310164875,4069.2755800905575
3343.589720504007,4098.469434493711
3362.613853524943,4127.934605507887
3381.7694127575924,4157.6750103859495
3401.0581243714155,4187.694626819045
3420.481737521141,4217.997493903321
3440.04202469828,4248.587713120243
3459.740782088493,4279.469449330513
3479.5798299348967,4310.646931781575
3499.561012907352,4342.124455128696
3519.6862004778186,4373.90638046958
3539.9572873018424,4405.997136392471
3560.3761936062315,4438.401220037689
3580.944865583003,4471.123198172515
3601.6652757896613,4504.167708279331
3622.539423555879,4537.539459656919
3643.569335396645,4571.243234534773
3664.7570654319543,4605.283889200305
3686.104695813108,4639.666355138736
3707.614337155675,4674.395640185536
