"fixed_sym_D_0.4_ooo","fixed_asym_D_0.4_oog","fixed_asym_D_0.4_ogg","fixed_sym_D_0.4_ggg"
400.0,400.0,130.0,130.0
400.0,398.92,133.1891185,130.0
400.05028100768766,397.9072217229669,136.33199764531335,130.00408533187462
400.3754311753156,397.1843610447799,139.5068339685804,130.08562618820176
400.96565195494986,396.739845486004,142.71539189005998,130.24183574414877
401.8068518660797,396.55797137802335,145.95758161527436,130.46848435670717
402.8853606024302,396.6235978025076,149.23304806828926,130.7614362512278
404.18864344666446,396.9228424534396,152.54145669647096,131.11688680936035
405.7053544364663,397.4431194396181,155.8825552527411,131.53138438457648
407.4252441796458,398.1730344119262,159.2561805497744,132.0018042691937
409.3390407498644,399.1022548700708,162.6622503416694,132.52531338076963
411.4383351374541,400.2213866725759,166.1007518842006,133.09933598094375
413.7154791827549,401.5218643414268,169.57173073895558,133.7215230751536
416.16349688653446,402.9958558044924,173.07528085158486,134.38972584297323
418.7760079161715,404.63618020335497,176.6115360808554,135.10197276313815
421.54716165338255,406.4362369645968,180.1806630730484,135.8564499348092
424.4715801779878,408.389944412883,183.78285529855216,136.65148410549278
427.5443087820766,410.4916864274712,187.41832806318772,137.4855279754732
430.7607728311049,412.7362658836507,191.08731432682163,138.35714741641763
434.1167399906312,415.1188638363816,194.7900611875518,139.26501030398035
437.6082870088338,417.6350035854383,198.5268269143984,140.20787671707336
441.23177038610766,420.2805189109,202.2978784328208,141.18459029999386
444.98380037788655,423.0515258893808,206.10348918517923,142.19407061898056
448.8612178699331,425.94439779991296,209.9439373027648,143.23530637341258
452.86107374086765,428.9557427083595,213.81950403774343,144.30734934506094
456.9806103881738,432.0823833843508,217.7304724127936,145.40930898764088
461.2172451441565,435.3213392580136,221.67712605381257,146.54034757427848
465.5685553495943,438.66981016757023,225.65974817719217,147.69967583309796
470.0322648869083,442.12516168510143,229.67862070811563,148.8865490115111
474.606232002953,445.68491183787233,233.7340235103484,150.10026331838458
479.2884382751443,449.3467190677706,237.82623371126823,151.34015270041473
484.0769785944382,453.1083712925322,241.95552510855725,152.6055859150287
488.9700520553588,456.9677759502564,246.12216764717772,153.895963867166
493.9659536574069,460.9229509238289,250.32642695706383,155.21071718155045
499.0630667341962,464.9720162547448,254.56856394346173,156.5493039856752
504.25985603692993,469.1131865668335,258.8488344230951,157.9112078818022
509.55486140763327,473.3447641298444,263.1674888003708,159.2959360889144
514.9466919851328,477.6651325009972,267.52477177870617,160.70301773782387
520.4340208933214,482.0727506896542,271.9209221027904,162.13200230459262
526.015580366919,486.5661477963872,276.35617232820067,163.5824581691142
531.6901572748748,491.1439180830402,280.8307486153151,165.0539712871728
537.4565890058592,495.80471643504274,285.34487054489887,166.54614396557508
543.3137596840598,500.5472541813016,289.898750953113,168.05859373106864
549.260596686795,505.3702952405822,294.4925957840101,169.5909522847397
555.2960674383656,510.2726525664385,299.1266039578506,171.14286453444336
561.419176457125,515.2531848655375,303.8009672538024,172.71398769857777
567.6289626350078,520.3107935666824,308.51587020578404,174.30399047518287
573.924496730766,525.4444200200262,313.27149001037924,175.91255227093677
580.304879059934,530.6530429079054,318.0679964458945,177.5393624851483
586.7692373661325,535.9356758504526,322.90555180175795,179.18411984431154
593.3167248597256,541.2913651906919,327.7843108175604,180.84653178320437
599.9465184111064,546.7191879451948,332.70442063113586,182.52631386888427
606.6578168870133,552.2182499076163,337.66602073515367,184.22318926426718
613.4498396192855,557.7876838935326,342.6692429417654,185.93688822827212
620.3218249963737,563.4266481160038,347.7142113549064,187.6671476497822
627.2730291687351,569.134324682176,352.80104234990387,189.4137106129116
634.3027248599748,574.9099182020534,357.92984456008446,191.17632599128498
641.4102002762571,580.752654501292,363.1007188701148,192.95474806923048
648.5947581071073,586.6617794305363,368.3137584158366,194.74873618796252
655.855714611263,592.6365577644112,373.5690485903886,196.55805441499143
663.1923987817268,598.6762721838294,378.8666670564284,198.38247123513884
670.6041515846108,604.7802223357628,384.20668376428887,200.2217592616704
678.0903252667717,610.9477239650796,389.5891609759195,202.07569496617444
685.6502827275984,617.1781081134524,395.0141532944771,203.94405842592388
693.283396950649,623.4707203807178,400.48170769944267,205.8266330875565
700.98905049114,629.8249202444076,405.99186358715065,207.72320554599779
708.7666350155672,636.2400804334815,411.5446528166249,209.6335653376329
716.6155508899928,642.7155863525755,417.1400997606216,211.5575047468077
724.535206813768,649.2508355533447,422.77822136178463,213.49481862480783
732.5250194956708,655.8452372497107,428.4590271938241,215.44530422052642
740.5844133696402,662.4982118740539,434.1825195276287,217.40876102208833
748.7128203474635,669.2091906715834,439.9486934022276,219.38499060875142
756.9096796059448,675.9776153303103,445.7575367005168,221.37379651245269
765.1744374062309,682.8029376442189,451.6090302296664,223.3749840884118
773.5065469431202,689.684619207389,457.503147806124,225.3883603942451
781.9054682223023,696.6221311369701,463.4398563451308,227.41373407707988
790.3706679636076,703.614953823043,469.4191159546636,229.45091526819394
798.9016195284506,710.6625767035302,475.4408800337173,231.4997154847365
807.4978028697604,717.7644980624324,481.50509537483777,233.55994753811612
816.1587045027894,724.9202248497779,487.61170227081647,235.63142544866818
824.8838174952798,732.1292725217716,493.7606346254528,237.71396436623942
833.672641475556,739.3911648997221,499.9518200682908,239.80738049635013
842.5246826571878,746.7054340464168,506.1851800732328,241.91149103161615
851.4394538789453,754.071620158691,512.4606300809304,244.02611408813212
860.4164746588368,761.489271475017,518.7780796248519,246.15106864653652
869.4552712610857,768.9579441970092,525.1374324609205,248.28617449749547
878.555376774965,776.4772024238055,531.538586700618,250.4312521913582
887.7163312044665,784.0466180983505,537.9814349474439,252.58612299175203
896.9376815678371,791.6657709646623,544.4658644366191,254.75060883289814
906.2189820060656,799.3342485352213,550.9917571779193,256.92453228044224
915.5597938994548,807.0516460676671,557.5589901015231,259.10771649560576
924.9596859914584,814.8175665500444,564.1674352067555,261.29998520247517
934.4182345190092,822.6316206938767,570.8169597136072,263.5011626582557
943.9350233486052,830.4934269343969,577.5074262169074,265.7110736263271
953.5096441174592,838.4026114372978,584.238692843026,267.92954335194696
963.1416963790635,846.358808111409,591.0106134089785,270.15639754045543
972.8307877525466,854.3616586267398,597.823037583809,272.39146233784413
982.5765340752428,862.4108124373623,604.6758110521199,274.6345643135578
992.3785595579262,870.5059268086425,611.5687756796208,276.8855304454054
1002.236496942191,878.6466668483552,618.5017696805645,279.1441881064632
1012.1499876594931,886.8327055412512,625.4746277869395,281.41036505385887
1022.1186819913968,895.063723786669,632.4871814192867,283.68388941933017
1032.1422392305967,903.3394104388104,639.5392588590065,285.96458970145903
1042.2203278423176,911.6594623493274,646.6306854220255,288.2522947594849
1052.3526256257112,920.023584411884,653.7612836336876,290.5468338086074
1062.5388198749067,928.4314896083876,660.9308734047374,292.84803641669146
1072.778607539383,936.8828990565994,668.1392722082628,295.15573250229403
1083.0716953833644,945.377542058854,675.3862952574649,297.4697523339334
1093.417800143956,953.9151561516426,682.6717556841226,299.78992653052745
1103.8166486877626,962.4954871558238,689.9954647176208,302.11608606292975
1114.2679781657482,971.1182892272544,697.3572318644137,304.44806225649637
1124.7715361661226,979.7833249076368,704.756865087791,306.7856867946187
1135.327080865051,988.4903651754054,712.1941709878221,309.1287917231614
1145.9343811750075,997.2391894964834,719.6689549813509,311.4772094557466
1156.593216890609,1006.0295858747584,727.1810214819161,313.83077277982886
1167.303378831777,1014.8613509021362,734.7301740794741,316.1893148635069
1178.064668984108,1023.7342898080502,742.3162157198036,318.5526692630223
1188.8769006363243,1032.6482165083064,749.9389488834732,320.92066993089526
1199.7398985147156,1041.602953653167,757.598175764254,323.29315122465175
1210.6534989144775,1050.5983326745795,765.2936984468632,325.66994791609784
1221.6175498278826,1059.6341938324676,773.0253190839271,328.05089520109783
1232.6319110692186,1068.710386260018,780.7928400720529,330.43582870981646
1243.6964543964525,1077.826768007896,788.5960642269025,332.82458451738614
1254.8110636295823,1086.9832060873432,796.4347949571659,335.2169991549621
1265.9756347656582,1096.1795765121058,804.3088364373297,337.61290962112986
1277.1900760904582,1105.4157643391643,812.2179937791457,340.0121533936316
1288.454308286819,1114.691663708235,820.1620732017029,342.4145684413784
1299.7682645396308,1124.007177880014,828.1408822000109,344.8199932367178
1311.131890637514,1133.362219273164,836.1542297120059,347.228266767927
1322.545145071208,1142.756709500021,844.2019262838954,349.63922855190305
1334.007999128703,1152.1905794010288,852.2837842337575,352.0527186470235
1345.520436987165,1161.6637690779007,860.399617813317,354.4685776661511
1357.0824558017046,1171.17622792552,868.5492433678243,356.88664678975823
1368.6940657910422,1180.72791466259,876.7324794939634,359.3067677791472
1380.3552903201498,1190.3187973610577,884.9491471957238,361.72878298974393
1392.0661659799268,1199.9488534743296,893.1990700381687,364.15253538444364
1403.826742663999,1209.618069864311,901.482074299042,366.5778685469877
1415.6370836427209,1219.3264428272987,909.7979891181548,369.0046266953523
1427.497265634471,1229.073978118761,918.1466466444984,371.43265469513017
1439.4073788743372,1238.8606909770483,926.5278821810348,373.86179807288755
1451.3675271802886,1248.68660614607,934.9415343271188,376.29190302947933
1463.3778280169386,1258.5517578969882,943.3874451185076,378.72281645330634
1475.4384125570073,1268.4561900489698,951.8654601649204,381.1543859334995
1487.5494257405926,1278.399955989053,960.375428785114,383.586459773016
1499.7110263323666,1288.3831186911762,968.9172041394404,386.01888700163374
1511.9233869768125,1298.4057507344232,977.4906433598602,388.4515173888312
1524.1866942516226,1308.4679343205464,986.0956076773872,390.8842014565393
1536.5011487193835,1318.569761290818,994.7319625469432,393.316790491755
1548.8669649776652,1328.711333142275,1003.3995777696052,395.7491365590037
1561.284371707651,1338.8927610434168,1012.0983276122324,398.18109251264116
1573.7536117214274,1349.114165849417,1020.8280909244615,400.6125120089844
1586.274942008072,1359.3756781169136,1029.5887512530635,403.04324951826254
1598.8486337786633,1369.6774381184405,1038.3801969536569,405.47316033637804
1611.4749725103495,1380.0195958565685,1047.2023212997783,407.9021005964711
1624.1542579896104,1390.402311077818,1056.055022589314,410.32992728027847
1636.8868043548375,1400.8257532864125,1064.9382042482937,412.75649822928
1649.6729401383805,1411.2901017579377,1073.851774932057,415.18167215562585
1662.513008308182,1421.7955455529768,1082.79564862381,417.6053086528381
1675.4073663091424,1432.3422835307858,1091.7697447305743,420.0272682062812
1688.3563861043472,1442.9305243630797,1100.7739881765588,422.4474122033951
1701.3604542162927,1453.560486547995,1109.808309493961,424.8656029436872
1714.419971768243,1464.2323984243012,1118.8726449112344,427.28170364847705
1727.535354525853,1474.9464981859228,1127.9669364388349,429.69557847039147
1740.7070329391925,1485.7030338968443,1137.0911319524805,432.1070925026044
1753.9354521853006,1496.5022635064663,1146.245185273951,434.51611178781934
1767.2210722114069,1507.3444548654763,1155.4290562494648,436.92250332699075
1780.5643677789478,1518.2298857423052,1164.642710825659,439.3261350877821
1793.9658285085106,1529.1588438402366,1173.8861211232172,441.7268760127577
1807.425958925833,1540.1316268152318,1183.1592655081806,444.1245960273064
1820.9452785089884,1551.1485422945404,1192.462128660981,446.5191660472956
1834.5243217368843,1562.2099078961612,1201.7947016432418,448.91045798645416
1848.1636381391988,1573.3160512492168,1211.1569819623871,451.29834476348265
1861.8637923478825,1584.467310015311,1220.54897363411,453.68270030889033
1875.6253641503483,1595.6640319109288,1229.970687242742,456.0633995715583
1889.448948544473,1606.9065747309437,1239.4221399995758,458.4403185250284
1903.335155795532,1618.1953063732988,1248.9033557991916,460.8133341735175
1917.284611495185,1629.5306048649206,1258.4143652738371,463.182324557658
1931.29795662264,1640.9128583889278,1267.9552058459178,465.5471687599641
1945.3758476080968,1652.342465313198,1277.525921778644,467.90774691002497
1959.518956398608,1663.819834220352,1287.1265642249018,470.2639401894252
1973.727970526454,1675.345383939219,1296.7571912743924,472.61563083639436
1988.0035931801544,1686.9195435778329,1306.4178679991046,474.9627021501855
2002.346543278227,1698.5427525580342,1316.1086664971754,477.3050384951856
2016.7575555458072,1710.2154606517188,1325.829665935198,479.64252530475795
2031.237380594232,1721.9381280188036,1335.5809525890393,481.9750490848196
2045.7867850037017,1733.711225246962,1345.362619883221,484.30249741715477
2060.4065514091294,1745.5352333931835,1355.1747684289332,486.62475896246673
2075.0974785892736,1757.4106440272187,1365.017506060735,488.94172346317055
2089.8603815592724,1769.3379592769595,1374.8909478720077,491.25328174592823
2104.6960916666726,1781.3176918758131,1384.7952162492204,493.55932572393004
2119.6054566910607,1793.3503652121235,1394.7304409050737,495.85974839892316
2134.589340947399,1805.4365133806928,1404.6967589105795,498.15444386299174
2149.6486253931607,1817.5766812364584,1414.6943147261436,500.44330730009017
2164.7842077393734,1829.771424450376,1424.7232602317124,502.7262349873331
2179.9970025656594,1842.0213095675613,1434.7837547560478,505.0031242960452
2195.2879414393774,1854.326914067752,1444.8759651051912,507.2738736925736
2210.6579730389603,1866.6888264281151,1455.0000655901829,509.5383827388665
2226.108063281543,1879.107646188492,1465.1562380540968,511.79655209282106
2241.63919545498,1891.583984019088,1475.3446718984555,514.0482835084041
2257.252370354342,1904.1184617906963,1485.5655641090873,516.2934798355492
2272.9486064229905,1916.7117126474743,1495.8191192814884,518.5320450198334
2288.728939898319,1929.3643810823469,1506.1055496457516,520.7638841019377
2304.5944249622567,1942.0771230150688,1516.425075091125,522.9889032168944
2320.546133896627,1954.850605873012,1526.7779231902614,525.2070095931252
2336.5851572434485,1967.6855086747105,1537.1643292232186,527.4181115512743
2352.7126039702766,1980.582522116226,1547.5845362012751,529.6221185028393
2368.9296016406706,1993.542348660378,1558.0387948906196,531.8189409486054
