fixed_sym_D_1.0_ooo,fixed_asym_D_1.0_oob,fixed_asym_D_1.0_obb,fixed_sym_D_1.0_bbb
400.0,400.0,400.0,400.0
400.0,400.0,400.0,400.0
400.05028100768766,400.05028100768766,400.0,400.0
400.3748278032234,400.3743250124028,400.2274445571269,400.2261296534668
400.960559291049,400.95858709905366,400.6723924893012,400.6672355916979
401.7903021367573,401.7854638145035,401.3204904344571,401.30784256210023
402.8475433408759,402.8380412509042,402.1577654558404,402.1329353633046
404.1171270709238,404.1007881035406,403.1713565318351,403.12868130260915
405.5852834677356,405.5595812911735,404.3495729250057,404.2824808788651
407.2395131762311,407.20158778693377,405.68180403423054,405.5828710624201
409.0684475337774,409.0151225119834,407.1584014010618,407.01940165982035
411.0617159776244,410.98951378844566,408.7705650209345,408.5825167669284
413.2098283421976,413.11498396953584,410.51024209870593,410.26344933049194
415.5040726234758,415.3825457806733,412.3700392023448,412.05412967373496
417.9364267305387,417.7839128556204,414.3431466410164,413.9471067306064
420.4994823097669,420.31142252302254,416.42327340469575,415.93548025747435
423.18637881527656,422.9579689916153,418.60459104772985,418.01284234706594
425.9907462340959,425.7169453212104,420.8816850996261,420.17322677905895
428.90665512646063,428.58219282166834,423.249512810756,422.4110649733678
431.928572868457,431.5479567515935,425.7033662451588,424.72114752265065
435.0513251760548,434.6088473825331,428.2388399060599,427.0985904590148
438.2700621475524,437.7598056543165,430.8518022224728,429.53880555686385
441.5802281902274,440.9960727775186,433.538370341305,432.0374740934537
444.9775353016561,444.3131632450361,436.2948877633833,434.59052358574456
448.4579392613495,447.7068408010867,439.1179044379786,437.19410710088835
452.01761835792365,451.1730969864739,442.00415899232,439.8445848018118
455.6529543340834,454.70813193685103,444.9505628231228,442.5385074417929
459.3605152787439,458.3083371584708,447.95418581860827,445.27260156502024
463.1370402346033,461.9702800455063,451.0122435136773,448.0437562057256
466.9794253219613,465.6906899360347,454.1220855092374,450.84901090804715
470.8847112067759,469.46644553142994,457.2811850102973,453.68554491346333
474.8500717638431,473.2945635271943,460.4871293572236,456.55066738334847
478.8728038053376,477.1721883229563,463.7376114412053,459.4418085416651
482.9503177613931,481.0965826961016,467.0304219090516,462.35651163760207
487.0801292134289,485.0651193377899,470.3634420744127,465.29242564055414
491.25985119293904,489.07527316235127,473.7346374627219,468.24729859059863
495.4871871687965,493.12461431158897,477.1420519258991,471.2189715368515
499.75992465503646,497.2108017846054,480.5838022703815,474.2053730040358
504.0759293788086,501.3315776316472,484.0580733485345,477.20451393446706
508.4331399548976,505.48476165731154,487.5631135691268,480.2144830586188
512.8295630190581,509.6682465844264,491.09723078743593,483.2334426526199
517.2632687775272,513.8799936351376,494.6587885398189,486.25962464556255
521.7323869345568,518.1180284903163,498.246202591306,489.29132704346455
526.235102963752,522.380437592423,501.8579377680499,492.3269106402099
530.7696546924716,526.6653647605173,505.4925050493352,495.36479598885774
535.3343291716183,530.9710080892354,509.14845889639065,498.40346060941357
539.9274598058593,535.2956171063406,512.8243947974901,501.4414364115508
544.5474237217331,539.6374901659117,516.5189470108113,504.4773073128939
549.1926393532401,543.9949720564352,520.2307864882908,507.50970703536115
553.8615642264255,548.3664518050203,523.9586189652808,510.5373170637457
558.552692926174,552.750360660702,527.701183202217,513.5588647522155
563.2645552299574,557.1451702413656,531.4572493657582,516.5731215657537
567.9957143946474,561.549390830225,535.2256175379824,519.5789014447631
572.7447655837366,565.9615698090475,539.0051163432265,522.5750592821411
577.5103344234129,570.3802902164533,542.7946016830679,525.5604895030975
582.2910756769319,574.8041694206363,546.5929555707563,528.5341247388677
587.0856720276273,579.2318578967786,550.3990850571432,531.4949345862574
591.8928329617158,583.6620381002625,554.2119212408168,534.4419244456719
