evolving_asym_D=0.1 mm/w,evolving_sym_D=0.1 mm/w
400.0,400.0
399.7,400.0
399.4558302269319,400.05028100768766
399.49347106421294,400.3758334233771
399.8061030270413,400.96905510917827
400.3825198548052,401.81796092044846
401.211825425608,402.9108682908739
402.2841633467487,404.23712011910277
403.59078930002767,405.7871512750346
405.123997480152,407.55240945452334
406.877018678277,409.5252477789673
408.8439214430375,411.69882050621123
411.0195244173007,414.0669899033127
413.39932096013655,416.62424534529407
415.9794150824701,419.3656336218562
418.75646723360256,422.2866989411403
421.7276485045339,425.38343114681203
424.8906019959837,428.65222084516927
428.2434103063164,432.08982034462935
431.78456828491727,435.6933094984038
435.51296035892,439.4600657012951
439.427841875656,443.3877374234018
443.5288240134272,447.4742207706856
447.815861903476,451.717638649098
452.2892456802912,456.1163221792073
456.9495942389609,460.66879406531547
461.7978515298525,465.37375366958526
466.8352852645936,470.23006357984013
472.06348794483415,475.2367374911243
477.4843801578927,480.3929292471474
483.100216112172,485.69792290941876
488.9135914109664,491.15112374002655
494.927453086599,496.75204999928405
501.1451119382044,502.5003254723733
507.5702572362625,508.39567265007224
514.2069738754552,514.4379064980001
521.0597620747245,520.6269287568138
528.1335597396403,526.9627227226719
535.4337676173612,533.4453484632138
542.9662773885103,540.0749384294435
550.7375028530548,546.8516934283698
558.7544143785453,553.7758789251465
567.0245767885158,560.8478216468545
575.5561908760602,568.0679064630507
584.3581387320623,575.4365735208238
593.4400330786196,582.9543156144107
602.812270795108,590.6216757714598
612.4860908161622,598.4392450398354
622.4736365665403,606.4076604604597
632.7880230761751,614.5276032131073
643.4434088883028,622.799796923342
654.4550728328504,631.2250061199125
665.8394956845539,639.8040348329379
677.614446658729,648.5377253241221
689.799074615308,657.4269569410461
702.4140037417108,666.4726450883229
715.4814333654344,675.6757403090545
729.0252414061733,685.037227470627
743.0710908133909,694.558125049413
757.6465381476652,704.2394845094364
772.7811432526789,714.0823897704951
788.5065787303715,724.0879567616317
804.8567376768682,734.2573330562059
821.8678378655314,744.5916975851505
839.578520282245,755.0922604252926
858.0299396359151,765.7602626598922
877.2658441962552,776.596976308804
897.3326420666556,787.6037043258904
918.2794508012088,798.7817806615277
940.1581271439898,810.1325703882371
963.0232736305072,821.6574698876467
986.932218872808,833.3579070971556
1011.9449685783296,845.2353418148199
1038.1241247538806,857.2912660611174
1065.534771141207,869.5272044963788
1094.2443237329044,881.9447148927891
1124.3223462289484,894.545388659977
1155.8403315019646,907.330851423311
1188.8714515122724,920.3027636541193
1223.490279600335,933.4628213511426
1259.7724906121407,946.8127567726108
1297.7945457910694,960.354339218422
1337.6333706923897,974.0893758619727
1379.3660354313834,988.0197126312672
1423.0694472542675,1002.1472351389996
1468.8200656289382,1016.4738696613724
1516.6936497241152,1031.0015841654813
1566.7650472534806,1045.732389385153
1619.10803222517,1060.6683399451945
1673.7951972253386,1075.8115355340583
1730.8979035928512,1091.164122125002
1790.4862903631133,1106.7282932458645
1852.6293403481343,1122.5062912976477
1917.3949993573324,1138.5004089221447
1984.850342515328,1154.712990418913
2055.0617800336067,1171.1464332119483
2128.095293732732,1187.8031893664688
2204.0166951297174,1204.6857671562802
2282.891895988697,1221.7967326822454
2364.787182823699,1239.138711542443
2449.769487846433,1256.7143905546566
2537.906650153689,1274.526519531898
2629.267662424067,1292.5779131117247
2723.922899922516,1310.8714526401786
2821.944330088091,1329.410088111231
2923.405702320944,1348.1968401626896
3028.3827187288166,1367.2348021295809
3136.95318750562,1386.5271421561004
3249.197161282037,1406.0771053672804
3365.197063216291,1425.8880161016057
3485.0378038022486,1445.9632802058766
3608.8068913918023,1466.306387393694
3736.594539294006,1486.920913669021
3868.493772061722,1507.8105238163528
4004.600533243244,1528.978973959109
4145.013796493902,1550.4301141879498
4289.835681539037,1572.1678912607993
4439.171576077394,1594.1963513764545
4593.1302643303625,1616.519643023747
4751.824062589475,1639.1420199083211
4915.368961799747,1662.0678439591898
5083.884776943246,1685.301588417332
5257.495302756073,1708.8478410086984
5436.328475120699,1732.7113072041002
5620.516537320592,1756.8968135685657
5810.196210220531,1781.4093112028677
6005.508865338768,1806.253879280037
6206.600699700862,1831.4357286798033
6413.622911304635,1856.9602057240297
6626.731873976627,1882.8327960163333
6846.089310358607,1909.0591283892236
7071.86246172486,1935.6449789622231
7304.224253294225,1962.5962753145795
7543.353453663137,1989.9191007763231
7789.434826945543,2017.6196988415786
8042.659276161372,2045.7044777081908
8303.223976366437,2074.1800149478886
8571.332495962824,2103.053062311378
8847.194904569766,2132.3305506729225
9131.027865770731,2162.0195951191467
9423.054712983389,2192.1275001869867
9723.505506625375,2222.6617652558907
10032.617070671376,2253.6300900995716
10350.633006616225,2285.0403806028103
10677.803682775984,2316.900754649019
11014.386196774884,2349.2195481844783
11360.644308982108,2382.0053214653926
11716.848344580205,2415.2668654941167
12083.275061867893,2449.013208651159
12460.207484326069,2483.253623529787
12847.934693909136,2517.997633980324
13246.751582966532,2553.2550223714657
13656.958562153895,2589.0358370762215
14078.861221662724,2625.350400190336
14512.769943083937,2662.2093154913478
14958.999459228264,2699.6234766467014
15417.86835925712,2737.6040756796438
15889.698536535689,2776.1626117019255
16374.814576708171,2815.310899922639
16873.54308361706,2855.0610809428495
17386.21194084715,2895.4256303459947
17913.149506874262,2936.41736859437
18454.683742040637,2978.049471242357
19011.141265867394,3020.335479477405
19582.84634355077,3063.289311000145
20170.119800875327,3106.9252712553707
20773.277867215667,3151.258065026015
21392.63094678814,3196.302808402625
22028.482318856448,3242.075041141241
22681.126768188285,3288.5907394229853
23350.849147702607,3335.866329029076
24037.92287593573,3383.918698945399
24742.608372685256,3432.7652154111934
25465.15143695851,3482.423736426847
26205.781572150583,3532.912626736215
26964.71026419885,3584.250773299336
27742.129219297192,3636.457601271851
28538.20856859501,3689.553090507891
29353.09504814275,3743.5577926036326
30186.91016316626,3798.492848499197
31039.748346544977,3854.380006656992
31911.675122121826,3911.241641835068
32802.72528417362,3969.100774474492
33712.90110500768,4027.981090720185
34642.17058321142,4087.906963095106
35590.46574555617,4148.903471848084
36557.6810159337,4210.996426996004
37543.67166497467,4274.212391081451
38548.2523541549,4338.578702667303
39571.19578823029,4404.123500590084
40612.23148974996,4470.875748994241
41671.0447091752,4538.865263169798
42747.27548377692,4608.122736216087
43840.517857995146,4678.679766554484
44950.31927732145,4750.568886313236
46076.18016700969,4823.823590607611
