fixed_asym_D=0.1 mm/w,fixed_sym_D=0.1 mm/w
400.0,400.0
399.7,400.0
399.4531867619319,400.05028100768766
399.4852154924,400.37573286136177
399.7886705114776,400.96820371724914
400.3517659624948,401.81517795338414
401.1630426691655,402.9044690419564
402.2120922329503,404.2249405069844
403.4896233338279,405.76656926282493
404.9873822942554,407.520363348887
406.6980455495721,409.4782517176589
408.6151154122932,411.6329774726195
410.7328271533179,413.9780025788708
413.04606843109246,416.5074250709307
415.5503100223413,419.21590770114676
418.24154632134497,422.0986164839459
421.1162441074406,425.15116762339875
424.1712982651963,428.36958149661007
427.4039933506667,431.7502425750197
430.8119700880376,435.2898643574057
434.39319604290506,438.98545855118704
438.1459398516196,442.8343078726803
442.0687484942728,446.83394194594706
446.16042718636646,450.9821158681139
450.4200215349817,455.27679108053735
454.8468016627003,459.71611824327533
459.4402480493535,464.2984218577302
464.2000388800236,469.0221864212037
469.1260387193082,473.8860439291523
474.21828835801045,478.8887625674956
479.4769957001809,484.0292364594594
484.9025275766592,489.3064763499726
490.4954023865749,494.7196011262324
496.25628348121495,500.26783008624517
502.1859732156549,505.95047587835273
508.2854076029231,511.7669380443122
514.5556515134915,517.7166971066833
520.9978943697907,523.7993091483171
527.6134462914015,530.0144008378132
534.4037346517354,536.3616648600753
541.3703010115076,542.8408557156617
548.514798398215,549.4517858566147
555.83898890426,556.1943221299292
563.3447415793696,563.0683825028776
571.0340305956059,570.0739330470847
578.9089336656033,577.2109851606118
586.9716306967404,584.4795930093958
595.2244026657947,591.8798511712318
603.6696307002661,599.4118924671318
612.309795354018,607.0758859663406
621.1474760661972,614.8720351525941
630.1853507935679,622.8005762403545
639.4261958074527,630.8617766307966
648.8728856474328,639.05593349824
658.5283932248183,647.3833724985564
668.3957900696871,655.8444465918222
678.4782467160035,664.4395349721624
688.7790332199754,673.1690420983275
699.3015198074087,682.0333968190996
710.0491776463564,691.0330515881083
721.0255797418686,700.1684817630847
732.234401950108,709.4401849849868
743.6794241095266,718.8486806327891
755.3645312871956,728.394509350069
767.2937151387537,738.0782326398165
779.4710753807827,747.9004325241721
791.900821374748,757.8617112660477
804.587273821944,767.9626911498129
817.5348665691768,778.2040143184357
830.7481485251892,788.5863426646605
844.2317856880956,799.1103577739788
857.9905632843419,809.7767609173086
872.0293880199478,820.5862730914457
886.3532904450171,831.5396351054858
900.967427432727,842.6376077115402
915.8770847742206,853.8809717781847
931.087679891042,865.2705285051859
946.6047646669564,876.8070996781489
962.4340284012007,888.4915279618231
978.58130088541,900.3246772308851
995.0525556066632,912.307432937101
1011.8539130792832,924.4407025118417
1028.9916443082273,936.7254158029965
1046.472174387086,949.1625255453959
1064.3020862339197,961.7530078639141
1082.4881244683363,974.4978628084841
1101.0371994334284,987.3981149203092
1119.9563913663658,1000.4548138286124
1139.2529547216552,1013.6690348773103
1158.9343226512692,1027.041879781052
1179.0081116460517,1040.5744773101057
1199.4821263430174,1054.26798400362
1220.3643645033671,1068.123584910837
1241.66302216626,1082.1424943598665
1263.3864989835972,1096.3259567536793
1285.5434037412929,1110.6752473930137
1308.142560072739,1125.1916733259318
1331.1930123703976,1139.8765742237947
1354.7040319016924,1154.7313232834726
1378.6851231356088,1169.757328155636
1403.1460302866683,1184.9560318990136
1428.0967440831855,1200.3289139605433
1453.547508766978,1215.877491181373
1479.508829331972,1231.6033188287113
1505.9914790094056,1247.5079916535606
1533.0065070076157,1263.593144974404
1560.565246514683,1279.860455786954
1588.679322972492,1296.3116439001094
1617.360662631067,1312.948473098302
1646.6215013923484,1329.7727523304554
1676.4743939528842,1346.7863369258132
1706.932223255231,1363.991129836936
1738.008210258187,1381.3890829102015
1769.715924036305,1398.982198184187
1802.069292219481,1416.7725292163457
1835.0826117837537,1434.762182438437
1868.770560204804,1452.9533185412063
1903.148206986003,1471.3481538888518
1938.2310255732195,1489.9489619638637
1974.0349056689663,1508.7580748428545
2010.5761659588456,1527.7778847040518
2047.8715672636229,1547.0108453671628
2085.9383261306466,1566.4594738663693
2124.7941288787238,1586.1263520572543
2164.4571461109326,1606.014128258509
2204.946047710267,1626.1255189293172
2246.280018333369,1646.463310383363
2288.4787734180227,1667.0303605404517
2331.562575720457,1687.8296007167921
2375.5522523988807,1708.8640374550316
2420.4692126600703,1730.1367543951922
2466.3354659861893,1751.6509141877068
2513.1736409593805,1773.4097604498095
2561.007004702032,1795.4166197665882
2609.859482950941,1817.6749037380644
2659.755680783938,1840.1881110737231
2710.7209040178054,1862.9598297359732
2762.78118129664,1885.9937391340786
2815.9632868900176,1909.2936123701631
2870.294764220565,1932.863318538951
2925.803950140717,1956.7068250829745
2982.5199999785773,1980.8282002050378
3040.4729133728906,2005.2316153397992
3099.6935609172046,2029.9213476864002
3160.2137116332447,2054.901782804137
3222.0660612934794,2080.177417273245
3285.2842616126813,2105.7528614229373
3349.9029503280635,2131.6328421289163
3415.9577821872376,2157.822205682648
3483.4854608628225,2184.3259207347733
3552.523771811991,2211.149081315108
3623.111616098585,2238.296909931764
3695.289045194634,2265.7747607520096
3769.097296777181,2293.588122867578
3844.578831535193,2321.7426236472097
3921.777371000084,2350.2440321793147
4000.7379364118674,2379.0982628077354
4081.506888631296,2408.311378763672
4164.13196910641,2437.889595896947
4248.6623418997415,2467.8392865098717
4335.148636779984,2498.166983297088
4423.642993379186,2528.8793833948594
4514.199106413461,2559.9833525433946
4606.872271961788,2591.4859293658956
4701.719434793686,2623.394329768134
4798.799236732335,2655.71595146248
4898.172066035093,2688.4583786204194
4999.900107768212,2721.629386657718
5104.04739514697,2755.2369471565175
5210.679861806249,2789.2892329287743
5319.865394959821,2823.7946232255745
5431.673889399273,2858.7617090970043
5546.177302275414,2894.1992989073756
5663.449708596269,2930.1164240107537
5783.567357366267,2966.5223445918728
5906.608728280894,3003.4265556776672
6032.654588879938,3040.8387933247955
6161.788052050377,3078.769040988677
6294.094633756942,3117.2275360797234
6429.66231086441,3156.2247767125955
6568.581578900565,3195.7715286544635
6710.945509592668,3235.878832478433
6856.849807992926,3276.5580109284324
7006.3928689899885,3317.8206765020386
7159.675832983751,3359.678739257881
7316.802640479755,3402.1444148544197
7477.880085337147,3445.230232827082
7643.0178663805245,3488.9490451108886
7812.32863706095,3533.3140348158868
7985.928052825037,3578.338725262873
8163.934815823221,3624.036989287057
8346.470716559155,3670.4230588174914
8533.660672051647,3717.511534740257
