D=0.0 mm/w,D=0.1 mm/w,D=0.2 mm/w,D=0.3 mm/w,D=0.4 mm/w,D=0.5 mm/w,D=0.6 mm/w,D=0.7 mm/w,D=0.8 mm/w,D=0.9 mm/w,D=1.0 mm/w
400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766
400.3758334233771,400.3758331233772,400.3758310233772,400.3758253233771,400.3758142233771,400.3757959233772,400.3757686233772,400.3757305233771,400.37567982337714,400.3756147233771,400.37553342337714
400.9690551091783,400.96905391992334,400.9690456119385,400.9690231126939,400.96897940005977,400.9689075023061,400.9688004981032,400.96865151652105,400.9684537370299,400.96820038949977,400.96788475420095
401.81796092044846,401.8179579760434,401.8179374483693,401.81788198228384,401.8177744703652,401.8175980516515,401.8173361103812,401.81697227473296,401.8164904155659,401.8158746451589,401.81510931595176
402.9108682908739,402.9108624630489,402.9108219151335,402.9107126025384,402.9105012108066,402.9101551481871,402.9096425382418,402.9089322124858,402.90799370306087,402.9067972354408,402.90531372117164
404.2371201191028,404.2371100331435,404.23704000107085,404.2368516316503,404.236488206491,404.235894654526,404.2350175267202,404.23380497100425,404.2322067074341,404.2301740035731,404.2276596500994
405.7871512750346,405.7871353274122,405.787024820138,405.7867282596261,405.78615743563057,405.7852273544602,405.7838561730823,405.78196513411086,405.7794785016713,405.776323498131,405.7724302416937
407.55240945452334,407.5523858322728,407.5522224788563,407.5517851014075,407.5509452035458,407.5495799379698,407.5475719616704,407.5448092937299,407.5411851756776,407.5365979343645,407.53095084733155
409.5252477789673,409.5252144808785,409.5249846890529,409.52437083594754,409.5231948234929,409.5212877340325,409.5184895476787,409.5146488659807,409.509622641799,409.5032759152801,409.49548155583307
411.6988205062112,411.6987753659104,411.6984644924257,411.69763595800737,411.6960524115379,411.6934905591826,411.6897406588701,411.68460602831817,411.677902566324,411.6694582870363,411.6591128669458
414.0669899033127,414.06693061432486,414.0665231475832,414.06543969355033,414.063373846762,414.0600397337614,414.05517116812007,414.0485208318751,414.0398594827241,414.0289751863274,414.01567257309296
416.62424534529407,416.6241694881901,416.6236492437735,416.62226914314806,416.6196439615913,416.6154173312381,416.6092604030047,416.6008705563276,416.5899701553291,416.576305350047,416.5596449214104
419.3656336218562,419.3655386935983,419.3648890233652,419.363169635652,419.3599069448426,419.3546666437211,419.347051676288,419.3367002920994,419.3232841794185,419.3065066745443,419.2861010447632
422.2866989411403,422.28658238675285,422.2857864022504,422.2836847814742,422.279706447145,422.2733323537935,422.2640925280989,422.2515632415309,422.2353643103514,422.2151565181876,422.1906391565447
425.383431146812,425.3832903935145,425.3823312045215,425.3798047419967,425.3750339055428,425.3674089299152,425.3563831976261,425.3414692575748,425.32223504115086,425.2983002675618,425.2693330304345
428.65222084516927,428.65205333911865,428.65091430820047,428.6479214120427,428.6422837844907,428.6332959430008,428.6203320224747,428.6028403188192,428.5803381280852,428.552406867605,428.51868746608574
432.08982034462935,432.0896235904301,432.0882886044512,432.0847894179962,432.07821463608354,432.0677592073955,432.0527166694022,432.03247184515067,432.0064939692177,431.97433022130446,431.93559964689234
435.6933094984038,435.6930811015541,435.6915348611584,435.6874920226001,435.6799150708064,435.667896837898,435.6506502885483,435.6274989467252,435.5978679291925,435.5612755527932,435.51732548410575
439.4600657012951,439.4598034137492,439.4580317418804,439.45341118759296,439.4447738902147,439.4311094745917,439.41155184337504,439.38536685899135,439.3519408635589,439.3107699876697,439.2614502014917
443.3877374234018,443.3874391924374,443.3854293630422,443.3802011771978,443.370453764808,443.355074059104,443.33312000037887,443.3038049483424,443.2664832277526,443.2206367361489,443.16586254647035
447.4742207706856,447.4738847912789,447.4716258793973,447.4657651926513,447.4548679475415,447.4377206530924,447.4133100698255,447.38080378016167,447.3395322630326,447.2889723718308,447.22873212084863
451.717638649098,451.7172634200194,451.7147466745407,451.7082346147113,451.69615960017774,451.6772118765295,451.6503135755364,451.61459482781737,451.56937183847583,451.5141267856784,451.4484894110751
456.1163221792073,456.1159065630625,456.1131258034973,456.1059505013379,456.0926833799481,456.07192461363786,456.04254010205767,456.0036324714808,455.9545145984709,455.894685465167,455.82380816834257
460.66879406531547,460.6683373527712,460.6652893914669,460.6574470448036,460.6429889910704,460.62043369142464,460.5886011246631,460.5465779927966,460.4936861223378,460.42945380578425,460.353589846128
465.37375366958526,465.373255648032,465.3699407393413,465.3614367390379,465.34580645223457,465.3214972823557,465.2872955742641,465.24228531808745,465.1858108494002,465.1174432088087,465.03694984955933
470.2300635798401,470.2295246067571,470.2259469247583,470.2167970461681,470.2000328693483,470.17404382091695,470.1375969275461,470.0897883010677,470.02999956117264,469.9578587576893,469.8732053894616
475.2367374911243,475.2361585724312,475.232326718889,475.22255838266886,475.2047205343056,475.1771602553165,475.1386416441965,475.0882893676364,475.0255382439863,474.9500882970703,474.861864765726
480.3929292471474,480.3923121208405,480.38823966519954,480.377893271592,480.3590661966288,480.3300814817048,480.28971879926206,480.2371493715498,480.1718781816622,480.0936927648655,480.00261793109075
485.6979229094188,485.6972701348098,485.69297618811976,485.6821065290549,485.6624013765712,485.6321808300687,485.5902607805033,485.5358785316628,485.468627149809,485.3883976498307,485.29532820854615
491.15112374002655,491.15043879291966,491.1459486177081,491.134626371346,491.11418360647855,491.082961489211,491.0398349389297,490.98412833981575,490.9155416017777,490.8340854656225,490.74002505421123
496.75204999928405,496.7513373734499,496.7466830316836,496.7349963443068,496.71398850254536,496.6820487736176,496.6381360961463,496.58168434396015,496.5125197519089,496.43078914801976,496.3368977733099
502.5003254723733,502.4995907876996,502.49481182911205,502.4828679895898,502.4615025820815,502.42918314804126,502.3849798252446,502.3284597242986,502.2595954749739,502.1786862953456,502.08629011033025
508.3956726500722,508.3949227677959,508.39006696100665,508.3779941733915,508.3565167524437,508.3242139367369,508.28029643313965,508.2244895914644,508.1569329520512,508.07809418356027,507.98869564598834
514.4379064980001,514.4371496434518,514.4322737524606,514.4202230126442,514.3989204072205,514.367093653771,514.3241255818267,514.269925945427,514.2048220028372,514.129465497353,514.044753943571
520.6269287568138,520.6261746501359,520.6213452589494,520.6094923417007,520.5886960733557,520.5578728989974,520.5166114942776,520.465033242147,520.4036740528242,520.3333847270969,520.2552473958752
526.9627227226719,526.9619827179998,526.9572771063354,526.9458246694742,526.9259145598761,526.8966957713405,526.8579986978345,526.8101845222404,526.754018691118,526.6905651889755,526.621098731507
533.4453484632138,533.4446356968468,533.4401427700599,533.429322582983,533.4107305649377,533.3837957571511,533.3486282641721,533.3058580622242,533.2565007810882,533.201846632113,533.1433691459323
540.0749384294435,540.074267977566,540.0700892541686,540.0601645584488,540.0433787031562,540.0194920567352,539.9889345103323,539.9526345144565,539.9118780916915,539.868193402302,539.8232570285354
546.8516934283698,546.8510824749249,546.8473331353,546.8386011456219,546.8241699197848,546.8041863168337,546.7794421301126,546.7511945067702,546.7210194223073,546.6906931370272,546.6620972621497
553.7758789251465,553.7753469405058,553.7721569406815,553.7649514949635,553.7534882623227,553.7383597409462,553.7207637293101,553.7023166771324,553.6849031983775,553.6705559710447,553.6613610761891
560.8478216468545,560.847390577977,560.844905832601,560.8396002007901,560.8317879836845,560.8225705530311,560.8135977420732,560.806876122533,560.8046165191226,560.809114235874,560.8226564387043
568.0679064630507,568.0676009358705,568.0659845748302,568.0629944365356,568.0595909541964,568.0574517933482,568.0587267089587,568.0658432447682,568.0813546421986,568.1078226402557,568.1477289764815
575.4365735208238,575.4364210556662,575.4358547591241,575.4356413609959,575.4374843624609,575.4437094280933,575.4570159003001,575.4802829789201,575.516420893403,575.5682589219889,575.6384634157588
582.9543156144107,582.9543468552907,582.9550322722575,582.9581057768056,582.9661186876197,582.9821207570695,583.009412271201,583.0513543931669,583.1112269925056,583.1921249646289,583.2968855392886
590.6216757714598,590.6219247301855,590.6240849861323,590.6310080245372,590.6462059277587,590.6735331059648,590.7169437369295,590.7803106511485,590.8672937889783,590.9812483753418,591.125164658381
598.4392450398354,598.4397493559053,598.4436306553275,598.4550220977044,598.4785180711967,598.5188627919226,598.5807187597286,598.6684993304826,598.7862524039009,598.9375845228078,599.1256166012324
606.4076604604597,606.4084616778192,606.4143350081026,606.4308739656627,606.4638857991987,606.519094353015,606.6019262401129,606.7173630932116,606.8698457766172,607.0632190364662,607.3007072213254
614.5276032131073,614.5287470749112,614.5369100183252,614.5593400929264,614.6031974102892,614.6752800339768,614.781835707609,614.928440705979,615.1199306168515,615.360370770627,615.6530564319772
622.799796923342,622.8013336859541,622.8121123471037,622.8412461448015,622.8973979578215,622.9885395221769,623.1217978076444,623.3033684096116,623.5384797649872,623.8313952390492,624.1854427752514
631.2250061199125,631.2269908874702,631.2407419440809,631.2774658704845,631.3474885938153,631.4600599292806,631.6232450829034,631.8438816395239,632.12758496506,632.4787885275183,632.9008085354278
639.8040348329379,639.8065279139073,639.8236407993975,639.868920155905,639.9545261133169,640.0910960154282,640.287693048978,640.5518170999945,640.8894600567489,641.3051916937604,641.8022654090663
