D=0.0 mm^2/w,D=0.1 mm^2/w,D=0.2 mm^2/w,D=0.3 mm^2/w,D=0.4 mm^2/w,D=0.5 mm^2/w,D=0.6 mm^2/w,D=0.7 mm^2/w,D=0.8 mm^2/w,D=0.9 mm^2/w
400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766
400.3758334233771,400.3758334233771,400.3758334233771,400.3758334233771,400.3758334233771,400.3758334233771,400.3758334233771,400.3758334233771,400.3758334233771,400.3758334233771
400.9690551091783,400.9690551091783,400.9690551091783,400.9690551091783,400.9690551091783,400.9690551091783,400.9690551091783,400.9690551091783,400.9690551091783,400.96905510917827
401.81796092044846,401.81796092024734,401.8179609188394,401.81796091501775,401.8179609075756,401.81796089530616,401.8179608770025,401.8179608514579,401.8179608174655,401.81796077381836
402.9108682908739,402.91086828968247,402.91086828135616,402.9108682587989,402.9108682149569,402.9108681428186,402.9108680354146,402.9108678858178,402.9108676871435,402.91086743254897
404.2371201191028,404.2371201149831,404.2371200862423,404.23712000852623,404.2371198577709,404.237119610201,404.2371192423285,404.2371187309522,404.23711805315537,404.23711718630517
405.7871512750346,405.7871512641752,405.7871511885431,405.7871509844176,405.7871505892165,405.78714994148606,405.78714898089095,405.78714764820506,405.7871458853007,405.78714363513956
407.55240945452334,407.55240943035705,407.552409262331,407.5524088096964,407.5524079350575,407.5524065043281,407.5524043866876,407.55240145453865,407.5523975834629,407.55239265217995
409.5252477789673,409.5252477311374,409.5252473991411,409.525246506482,409.5252447848992,409.52524197422366,409.52523782223614,409.5252320845277,409.52522452436006,409.52521491252963
411.6988205062112,411.6988204193896,411.6988198177581,411.69881820315857,411.6988150952408,411.6988100310749,411.6988025647697,411.69879226709776,411.69877872512455,411.69876154184584
414.0669899033127,414.066989755872,414.06698873589767,414.0669860037371,414.0669807547624,414.0669722184559,414.066959657515,414.0669423669737,414.0669196733403,414.0668909337543
416.62424534529407,416.6242451078359,416.6242434678927,416.6242390832997,416.624230675889,416.6242170295434,416.62419698829615,416.6241694544757,416.6241333868916,416.62408779906684
419.3656336218562,419.36563325559496,419.36563073035376,419.3656239914757,419.36561109454425,419.3655902015562,419.3655595772,419.3655175852344,419.3654626849653,419.36539342782186
422.2866989411403,422.2866983961429,422.2866946448844,422.2866846530152,422.2866655671239,422.2866347076786,422.2865895621888,422.286527778578,422.2864471587637,422.2863456524402
425.383431146812,425.383430360092,425.3834249541179,425.38341058171295,425.38338318091934,425.3833389626494,425.3832743987673,425.3831862105856,425.3830713577656,425.38292702761186
428.65222084516927,428.6522197386331,428.65221214777415,428.6521920043698,428.6521536746525,428.65209193864047,428.6520019702664,428.6518793182758,428.6517198878692,428.6515199230668
432.08982034462935,432.0898188228738,432.0898084010873,432.0897807971338,432.08972837144745,432.08964409371714,432.0895215109838,432.0893547170961,432.0891383234733,432.0888674311322
435.6933094984038,435.6933074463607,435.6932934164093,435.6932563250177,435.6931860150192,435.69307320363447,435.69290943289377,435.6926870223589,435.692399024052,435.6920391795069
439.4600657012951,439.4600629817204,439.4600444189208,439.4599954355172,439.4599027599912,439.45975434785913,439.4595393067804,439.4592478254273,439.4588711059489,439.4584012998759
443.3877374234018,443.3877338742061,443.3877096892328,443.3876459891091,443.3875256991114,443.3873334325672,443.3870553805159,443.38667920732905,443.3861939520083,443.3855899348931
447.4742207706856,447.4742162021016,447.4741851228313,447.4741034165764,447.47394941730215,447.4737037405411,447.4733491243836,447.4728702796611,447.47225374885335,447.47148777327413
451.717638649098,451.71763284068186,451.7175933930606,451.7174898798515,451.71729514923214,451.7169850846384,451.7165383800992,451.71593632941097,451.7151626283948,451.71420318952187
456.1163221792073,456.11631487666847,456.1162653645834,456.1161356833143,456.1158921873378,456.1155052117535,456.1149487604361,456.11420021457513,456.1132400604161,456.1120516350831
460.66879406531547,460.6687849771712,460.66872346130737,460.6685626395307,460.6682612442775,460.66778316124606,460.6670970034149,460.66617571451695,460.66499620014935,460.66353898480924
465.37375366958526,465.3737424636356,465.37366673929694,465.37346913994895,465.3730995203318,465.3725143283438,465.3716760315575,465.3705525855475,465.36911694130094,465.3673465891488
470.2300635798401,470.23004987945706,470.2299574533312,470.2297167192133,470.2292672644058,470.228557021172,470.2275415048475,470.2261831103604,470.2244504631402,470.22231782065654
475.2367374911243,475.236720871352,475.2366089371953,475.2363179331809,475.2357756487192,475.23492033149086,475.2336996874755,475.2320699613874,475.2299950917019,475.2274459348491
480.3929292471474,480.39290923060713,480.3927746438287,480.3924253967645,480.3917758033036,480.390753165259,480.3892964744802,480.3873552241806,480.3848883211969,480.38186309148176
485.6979229094188,485.6978989620137,485.6977382131355,485.69732184940494,485.69654887811134,485.6953343008256,485.6936074460873,485.6913104486151,485.68839686341465,485.6848304040165
491.15112374002655,491.1510952664413,491.1509044534096,491.1504111341273,491.149497018689,491.14806336070313,491.1460288356949,491.1433276138583,491.1399076110551,491.13572890320614
496.75204999928405,496.7520163382734,496.7517911375997,496.7512099914032,496.7501351566381,496.7484525981436,496.7460693127274,496.7429109083235,496.7389194162031,496.73405131599674
502.5003254723733,502.5002858918344,502.5000215285402,502.49934058194793,502.4980835289915,502.4961194126475,502.4933424944872,502.4896692387354,502.4850355980657,502.4793945738615
508.3956726500722,508.3956263418957,508.3953175582385,508.3945236635399,508.3930608515943,508.3907795194932,508.38756011209045,508.383309393393,508.3779571050556,508.3714529756411
514.4379064980001,514.4378525726923,514.4374935956478,514.4365723562951,514.434878080922,514.4322407077223,514.4285257649254,514.4236297940645,514.4174762656515,514.4100119393152
520.6269287568138,520.6268662378876,520.6264507453631,520.6253864388314,520.6234327067717,520.6203971290173,520.6161292060674,520.6105147789516,520.6034710704693,520.5949422851339
526.9627227226719,526.962650540797,526.9621716265532,526.9609471246378,526.9587035251428,526.9552240667884,526.9503411079703,526.94392936604,526.9358999348584,526.9261949994188
533.4453484632138,533.445265450123,533.4447155873783,533.4433122738975,533.4407458465561,533.4367731407215,533.4312082636869,533.4239144520883,533.4147968972752,533.403796434279
540.0749384294435,540.074843311588,540.0742143152805,540.0726120011541,540.0696871002026,540.0651679071777,540.0588491840095,540.050582407648,540.0402672138207,540.0278439036273
546.8516934283698,546.851584820318,546.850867808002,546.8490446436728,546.8457227987752,546.8405998203015,546.833450055388,546.8241130329698,546.812483313798,546.7985016403462
553.7758789251465,553.7757553227196,553.7749406740703,553.7728730592405,553.7691128327268,553.76332452258,553.7552610273708,553.7447498435424,553.7316810850326,553.7159970833417
560.8478216468545,560.847681419994,560.8467587348962,560.8444212255482,560.8401780661,560.8336584370019,560.8245928017157,560.8127966574096,560.7981564610982,560.7806174666237
568.0679064630507,568.0677478484099,568.0667059036059,568.0640711162779,568.0592972090519,568.051975635939,568.0418134982954,568.0286144593896,568.01226228557,567.9927066855306
575.4365735208238,575.436394614079,575.435221318351,575.4322598316382,575.4269039448194,575.418704964497,575.4073457755444,575.3926185199421,575.3744054310475,575.3526624178329
582.9543156144107,582.9541143622838,582.9527967101451,582.9494769633988,582.9434842911729,582.9343273983856,582.9216641854972,582.9052757487325,582.885044152992,582.8609334797566
590.6216757714598,590.6214499634481,590.6199739873178,590.6162621765117,590.6095741784522,590.5993736183998,590.5852927455096,590.5671022649818,590.5446856604643,590.5180173990063
598.4392450398354,598.4389922996401,598.4373430204776,598.4332029912147,598.4257572280749,598.4144217854057,598.3988027105555,598.3786611684932,598.3538838876494,598.3244581886671
606.4076604604597,606.4073782371074,606.4055396134783,606.4009327511098,606.3926627170139,606.3800955013256,606.3628105315937,606.3405604968466,606.3132374516539,606.2808443074648
614.5276032131073,614.5272887717585,614.5252436473087,614.5201287641355,614.5109637151622,614.4970619430406,614.477975986921,614.4534513556754,614.4233877834848,614.3878067932864
622.799796923342,622.7994473357787,622.7971773850896,622.7915106046174,622.7813753837697,622.7660301573956,622.7450004746952,622.7180262102045,622.6850174203851,622.6460175581263
631.2250061199125,631.2246182546984,631.2221039274968,631.215838565718,631.2046534242703,631.1877495066242,631.1646254559431,631.135017327361,631.0988484488283,631.056187833756
639.8040348329379,639.8036053452448,639.8008258089411,639.7939122526118,639.7815926678289,639.7630082545213,639.7376310383789,639.7051953587788,639.6656410884892,639.6190667584201
648.5377253241221,648.5372506452147,648.5341837257412,648.5265693076259,648.513025796844,648.492632284598,648.4648346922653,648.4293680559235,648.386192408408,648.3354400957735
657.4269569410461,657.426433267418,657.4230553883417,657.4146842593927,657.3998221904544,657.3774839422656,657.3470900903594,657.3083791093761,657.26133516738,657.2061290780762
666.4726450883229,666.4720683704768,666.4683544903569,666.459167488799,666.4428868868312,666.4184609938274,666.3852860647204,666.3431071050437,666.2919367713304,666.2319893663987
675.6757403090545,675.675106239919,675.6710297878807,675.6609643051685,675.6431596556912,675.616495695713,675.5803456738066,675.5344645907221,675.478898341089,675.4139101212421
685.037227470627,685.036531473602,685.0320642830969,685.0210541267112,685.0016141750647,684.9725539679832,684.9332253738884,684.8833972470255,684.8231538845744,684.7528131775695
694.558125049413,694.5573622660356,694.5524745067595,694.5404497598084,694.5192573068817,694.4876346666684,694.4449142893322,694.3908831572353,694.3256695679257,694.2496523187779
704.2394845094364,704.2386497866601,704.233309894596,704.220196772185,704.1971284664288,704.1627689499869,704.1164335767984,704.0579321710998,703.9874430806072,703.9054126446232
714.0823897704951,714.0814776475727,714.0756522531278,714.0613729554598,714.0362990811631,713.9990197339281,713.9488358788302,713.8855853580556,713.8095030899437,713.7211100285442
724.0879567616317,724.0869614565945,724.0806153107974,724.0650878729649,724.0378721347714,723.997481233082,723.9432048627096,723.8749145457361,723.7929087809431,723.6977906602299
734.2573330562059,734.2562484519295,734.249344350654,734.2324824890811,734.2029817927199,734.1592785829554,734.100654840814,734.0270219399935,733.9387494776187,733.8365306696297
744.5916975851505,744.590517214999,744.5830159211796,744.5647288766692,744.5327931058683,744.4855675403461,744.4223304690348,744.3430398229841,744.2481443423535,744.138435828937
755.0922604252926,755.0909774583306,755.0828376221324,755.063029999473,755.0285017890228,754.9775342586406,754.9094065201208,754.82413032617,754.7222421501418,754.6046413293661
765.7602626598922,765.7588698856567,765.7500479625616,765.7286195666452,765.6913340715726,765.6363951351755,765.5630877290718,765.4714852753527,765.3622211348172,765.2363116298213
776.596976308804,776.5954661216242,776.5859162883942,776.5627619567923,776.5225466176033,776.4633967280496,776.3846087079656,776.2863261051103,776.1692889046205,776.0346403747951
787.6037043258904,787.6020687087465,787.5917427772232,787.5667522091663,787.5234265131097,787.459815740001,787.3752339278211,787.2699038402284,787.1446824246897,787.0008503790655
798.7817806615277,798.7800111694376,798.7688584981346,798.7419160798364,798.695291318135,798.6269590671702,798.536257765309,798.4234991419273,798.2896680642564,798.1361936769629
810.1325703882371,810.1306581311593,810.1186255346021,810.0896101608669,810.039489181858,809.9661639107627,809.869004612314,809.7484224168742,809.6055417065272,809.4419516341702
821.6574698876467,821.6554055128889,821.6424371686563,821.6112220607026,821.5573990188237,821.4787979497969,821.3748290465243,821.246013987144,821.0936289193994,820.9194351201919
833.3579070971556,833.3556807712766,833.3417181246944,833.3081706441254,833.2504307446733,833.1662595732868,833.0551160613842,832.917644319455,832.7552851853202,832.5699847397872
845.2353418148199,845.2329432050116,845.2179248714469,845.1819063302927,845.1200255698798,845.0299781703548,844.9112813538983,844.7647143121491,844.591896188749,844.3949711218116
857.2912660611174,857.2886843160551,857.2725459807588,857.2339114475103,857.1676563501328,857.0714144769101,856.9447716689057,856.7886556385265,856.6048781598156,856.3957952640466
869.5272044963788,869.5244282265259,869.5071025419646,869.4657006435166,869.3948279921425,869.2920609776519,869.157065198576,868.9909311452698,868.7956782728941,868.5738889327213
881.9447148927891,881.9417321501418,881.9231486307633,881.8788213501751,881.8030779137526,881.6934423622764,881.5496720359906,881.3730353048079,881.1657750989302,880.9307151155513
894.545388659977,894.542186917235,894.5222718316028,894.4748543015828,894.3939765573608,894.2771160348772,894.1241346817868,893.9364947205827,893.7166791104682,893.4677685272242
907.330851423311,907.3274175524584,907.306093812692,907.255414104704,907.1691279557482,907.044672675628,906.8820286029404,906.6828686842788,906.4499332384238,906.1865761663654
