D=0.0 mm^2/w,D=0.25 mm^2/w,D=0.5 mm^2/w,D=0.75 mm^2/w,D=1.0 mm^2/w
4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0
4.000000260715309,4.000001760715309,4.000012260715309,4.000040760715309,4.000096260715309
4.000003817658003,4.000009695072731,4.000050626975831,4.000161090355673,4.000374932200627
4.0000169259819485,4.000031321498874,4.00013106481464,4.000398701864377,4.000913757800041
4.000048516863548,4.000076728279836,4.000271204207643,4.000790051646965,4.001782686108281
4.000109720875058,4.000158104335441,4.000489942175895,4.0013702136030345,4.0030444456179755
4.000213474134204,4.000289352244035,4.0008071226231685,4.002172807094519,4.004755107569746
4.000374193066395,4.000485769401723,4.00124327927904,4.003229967265439,4.006964631624682
4.000607503884154,4.000763783462119,4.001819428322717,4.004572346107146,4.0097173882898565
4.000930015828154,4.001140731137492,4.002556900149657,4.006229135357703,4.0130526541464135
4.001359129783492,4.0016346720073175,4.003477202268456,4.008228104686883,4.017005077797134
4.001912875822628,4.002264230914733,4.004601907216689,4.010595650380108,4.021605115780906
4.002609774654159,4.003048463956375,4.00595256078095,4.013356851010038,4.02687943859771
4.003468719014141,4.004006744126231,4.007550606836881,4.016535527508562,4.032851307575358
4.004508871830284,4.005158663465726,4.009417325895003,4.020154305727406,4.039540923684386
4.005749578593906,4.006523949175056,4.011573785021863,4.024234680074808,4.04696574963721
4.007210291841848,4.008122391606516,4.014040797254707,4.028797077188437,4.0551408067375725
4.00891050601664,4.009973782425288,4.016838888977358,4.033860918885602,4.0640789480076975
4.010869701263622,4.012097861512308,4.019988274000321,4.039444683845008,4.073791109134905
4.0131072949566375,4.014514271415658,4.02350883330748,4.045565967637112,4.0842865387616385
4.015642599932567,4.01724251834455,4.02742009960807,4.052241540844963,4.095573009603493
4.0184947885691855,4.020301938853292,4.03174124597554,4.0594874051133605,4.107657011826177
4.021682861967872,4.023711671488858,4.036491077971785,4.067318847037971,4.120543930049863
4.0252256236081845,4.027490632780396,4.041688028751264,4.075750489862793,4.134238205281683
4.029141656929366,4.031657497036428,4.047350156719078,4.084796342997816,4.148743483007015
