D=0.0 mm^2/w,D=0.25 mm^2/w,D=0.5 mm^2/w,D=0.75 mm^2/w,D=1.0 mm^2/w
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352
0.0158906267172885,0.0158921892172885,0.0159031267172885,0.0159328142172885,0.01599062671728852
0.0409660956095222,0.0409722656873634,0.0410152374822523,0.0411312111487363,0.04135573059136302
0.0768398388800774,0.0768550682627479,0.0769605976264379,0.0772437855429475,0.07778881906097165
0.1230123152556489,0.1230423901493017,0.1232497366854016,0.1238029963724099,0.12486161397576978
0.1790276493566915,0.1790796219586259,0.1794361325603656,0.1803820234651266,0.18218139395439842
0.2444764185870979,0.2445585422174635,0.2451190417169763,0.2465977615165717,0.2493944427554007
0.3189922800292594,0.3191139478317314,0.3199401680323259,0.3221076446541238,0.3261832989457177
0.4022474045744506,0.4024190917458984,0.4035791376370269,0.4066052694259805,0.41226277671273587
0.4939480451960044,0.4941812547153465,0.4957491067694525,0.4998161437240879,0.5073760871744054
0.5938305796843619,0.5941377915203545,0.5961928430636413,0.6014939025229262,0.6112914027906666
0.7016580725712296,0.7020526963578936,0.7046793250936036,0.7114170356868532,0.7237989117340109
0.8172173129072882,0.8177136440841124,0.8210008169277349,0.8293860850017285,0.8447083208723234
0.9403162637415744,0.9409294431636104,0.9449703536252502,0.9552212467395508,0.9738467450713733
1.0707818603358672,1.0715278373664596,1.076419574787164,1.0887603172229914,1.111056921592341
1.2084581018114149,1.2093536009176695,1.2151968509345452,1.2298569264971042,1.2561956959181586
1.3532043896517272,1.3542668805300055,1.361165656210168,1.3783790139214842,1.409132733973891
1.5048940744793375,1.5061417457451418,1.514203148891554,1.5342075074728687,1.569749423615337
1.663413179316506,1.6648649158002082,1.6741989279938765,1.697235175325464,1.7379379349756905
1.828659273132656,1.830334636829633,1.8410539398329813,1.8673656238567145,1.91360041478443
2.0005404730272827,2.00245968775829,2.014679512964311,2.044512420762024,2.0966482942572706
2.178974557076954,2.181158496922006,2.1949965035934653,2.2285983256336133,2.2870016937810775
2.363888172855153,2.3663583544319056,2.3819345365348705,2.4195546133325214,2.484588910548923
2.555216129054351,2.5579947077199967,2.575431329216696,2.617320477898706,2.689345977677588
2.7529007596141883,2.756010529678321,2.7754320882061894,2.821842506715661,2.9012162852758294
2.956891351378333,2.9603557504230915,2.981888969350204,3.033074216263042,3.120150255516442
3.167143627636453,3.1709867450496683,3.194760593961987,3.250975642124521,3.346105065069387
3.3836192810129178,3.3878658708499647,3.414011614593263,3.47551297702444,3.5790444093327074
3.606285550084287,3.61096104838498,3.639612324854364,3.706658251589789,3.818938303796454
3.835114834878252,3.840245381576495,3.8715383085194417,3.9443890533084014,4.0657629186270166
4.070084347055024,4.075696812631119,4.109770123806291,4.1886882798076615,4.31950044319252
4.31117579112028,4.317297808158829,4.354293019272985,4.439543923132326,4.58013897778615
4.558375073484166,4.565035073314594,4.605096678244055,4.696948882173075,4.847672450260861
4.811672036577883,4.818899291189667,4.862174989081447,4.960900800803027,5.122100555679978
5.071060215579278,5.078884885020257,5.125525838961528,5.231401929629397,5.403428717425034
