D=0.0 mm^2/w,D=0.25 mm^2/w,D=0.5 mm^2/w,D=0.75 mm^2/w,D=1.0 mm^2/w
400.0,400.0,400.0,400.0,400.0
400.0,400.0,400.0,400.0,400.0
400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766
400.3758334233771,400.3758287358771,400.3757959233772,400.37570686087713,400.37553342337714
400.9690551091783,400.969036576288,400.9689075023061,400.96855915082847,400.96788475420095
401.81796092044846,401.817915157633,401.8175980516515,401.8167470967154,401.81510931595176
402.9108682908739,402.9107779535997,402.9101551481871,402.9084933578046,402.90531372117164
404.2371201191028,404.2369641923356,404.235894654526,404.233057134461,404.2276596500994
405.7871512750346,405.78690538584334,405.7852273544602,405.780800884275,405.7724302416937
407.55240945452334,407.5520462082745,407.5495799379698,407.543111388137,407.53095084733155
409.5252477789673,409.5247371198112,409.5212877340325,409.51229256818425,409.49548155583307
411.6988205062112,411.69813010276346,411.6934905591826,411.68146142895057,411.6591128669458
414.0669899033127,414.0660855606241,414.0600397337614,414.044455176637,414.01567257309296
416.62424534529407,416.6230914443782,416.6154173312381,416.5957505844778,416.5596449214104
419.3656336218562,419.36419358820746,419.3546666437211,419.33039458957774,419.2861010447632
422.2866989411403,422.28493574383214,422.2733323537935,422.24394461332673,422.1906391565447
425.383431146812,425.38130782991095,425.3674089299152,425.3324171243691,425.2693330304345
428.65222084516927,428.6497010933429,428.6332959430008,428.5922431432919,428.51868746608574
432.08982034462935,432.0868690849661,432.0677592073955,432.0202295936687,431.93559964689234
435.6933094984038,435.68989354059846,435.667896837898,435.6135255924268,435.51732548410575
439.4600657012951,439.4561544184932,439.4311094745917,439.36959293255865,439.2614502014917
443.3877374234018,443.38330347613504,443.355074059104,443.28618014302674,443.16586254647035
447.4742207706856,447.4692408764759,447.4377206530924,447.3612996178953,447.22873212084863
451.717638649098,451.7120944004554,451.6772118765295,451.5932073935178,451.4484894110751
456.1163221792073,456.11020091290544,456.07192461363786,455.9803852229401,455.82380816834257
460.66879406531547,460.6620897859907,460.62043369142464,460.52152465384734,460.353589846128
465.37375366958526,465.3664680308836,465.3214972823557,465.2155128630589,465.03694984955933
470.2300635798401,470.2222069265197,470.17404382091695,470.06142003888937,469.8732053894616
475.2367374911243,475.2283299657225,475.1771602553165,475.0584881343205,474.861864765726
480.3929292471474,480.384001965035,480.3300814817048,480.20612084018666,480.00261793109075
485.6979229094188,485.6885192062956,485.6321808300687,485.5038746495029,485.29532820854615
491.15112374002655,491.14130049615954,491.082961489211,490.9514509024861,490.74002505421123
496.75204999928405,496.7418790450604,496.6820487736176,496.548688717378,496.3368977733099
502.5003254723733,502.4898950800288,502.42918314804126,502.2955587254027,502.08629011033025
508.3956726500722,508.38508911677246,508.3242139367369,508.1921575394842,507.98869564598834
514.4379064980001,514.4272958257903,514.367093653771,514.23870289606,514.044753943571
520.6269287568138,520.6164384353244,520.5578728989974,520.4355294177096,520.2552473958752
526.9627227226719,526.9525236208638,526.8966957713405,526.7830849516066,526.621098731507
533.4453484632138,533.4356368368833,533.3837957571511,533.281927445166,533.1433691459323
540.0749384294435,540.0659380516746,540.0194920567352,539.9327223258568,539.8232570285354
546.8516934283698,546.8436578506282,546.8041863168337,546.7362403570872,546.6620972621497
553.7758789251465,553.7690938772615,553.7383597409462,553.6933559464684,553.6613610761891
560.8478216468545,560.8426075847278,560.8225705530311,560.805045886683,560.8226564387043
568.0679064630507,568.0646212735734,568.0574517933482,568.0723885127193,568.1477289764815
575.4365735208238,575.4356153941786,575.4437094280933,575.4965632624159,575.6384634157588
582.9543156144107,582.9561260946821,582.9821207570695,583.0788506301676,583.2968855392886
590.6216757714598,590.6267429972826,590.6735331059648,590.8206325062888,591.125164658381
598.4392450398354,598.4481071876818,598.5188627919226,598.7233928969665,599.1256166012324
606.4076604604597,606.4209094040942,606.519094353015,606.7887190219798,607.3007072213254
614.5276032131073,614.5458884137447,614.6752800339768,615.0183027894443,615.6530564319772
622.799796923342,622.823829566112,622.9885395221769,623.4139426487732,624.1854427752514
631.2250061199125,631.2555635133846,631.4600599292806,631.9775458248475,632.9008085354278
639.8040348329379,639.8419650896832,640.0910960154282,640.7111309380745,641.8022654090663
648.5377253241221,648.5839523415905,648.8829706540231,649.6168310165765,650.8931007454033
657.4269569410461,657.4824857034232,657.8370755363977,658.6968969082259,660.1767843723885
666.4726450883229,666.5385673114939,666.9548721167179,667.9537011015937,669.6569760251039
675.6757403090545,675.7532404523503,676.2378927984937,677.3897419661469,679.3375333946076
685.037227470627,685.1275891406526,685.6877423650031,687.0076484231813,689.2225208164006
694.558125049413,694.6627378229647,695.3060996567891,696.8101850600277,699.3162186187288
704.2394845094364,704.3598512042913,705.0947195001762,706.8002577010084,709.6231331517927
714.0823897704951,714.2201341947031,715.0554348914599,716.980919449441,720.1480075196303
724.0879567616317,724.2448319738465,725.1901594420467,727.3553772156829,730.89583303697
734.2573330562059,734.4352301715519,735.500890090368,737.9269987467683,741.8718614336913
744.5916975851505,744.7926551631151,745.9897100868443,748.6993201736092,753.0816178296875
755.0922604252926,755.3184744781562,756.6587922585387,759.6760540919911,764.5309145028797
765.7602626598922,766.014097322234,767.5104025603953,770.8610981936955,776.225865472876
776.596976308804,776.8809752106313,778.5469039201132,782.2585444640055,788.1729019223035
787.6037043258904,787.920602713917,789.7707603837468,793.8726889615938,800.3787884771516
798.7817806615277,799.1345183150347,801.1845415690391,805.7080421963508,812.8506403665565
810.1325703882371,810.5243053777692,812.7909274332957,817.769340120072,825.5959414813306
821.6574698876467,822.0915932264941,824.5927133622744,830.0615557440992,838.6225633492029
833.3579070971556,833.8380583371122,836.5928155861081,842.5899113969926,851.9387850431962
845.2353418148199,845.7654256390658,848.7942769276956,855.3598916341142,865.5533140378501
857.2912660611174,857.8754699282082,861.2002728882948,868.3772568096447,879.4753080261249
869.5272044963788,870.1700173902129,873.8141180742417,881.6480573200489,893.7143977078198
881.9447148927891,882.650947234038,886.6392729678154,895.1786485263841,908.2807105582605
894.545388659977,895.3201934347755,899.679351044292,908.9757063611456,923.1848955838947
907.330851423311,908.179746585012,912.9381262362112,923.0462436236078,938.4381490693374
920.3027636541192,921.2316558535992,926.4195407448368,937.3976269658948,954.0522413184037
933.4628213511426,934.47803105052,940.1277131977852,952.0375945703776,970.0395443898127
946.8127567726108,947.9210447963168,954.0669471508414,966.9742745174806,986.4130608266374
960.354339218422,961.5629347943748,968.2417399311564,982.2162038416964,1003.1864533772765
974.0893758619728,975.4060062042024,982.6567918183382,997.7723482726044,1020.3740757048367
988.0197126312672,989.4526341137764,997.317015559496,1013.6521226570428,1037.9910040814143
1002.1472351389996,1003.7052661089892,1012.2275462140992,1029.86541205839,1056.0530700639406
1016.4738696613724,1018.166424938323,1027.3937513246206,1046.422593529216,1074.5768941490915
1031.0015841654813,1032.8387112710225,1042.8212414093898,1063.3345585544414,1093.5799204063176
1045.732389385153,1047.72480654731,1058.5158807749249,1080.612736163656,1113.0804520904016
1060.6683399451945,1062.827475919549,1074.4837986462303,1098.2691167133994,1133.0976882381342
1075.8115355340583,1078.1495712837286,1090.731400615192,1116.316276343067,1153.6517612577413
1091.164122125002,1093.694034401205,1107.265380409224,1134.7674021116338,1174.7637755246255
1106.7282932458645,1109.4639001112737,1124.092731984719,1153.6363178265717,1196.4558470027582
1122.5062912976475,1125.4622996358596,1141.2207619525864,1172.937510581177,1218.7511439176785
1138.5004089221447,1141.692463978369,1158.6571023461663,1192.6861580218788,1241.6739285144292
1154.712990418913,1158.15772741952,1176.4097237450326,1212.8981563729667,1265.2495999418365
1171.1464332119483,1174.8615311137671,1194.4869487715546,1233.5901492524183,1289.5047383131955
1187.8031893664688,1191.80742679069,1212.8974659805228,1254.7795573189862,1314.4671500025602
1204.6857671562802,1208.999080566456,1231.6503441655375,1276.4846087973629,1340.165914245296
1221.7967326822454,1226.4402768711325,1250.7550471091863,1298.724370934901,1366.63143112122
1239.138711542443,1244.134922498245,1270.2214488071738,1321.5187824499064,1393.8954710083458
1256.7143905546566,1262.0870507834989,1290.0598491995047,1344.88868703786,1421.9912256048494
1274.526519531898,1280.3008259200544,1310.2809904444582,1368.8558680078902,1450.9533606261962
1292.577913111725,1298.780547418119,1330.8960737734496,1393.4430841274018,1480.8180702933157
1310.8714526401786,1317.5306547169355,1351.916776966885,1418.6741067577907,1511.6231337361207
1329.410088111231,1336.5557319574964,1373.3552724928063,1444.573758368687,1543.4079734444601
1348.1968401626896,1355.860512924516,1395.224246351491,1471.1679525220595,1576.2137159056606
1367.2348021295809,1375.449886166356,1417.53691767023,1498.4837354208116,1610.0832545740998
1386.5271421561004,1395.3289003017371,1440.307059093304,1526.5493291192013,1645.0613153237016
1406.0771053672804,1415.502769522194,1463.5490180127338,1555.3941764945555,1681.1945245388467
1425.8880161016057,1435.9768792993625,1487.277738685743,1585.0489880813543,1718.5314800029223
1445.9632802058766,1456.7567923063154,1511.5087852850834,1615.545790869907,1757.1228247466313
1466.306387393694,1477.84825456232,1536.2583659284776,1646.9179791725908,1797.0213240202545
1486.920913669021,1499.2572018105643,1561.5433577334738,1679.2003676610354,1838.2819455553558
1507.8105238163528,1520.9897661386096,1587.381332944009,1712.429246677799,1880.9619432819943
1528.978973959109,1543.0522828515475,1613.7905861749912,1746.64243992607,1925.1209446673938
1550.4301141879498,1565.451297608131,1640.7901628212555,1781.8793646408114,1970.8210418412887
1572.1678912607993,1588.1935738304207,1668.3998886773434,1818.1810943446048,2018.126886671843
1594.1963513764545,1611.2861003978364,1696.6404008147283,1855.5904242913216,2067.1057899541743
1616.519643023747,1634.7360996368454,1725.5331797633803,1894.1519397006944,2117.8278248711185
1639.1420199083211,1658.5510356179066,1755.1005830449149,1933.912086886916,2170.3659348829574
1662.0678439591898,1682.7386227716815,1785.3658801050665,1974.9192473846128,2224.796046199381
1685.301588417332,1707.3068348369454,1816.353288693804,2017.2238151759248,2281.1971849829356
1708.8478410086984,1732.263914153055,1848.0880127421467,2060.878277122985,2339.6515994285332
1732.7113072041002,1757.618381310279,1880.59628178558,2105.937296710827,2400.244886858228
1756.8968135685657,1783.3790451717273,1913.9053919849816,2152.457801206676,2463.066125964203
1781.4093112028677,1809.5550132810984,1948.0437487971008,2200.499072342571,2528.2080143256835
1806.253879280037,1836.15570267088,1983.0409113479384,2250.1228406294026,2595.767011317043
1831.435728679804,1863.1908510861333,2018.9276385638525,2301.3933834115664,2665.843486514544
1856.9602057240293,1890.6705286394304,2055.7359371168386,2354.377626772473,2738.5418736976426
1882.8327960163333,1918.6051499129776,2093.499111242285,2409.145251402064,2813.9708305273375
1909.059128389224,1947.0054865244304,2132.2518144895025,2465.768802538051,2892.2434039683308
1935.6449789622231,1975.8826801733524,2172.030103467584,2524.3238040927554,2973.477201503425
1962.5962753145795,2005.248256185764,2212.8714936515494,2584.8888770769454,3057.7945681672436
1989.9191007763231,2035.1141375746809,2254.8150173164054,2647.545862430812,3145.3227694016086
2017.6196988415784,2065.492659635045,2297.9012836695465,2712.379948369891,3236.194179706328
2045.7044777081908,2096.39658509194,2342.1725412549968,2779.4798023501667,3330.5464770262574
2074.1800149478886,2127.839119821499,2387.672742706145,2848.937707751444,3428.52284277788
2103.053062311378,2159.8339291644616,2434.4476119269702,2920.84970537108,3530.2721673758224
2132.3305506729225,2192.3951548528808,2482.544713785157,2995.3157398109965,3635.949261071209
2162.0195951191467,2225.537432571094,2532.013526403942,3072.4398108292444,3745.7150698591604
2192.1275001869867,2259.2759101726915,2582.905516142925,3152.330129712832,3859.736896151583
2222.6617652558907,2293.6262665758977,2635.2742153613463,3235.09928071082,3978.1886238433526
2253.630090099572,2328.604731360511,2689.1753030603504,3320.864387545344,4101.250947324655
2285.0403806028103,2364.228105090318,2744.6666885034374,3409.747284992983,4229.111603909405
2316.900754649019,2400.513780385761,2801.808597916476,3501.8746954993903,4361.965609059037
2349.2195481844783,2437.4797637725424,2860.663664370195,3597.3784107559527,4500.015493682422
2382.0053214653926,2475.144698332842,2921.2970209488044,3696.395478128301,4643.471542686215
2415.2668654941167,2513.527887186917,2983.7763973081724,3799.068391782345,4792.552033835479
2449.013208651159,2552.64931783399,3048.172219725564,3905.545288304087,4947.48347586223
2483.253623529787,2592.52968738261,3114.55771474023,4015.9801465545456,5108.500844629694
2517.997633980324,2633.190428702005,3183.009016479836,4130.532991440704,5275.847816022946
2553.2550223714657,2674.6537375274074,3253.605277761728,4249.370101217372,5449.7769940924945
2589.035837076221,2716.942600553868,3326.4287850501014,4372.664217863419,5630.55013282684
2625.350400190336,2760.0808245547228,3401.5650773401444,4500.594759999009,5818.438349773411
2662.209315491348,2804.0930665626106,3479.103069027941,4633.348037728602,6013.722329565184
2699.6234766467014,2849.004865152766,3559.135176810264,4771.117468707772,6216.692515243197
2737.604075679644,2894.842672870211,3641.757450641154,4914.103794640735,6427.649285093437
2776.162611701925,2941.633889844448,3727.069708752332,5062.515297320387,6646.903112540823
2815.310899922639,2989.4068986372768,3815.1756767218512,5216.568013223901,6874.774706463255
2855.061080942849,3038.191100371444,3906.1831305500255,5376.485945575249,7111.5951291053925
2895.4256303459947,3088.016952189908,4000.204043673399,5542.501272681692,7357.70588858475
