D=0.0 mm^2/w,D=0.1 mm^2/w,D=0.2 mm^2/w,D=0.3 mm^2/w,D=0.4 mm^2/w,D=0.5 mm^2/w,D=0.6 mm^2/w,D=0.7 mm^2/w,D=0.8 mm^2/w,D=0.9 mm^2/w,D=1.0 mm^2/w
400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766
400.3758334233771,400.3757831423695,400.37573286136177,400.37568258035407,400.3756322993464,400.3755820183387,400.375531737331,400.3754814563233,400.3754311753156,400.375380894308,400.37533061330026
400.9690551091783,400.9686294132137,400.9682039183732,400.9677786246566,400.96735353206407,400.96692864059565,400.9665039502512,400.96607946103074,400.9656551729343,400.9652310859621,400.9648072001137
401.81796092044846,401.8165694366649,401.81517985333466,401.8137921677425,401.81240637717326,401.8110224789117,401.8096404702424,401.8082603484502,401.8068821108198,401.80550575463616,401.80413127718367
402.9108682908739,402.9076686644686,402.90447647706856,402.90129170444334,402.8981143224155,402.8949443068606,402.8917816337074,402.8886262789379,402.8854782185872,402.8823374287433,402.8792038855475
404.2371201191028,404.2310303051685,404.2249606302081,404.2189109902508,404.21288128180095,404.2068714018369,404.2008812478097,404.1949107176423,404.1889597097278,404.1830281229286,404.17711585657497
405.7871512750346,405.7768602458852,405.76661346492847,405.75641061821887,405.7462513940084,405.7361354827353,405.7260625770131,405.7160323716195,405.7060445634846,405.69609885168046,405.6861949374092
407.55240945452334,407.5363863464314,407.52044813203366,407.5045940439489,407.4888233220478,407.4731352133962,407.4575289721994,407.442003859746,407.4265591443528,407.41119410130926,407.3959080128229
409.5252477789673,409.5017496325504,409.47839952987977,409.4551958441003,409.43213696772926,409.4092213124548,409.38644730893503,409.3638134066001,409.341318073454,409.3189597958794,409.29673707844364
411.6988205062112,411.6658987697659,411.6332175106536,411.6007736168272,411.56856402095866,411.5365856998528,411.50483567386834,411.4733110063455,411.44200880303833,411.4109262115554,411.3800604208049
414.0669899033127,414.0224958545381,413.9783715658144,413.9346115299588,413.8912103324831,413.8481626501324,413.8054632494443,413.7631069853279,413.721088799662,413.6794037199133,413.63804685777296
416.62424534529407,416.5658345669961,416.50796801423047,416.450636518734,416.39383108912193,416.3375429076291,416.2817633269047,416.2264838668602,416.1716962115692,416.1173922062189,416.06356385411294
419.3656336218562,419.29076964796496,419.2166786356967,419.1433460549203,419.0707576915557,418.99889964091005,418.9277583011418,418.8573203668511,418.7875728227939,418.7185029377188,418.65009825832294
422.2866989411403,422.1926561724343,422.0996792043934,422.0077459235837,421.9168347518899,421.82692463380494,421.7379950239993,421.6500258751653,421.5629976261301,421.47689119023227,421.39168794395744
425.383431146812,425.26729712134136,425.1525964092112,425.0392964788944,424.9273656661967,424.8167731513607,424.7074889367376,424.5994838250145,424.4927293979829,424.38719799583833,424.2828626969968
428.65222084516927,428.51089793627335,428.37146183298654,428.2338660379494,428.0980654074114,427.9640161119112,427.8316755980405,427.7010025512647,427.5719568597704,427.4444995793178,427.31859289906765
432.08982034462935,431.9200269493068,431.7526718723346,431.5876902833424,431.4250193978982,431.264598412666,431.10636844252815,430.950272459618,430.7962552342071,430.644263277396,430.49424478555505
435.6933094984038,435.4915807702821,435.29295267153225,435.0973367387249,434.90464751633135,434.71480245344856,434.5277218039394,434.3433285298807,434.1615482082141,433.9823089405028,433.80554126569194
439.4600657012951,439.22275387527833,438.98932930675977,438.7596735459023,438.5336724593348,438.3112160705694,438.0921984061336,437.8765173472209,437.6640744866713,437.45477499110206,437.2485274680077
443.3877374234018,443.1110117730052,442.8390985911074,442.57184190728975,442.3090918148425,442.0507042306296,441.7965406642096,441.54646799587096,441.300358263249,441.0580884562124,440.8195403197064
447.4742207706856,447.1540672339084,446.83980497976887,446.53123166755256,446.22815331515807,445.93038394612506,445.6377452512321,445.350066264084,445.0671830501317,444.7889384085905,444.5151815867407
451.717638649098,451.3498591542753,450.9892191431194,450.635459597338,450.2883328276221,449.94760196554034,449.6130404777903,449.28443170185625,448.9615684021588,448.6442523458261,448.3322938972434
456.1163221792073,455.6965336984964,455.2853188468906,454.8823500141981,454.48731471369103,454.0999148642444,453.7198661060132,453.3468971481287,452.9807491469576,452.6211751135367,452.26793934885154
460.66879406531547,460.1924274202074,459.726271836764,459.2699174344751,458.8229742464927,458.3850712223842,457.9558552801864,457.5349904053841,457.122156794552,456.7170500415051,456.3193803638988
465.37375366958526,464.836052110003,464.3104204721277,463.796350997819,463.2933618253157,462.8009956248776,462.31881830557086,461.8464177895726,461.3834028505504,460.9294020128471,460.48406250835757
470.2300635798401,469.626081155922,469.0362678926314,468.4600004452937,467.8966887651967,467.3457742587523,466.8067280476224,466.2790493243855,465.76226379860304,465.2559222284226,464.75959903309894
475.2367374911243,474.5613372346421,473.9024655332352,473.2593634644324,472.6313144725248,472.01764191620646,471.4177067573326,470.8309053828237,470.25666755218174,469.6944544635117,469.14375693132126
480.3929292471474,479.64078117761903,478.907801830024,478.19307424146285,477.4957348447482,476.8149702392457,476.15001415622106,475.5001446071677,474.8646812042565,474.2429826426889,473.63444433532015
485.6979229094188,484.8635018783143,484.051191981201,483.2598930833127,482.488571754912,481.7362570646679,481.0020366377117,480.28505296195686,479.5844999272627,478.8996195829779,478.22969910026484
491.15112374002655,490.22870712499525,489.3316686462141,488.4586969907578,487.6085635007334,486.78011674737616,485.9722774610783,485.1840337942939,484.4144368957304,483.6625967756288,482.927678443209
496.75204999928405,495.7357152590257,494.7483734815796,493.7884710798655,492.854556113898,491.9452713561794,491.0593478305325,490.19559879240336,489.3529141207893,488.53025509395104,487.72664952291007
502.5003254723733,501.3839475716134,500.30054942516176,499.2483007622382,498.2254954387804,497.2305426499306,496.2619587659046,495.3183597474368,494.3984541000332,493.5010363291124,492.6249808607319
508.3956726500722,507.1729213630605,505.9875336518772,504.8373646059091,503.7204199012808,502.6348447534932,501.5789136831604,500.5510210354804,499.5496721983633,498.5734754681362,497.62113451542126
514.4379064980001,513.1022435980162,511.8087511333574,510.5549278084204,509.33845389827206,508.1571774629596,507.009101613073,505.89237274693903,504.8052696857971,503.7461936388581,502.71365893524296
520.6269287568138,519.171605098324,517.7637087422931,516.4003362219122,515.0788017465582,513.7966201180634,512.5514909950035,511.3412843992325,510.1640273671299,509.0178916556358,507.9011824201406
526.9627227226719,525.3807752220144,523.8519898492281,522.3730108771788,520.9407421374666,519.552325987054,518.2051239901756,516.8966991762799,515.6247997459868,514.3873441073874,513.1824071344942
533.4453484632138,531.7295969830008,530.0732493656473,528.4724429598093,526.9236230494421,525.4235171156259,523.9691112652492,522.5576286447673,521.1865096724251,519.8533939362537,518.5561036178831
540.0749384294435,538.2179825712321,536.4272091924715,534.6981891968607,533.0268570764108,531.4094795969824,529.8426272025602,528.3231479028381,526.8481434289819,525.414947461013,524.0211057471886
546.8516934283698,544.8459092375776,542.9136540376404,541.0498676171444,539.2499171343832,537.5095592248729,535.824905498229,534.1923911217569,532.60874621505,531.0709698044461,529.5763061085286
553.7758789251465,551.6134155116508,549.5324275704538,547.5271536522497,545.5923325128591,543.7231574956036,541.9152351135614,540.1645474453856,538.4674179938216,536.820480688278,535.2206517420184
560.8478216468545,558.5205977242233,556.2834288838266,554.1297765489531,552.0536852411799,550.049727928649,548.1129565488494,546.2388572160506,544.423309669844,542.6625505631891,540.9531402262894
568.0679064630507,565.5676068088945,563.1666092386636,560.8575160667646,558.6336067431099,556.4887726786833,554.417458411921,552.4146084986756,550.4756195685741,548.5962970447929,546.7728160731532
575.4365735208238,572.754645360332,570.1819690672479,567.7101994370761,565.3317747556924,563.0398394146484,560.8281742566274,558.6911338779372,556.6235901922589,554.6208816294601,552.6787674058407
582.9543156144107,580.0819649287334,577.3295552148988,574.6876985627802,572.1479104908542,569.7025184439461,567.3445796689681,565.0678075057548,562.8665052290576,560.7355066665094,558.6701228969256
590.6216757714598,587.5498635322238,584.6094584012451,581.7899274393393,579.0817760203836,576.4764400620217,573.9661895807671,571.5440423786763,569.2036867946111,566.9394125656091,564.7460489444128
598.4392450398354,595.158683370724,592.0218108843078,589.016839780165,586.1331718668068,583.3612721095388,580.6925557927789,578.1192878267157,575.6344928872967,573.231875220302,570.9057470665709
606.4076604604597,602.9088087264514,599.5667843122277,596.3684268308257,593.3019347843768,590.3567177210593,587.5232646908405,584.7930271969693,582.1583150402001,579.6122036303943,577.1484514979526
614.5276032131073,610.8006640376458,607.2445877489279,603.8447153580813,600.5879357158872,597.4625132506641,594.4579351402392,591.5647757169123,588.7745761544454,586.0797377075806,583.473426970703
622.799796923342,618.8347121334023,615.0554658613028,611.4457658010604,607.9910779123616,604.6784263613101,601.4962165448404,598.4340785236797,595.482728499943,592.6338462501259,589.8799666667354
631.2250061199125,627.0114526186328,622.999697256682,619.1716705730677,615.5112952038611,612.0042542659301,608.637787058756,605.4005088468879,602.2822518708974,599.2739250737251,596.3673903276703
639.8040348329379,635.3314203992026,631.0775929603537,627.022552503563,623.1485504107184,619.4398221093634,615.8823519394322,612.4636663336762,609.1726518845483,605.999395286818,602.9350425106157
