D=0.0 mm^2/w,D=0.25 mm^2/w,D=0.5 mm^2/w,D=0.75 mm^2/w,D=1.0 mm^2/w
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352
0.0158906267172885,0.0158868740118976,0.0158924963065067,0.0159168686011158,0.015969365895725004
0.0409660956095222,0.0409273038122565,0.0409254997169048,0.0409971022483271,0.04117796783138363
0.0768398388800774,0.0767082614716683,0.0766681384624342,0.0768078911435315,0.07721320825185553
0.1230123152556489,0.1227052013821633,0.122579243457361,0.1228061755836262,0.12354976668065759
0.1790276493566915,0.1784385934589518,0.17816378285191,0.1784950527726146,0.17970617902195477
0.2444764185870979,0.2434765390448987,0.2429753158573173,0.2434261375861023,0.245247294133838
0.3189922800292594,0.3174312302346987,0.3166122953039654,0.3171957761241108,0.31978057705950685
0.4022474045744506,0.3999542335808453,0.3987132134765914,0.3994401201320609,0.40295128099246885
0.4939480451960044,0.490731926589228,0.4889519208736064,0.4898303930182679,0.49443782010971643
0.5938305796843619,0.5894814257649486,0.5870334548387256,0.5880686824531861,0.5939476766048324
0.7016580725712296,0.6959470487548876,0.6926904182098251,0.6938842971753733,0.7012138773464377
0.8172173129072882,0.8098972651447397,0.8056798602502624,0.8070306378922443,0.8159919880057425
0.9403162637415744,0.9311220699081584,0.9257805918554444,0.927282512208106,0.9380575528668958
1.0707818603358672,1.0594307149688078,1.0527908687950147,1.0544338256080117,1.0672039109624787
1.2084581018114149,1.194649742251399,1.1865263849395715,1.1882955890071043,1.2032403279504378
1.3532043896517272,1.3366212705378824,1.3268185265927612,1.3286941927943352,1.3459903928124612
1.5048940744793375,1.4852014966166494,1.4735128474138155,1.4754699058684535,1.4952906372225352
1.663413179316506,1.640259378150924,1.626467730512599,1.628475565429682,1.650989342861667
1.828659273132656,1.8016754714056304,1.785553210143074,1.7875754292728037,1.8129455080676922
2.0005404730272827,1.9693409016171888,1.9506499301741624,1.952644167194624,1.9810279501817214
2.178974557076954,2.143156447552629,2.121648220368378,2.1235659720745623,2.1551145239837637
2.363888172855153,2.3230317248528065,2.298447274621495,2.3002337743884542,2.335091439880267
2.555216129054351,2.508884455232075,2.480954417856404,2.482548546521026,2.520852668167501
2.7529007596141883,2.700639810629131,2.669084450339123,2.670418685372197,2.712299417869554
2.956891351378333,2.8982298230626866,2.8627590598881243,2.863759463501833,2.909339680435846
3.167143627636453,3.101592852313661,3.0619062938537978,3.062492540502416,3.1118878300574626
3.3836192810129178,3.310673104689757,3.2664600839111144,3.266545527488529,3.3198642735850648
3.606285550084287,3.525420197073484,3.4763598176811983,3.4758515985931893,3.533195144051504
3.835114834878252,3.7457887612465273,3.6915499520129695,3.6903491442007903,3.7518120326575355
4.070084347055024,3.971738084149923,3.911979663442979,3.9099814613543455,3.975651754799299
4.31117579112028,4.203231780303295,4.137602531933012,4.134696477374287,4.204656146325655
4.558375073484166,4.440237493085469,4.368376254479504,4.364446503236191,4.438771886731295
4.811672036577883,4.682726621987513,4.604262385610927,4.599188013690682,4.677950346433452
5.071060215579278,4.930674073299455,4.845226102151353,4.838881451482713,4.922147455658633
