D=0.0 mm^2/w,D=0.25 mm^2/w,D=0.5 mm^2/w,D=0.75 mm^2/w,D=1.0 mm^2/w
400.0,400.0,400.0,400.0,400.0
400.0,400.0,400.0,400.0,400.0
400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766
400.3758334233771,400.3757030333579,400.3755445183387,400.3753297533195,400.3750306133003
400.9690551091783,400.9679726651487,400.96678055329033,400.9653693956242,400.96363150167133
401.81796092044846,401.814439769279,401.8106572238602,401.80634759527504,401.8012534025578
402.9108682908739,402.9027921078599,402.8942240768639,402.8846480970821,402.87357200790467
404.2371201191028,404.2217757182288,404.2056295985602,404.18780481119137,404.1674786888511
405.7871512750346,405.7612573775496,405.7341793201188,405.70455507098114,405.671128041166
407.55240945452334,407.51214149333583,407.4702484888008,407.4247476660133,407.37384050084034
409.5252477789673,409.4662591411318,409.40516734683706,409.3392240075857,409.2659786961795
411.6988205062112,411.6162606516256,411.5311104494979,411.4397038799257,411.33882900189275
414.0669899033127,413.95551976130224,413.8409979935713,413.71868369799904,413.584496157307
416.62424534529407,416.4780503395705,416.3284101123336,416.169348164716,415.99581177064067
419.3656336218562,419.17843462485166,418.9875130151895,418.7854941458886,418.5662554613681
422.2866989411403,422.0517614152454,421.81299537004816,421.5614651087605,421.28988692869274
425.383431146812,425.0935726931023,424.8000133673806,424.49209451868006,424.1612872915427
428.65222084516927,428.2998173491695,427.94414309767546,427.5726567882692,427.17550825296587
432.08982034462935,431.666810882652,431.24133909014864,430.7988245955276,430.3280278703968
435.6933094984038,435.1912001461589,434.687898057722,434.16663158941617,433.6147119207884
439.4600657012951,438.8699323680643,438.2804270605911,437.67243967285054,437.0317800254853
443.3877374234018,442.7002278194955,442.015815438464,441.3129101941733,440.57577584457925
447.4742207706856,446.67955560265415,445.8912099735941,445.0849784930132,444.2435407684354
451.717638649098,450.805612125853,449.9039928375168,448.985831339555,448.0321906297924
456.1163221792073,455.0763019024919,454.05176194800026,453.012886881795,451.93909503758385
460.66879406531547,459.4897203695869,458.3323134225869,457.16377677686353,455.9618589969882
465.37375366958526,464.0441384691173,462.7436258639885,461.4363302327756,460.098306532078
470.2300635798401,468.7379887745444,467.2838462527407,465.8285597282905,464.3464660701128
475.2367374911243,473.5698529770812,471.9512772556362,470.3386482126938,468.70455738182187
480.3929292471474,478.5384505730103,476.7443657859376,474.9649376156607,473.17097990138234
485.6979229094188,483.6426286156085,481.6616926742825,479.7059185210295,477.7443022743501
491.15112374002655,488.88135241388335,486.70196332840527,484.5602208781785,482.42325300243806
496.75204999928405,494.2536970760226,491.86399927598137,489.5266056414523,487.2067120714709
502.5003254723733,499.7588398087338,497.1467304985958,494.6039572422824,492.09370346364807
508.3956726500722,505.3960528949245,502.5491884764851,499.79127681073726,497.0833884678706
514.4379064980001,511.16469728179953,508.07049987364456,505.0876760735731,502.1750597127048
520.6269287568138,517.0642167196902,513.7098808014193,510.49237186473215,507.3681358558619
526.9627227226719,523.0941323990215,519.4666316060357,516.0046811918894,512.6621568721152
533.4453484632138,529.2540380389398,525.3401321318696,521.6240168092701,518.0567798885522
540.0749384294435,535.5435953864214,531.3298374177457,527.3498832527135,523.5517755221341
546.8516934283698,541.9625300892905,537.4352737883397,533.1818732979726,529.147024679846
553.7758789251465,548.510627910583,543.6560353069317,539.1196648076242,534.8425157863803
560.8478216468545,555.1877312552074,549.9917805594062,545.1630179358153,540.6383424083983
568.0679064630507,561.993735982924,556.4422297426039,551.3117726634568,546.5347012480422
575.4365735208238,568.9285884843733,563.0071620329501,557.5658466394698,552.5318904815822
582.9543156144107,575.9922829992624,569.6864132137765,563.9252333063404,558.6303084219487
590.6216757714598,583.1848591579264,576.4798735419582,570.3900002905943,564.8304524864532
598.4392450398354,590.5063997293437,583.3874858364429,576.9602880409016,571.1329184532932
606.4076604604597,597.9570285603389,590.4092437729912,583.6363086983991,577.5383999925002
614.5276032131073,605.5369086921769,597.5451903709957,590.4183451855018,584.047688458849
622.799796923342,613.2462406420617,604.795416659636,597.3067505009856,590.6616729359367
631.2250061199125,621.0852608382247,612.1600605118668,604.3019472104928,597.3813405221764
639.8040348329379,629.0542401983314,619.6393056358527,611.4044271228468,604.2077768508539
648.5377253241221,637.1534828418745,627.2333807144672,618.6147511436826,611.1421668376875
657.4269569410461,645.3833249280623,634.9425586843796,625.9335492989279,618.1857956505164
666.4726450883229,653.7441336114664,642.7671561470708,633.3615209215985,625.3400498968474
675.6757403090545,662.236306108377,650.7075329048638,640.8994349962355,632.6064190260112
685.037227470627,670.8602688674254,658.7640916157283,648.5481306560984,639.9864969436394
694.558125049413,679.6164768385903,666.9372775612313,656.3085178289599,647.4819838370721
704.2394845094364,688.5054128352073,675.2275785225727,664.181578028028,655.0946882111546
714.0823897704951,697.5275869840542,683.6355247601507,672.1683652851491,662.8265291346897
724.0879567616317,706.6835362590017,692.1616890925819,680.2700072240426,670.6795386985804
734.2573330562059,715.97382409409,700.8066870715302,688.4877062718689,678.6558646874325
744.5916975851505,725.3990400722396,709.5711772491017,696.8227410079596,686.7577734671012
755.0922604252926,734.9597996861116,718.4558615349364,705.2764676490376,694.9876530913461
765.7602626598922,744.6567441679226,727.4614856404709,713.8503216707263,703.3480166314362
776.596976308804,754.4905403852758,736.5888396081693,722.5458195656036,711.8415057331886
787.6037043258904,764.4618808003141,745.8387584238238,731.364560738491,720.4708944065754
798.7817806615277,774.5714834897163,755.2121227103055,740.3082295400915,729.2390930536569
810.1325703882371,784.8200922232636,764.7098595014172,749.3785974404949,738.149152741226
821.6574698876467,795.2084765988875,774.3329430947522,758.5775253444741,747.204269725168
833.3579070971556,805.7374322322847,784.0823959826998,767.9069660508777,756.4077902341559
845.2353418148199,816.4077809993425,793.9592898609742,777.3689668588137,765.7632155209147
857.2912660611174,827.2203713297686,803.9647467142559,786.9656723236933,775.274207189908
869.5272044963788,838.1760785504557,814.0999399787518,796.6993271665789,784.9445928109122
881.9447148927891,849.2758052772413,824.3660957816808,806.5722793406496,794.7783718285697
894.545388659977,860.5204818538423,834.7644942578909,816.5869832589718,804.7797217786318
907.330851423311,871.9110668368601,845.2964709440055,826.7460031881267,814.9530048222367
920.3027636541192,883.4485475258546,855.9634182506868,837.0520168126213,825.302774610196
933.4628213511426,895.1339405375898,866.7667870137872,847.5078189753801,835.8337834899098
946.8127567726108,906.9682924236478,877.708088125342,858.1163255999882,846.550990068173
960.354339218422,918.952680330698,888.7888942455385,868.8805778007363,857.4595671437878
974.0893758619728,931.0882127027966,900.0108415969728,879.8037461869004,868.564910024559
988.0197126312672,943.376030025174,911.3756318426856,890.8891353680707,879.8726452439068
1002.1472351389996,955.8173056090468,922.8850340496448,902.140188667743,891.3886396930063
1016.4738696613724,968.4132464170684,934.5408867395214,913.5604930527754,903.119010185032
1031.0015841654813,981.1650939291112,946.3451000287828,925.1537842867214,915.0701334687626
1045.732389385153,994.0741250481352,958.2996578603104,936.9239523154552,927.2486567094788
1060.6683399451945,1007.141653045983,970.4066203289271,948.8750468939244,939.6615084557659
1075.8115355340583,1020.3690285490004,982.668126103405,961.0112834632838,952.3159101115068
1091.164122125002,1033.7576405634518,995.0863949477124,973.337049288094,965.2193879330274
1106.7282932458645,1047.3089175407722,1007.6637303444464,985.8569098637066,978.3797855720193
1122.5062912976475,1061.0243284827586,1020.4025222235877,998.5756156043932,991.8052771855248
1138.5004089221447,1074.9053840868737,1033.305249799918,1011.4981088232344,1005.504381134915
1154.712990418913,1088.953637931896,1046.374484522633,1024.629531015229,1019.4859742964221
1171.1464332119483,1103.170687704229,1059.6128931408907,1037.975230455554,1033.7593070063995
1187.8031893664688,1117.5581764652272,1073.023240889244,1051.5407701253664,1048.334018665072
1204.6857671562802,1132.1177939599868,1086.6083947971283,1065.3319359780176,1063.2201540231013
1221.7967326822454,1146.851277968099,1100.3713271267743,1079.3547455590162,1078.4281801758193
1239.138711542443,1161.7604156969426,1114.3151189441642,1093.61545699357,1093.9690042904786
1256.7143905546566,1176.8470452181475,1128.4429638278625,1108.1205783560094,1109.8539920923154
1274.526519531898,1192.1130569479533,1142.7581717207966,1122.876877435892,1126.0949871356245
1292.577913111725,1207.56039517223,1157.2641729303066,1137.8913919160634,1142.704330886393
1310.8714526401786,1223.1910596170228,1171.964522282023,1153.1714399784516,1159.6948836433282
1329.410088111231,1239.007107065543,1186.862903433398,1168.7246313538462,1177.0800463243306
1348.1968401626896,1255.0106530226085,1201.963133352975,1184.558878832409,1194.873783145617
1367.2348021295809,1271.203873427609,1217.269166971743,1200.6824102521373,1213.090645220758
1386.5271421561004,1287.5890064171542,1232.785102013213,1217.1037809829827,1231.7457951068777
1406.0771053672804,1304.1683541386392,1248.5151840091262,1233.8318869247955,1250.8550323251459
1425.8880161016057,1320.9442846160468,1264.4638115080045,1250.875978037728,1270.4348198824787
1445.9632802058766,1337.9192336693875,1280.6355414840475,1268.2456724241829,1290.5023118210438
1466.306387393694,1355.095706889268,1297.0350949541937,1285.9509709818358,1311.0753818217265
1486.920913669021,1372.4762816681648,1313.667362811477,1304.002272647686,1332.1726528871652
1507.8105238163528,1390.0636092900738,1330.537411883136,1322.410390253505,1353.8135281292834
1528.978973959109,1407.8604170802998,1347.6504912222651,1341.1865670134507,1376.0182226854506
1550.4301141879498,1425.8695106172454,1365.0120386421436,1360.3424936649938,1398.8077967864608
1572.1678912607993,1444.093776008161,1382.6276875027206,1379.8903262846625,1422.2041899984658
1594.1963513764545,1462.5361822309214,1400.5032737591057,1399.8427048004507,1446.2302566597946
1616.519643023747,1481.199783543996,1418.6448432822715,1420.212772223054,1470.9098025322696
1639.1420199083211,1500.087721966896,1437.058659462566,1441.0141946183903,1496.2676226851747
1662.0678439591898,1519.203229833488,1455.751211107004,1462.2611818441326,1522.3295406284512
1685.301588417332,1538.5496324206886,1474.729220641719,1483.9685090732312,1549.1224487100087
1708.8478410086984,1558.130350655166,1493.999652631353,1506.15153912762,1576.6743497902298
1732.7113072041002,1577.9489039008076,1513.5697226275847,1528.8262456455043,1605.0144002048576
1756.8968135685657,1598.0089128298357,1533.4469063594124,1552.0092371058042,1634.1729540254662
1781.4093112028677,1618.3141023805915,1553.638949278256,1575.7177817334737,1664.1816086246731
1806.253879280037,1638.8683048051405,1574.1538764713769,1599.969833309565,1695.073251551142
1831.435728679804,1659.675462809999,1595.0000029575774,1624.7840579100075,1726.8821087173044
1856.9602057240293,1680.7396327934296,1616.1859443796018,1650.1798615971848,1759.6437939005739
1882.8327960163333,1702.0649881828977,1637.7206281081435,1676.1774190884823,1793.395359556702
1909.059128389224,1723.6558228764536,1659.6133047728445,1702.797703426061,1828.1753489418202
1935.6449789622231,1745.5165547919553,1681.873560236172,1730.062516672196,1864.0238495376655
1962.5962753145795,1767.651729528222,1704.5113280265753,1757.9945216546123,1900.982547772522
1989.9191007763231,1790.0660241423843,1727.5369022478294,1786.6172747863357,1939.094785028526
2017.6196988415784,1812.7642510478788,1750.9609509820266,1815.9552599846977,1978.405614924226
2045.7044777081908,1835.751362037716,1774.794530204203,1846.0339237142632,2018.9618618596373
2074.1800149478886,1859.0324524378568,1799.0490982271615,1876.8797111786096,2060.812180809524
2103.053062311378,1882.6127653957287,1823.7365306956133,1908.52010368609,2104.00711834925
2132.3305506729225,1906.497696309115,1848.869136149352,1940.9836572149368,2148.5991748962806
2162.0195951191467,1930.692797400879,1874.459672175776,1974.3000422033608,2194.6428681492444
2192.1275001869867,1955.203782445203,1900.52136217269,2008.500084590617,2242.1947977053783
2222.6617652558907,1980.0365316512537,1927.067912742945,2043.6158081353965,2291.3137108361097
2253.630090099572,2005.1970967104296,1954.113531743133,2079.680478038345,2342.060569399439
2285.0403806028103,2030.6917060135868,1981.67294700922,2116.7286458959843,2394.498617866591
2316.900754649019,2056.526770044913,2009.7614257826808,2154.7961960138477,2448.693452439029
2349.2195481844783,2082.708886959369,2038.3947948614125,2193.9203931072066,2504.713091230259
2382.0053214653926,2109.244848350908,2067.589461500427,2234.139931418365,2562.628045484765
2415.2668654941167,2136.141645218955,2097.3624350880727,2275.49498528008,2622.5113918038132
2449.013208651159,2163.40647414095,2127.7313496242973,2318.0272611552678,2684.4388453445335
2483.253623529787,2191.0467436590275,2158.714487028274,2361.780051183691,2748.4888339545246
2517.997633980324,2219.0700808892607,2190.330801303504,2406.7982882667825,2814.742573199021
2553.2550223714657,2247.4843383622047,2222.5999435893627,2453.1286027221045,2883.284142231243
2589.035837076221,2276.2976011038168,2255.5422881289123,2500.8193805391334,2954.200560448721
2625.350400190336,2305.5181939661893,2289.178959183673,2549.920823268007,3027.5818648689656
2662.209315491348,2335.1546892178862,2323.531858926965,2600.4850095725506,3103.521188146642
2699.6234766467014,2365.215914404055,2358.623696348326,2652.565958478214,3182.1148371412114
2737.604075679644,2395.710960486873,2394.478017202477,2706.219694344457,3263.462371928682
2776.162611701925,2426.6491902772805,2431.119235037208,2761.5043135894807,3347.6666851334494
2815.310899922639,2458.040247169384,2468.5726633355484,2818.480053192991,3434.834081436124
2855.061080942849,2489.894064189309,2506.864548808522,2877.209360999753,3525.0743570905643
2895.4256303459947,2522.220873370769,2546.0221058757265,2937.7569678429827,3618.5008792580043
