time,value_D
0.0,0.0
0.01,0.01639792
0.02,0.10628568508322632
0.03,0.19423968183608267
0.04,0.27864351304564533
0.05,0.35942278869666533
0.06,0.4367617634101362
0.07,0.5108872858007275
0.08,0.5820182912685589
0.09,0.6503538622857788
0.1,0.7160719600896744
0.11,0.7793311816413836
0.12,0.8402731918814806
0.13,0.8990250873802788
0.14,0.9557014782090103
0.15,1.0104062558164102
0.16,1.0632340737411858
0.17,1.114271583187063
0.18,1.1635984651800848
0.19,1.2112882958329514
0.2,1.2574092751223571
0.21,1.3020248439358328
0.22,1.3451942093591045
0.23,1.3869727942722587
0.24,1.4274126241956826
0.25,1.4665626618394976
0.26,1.5044690978360957
0.27,1.541175604566923
0.28,1.57672355874493
0.29,1.6111522374144427
0.3,1.6444989912269403
0.31,1.6767993982026455
0.32,1.7080874006615194
0.33,1.738395427578023
0.34,1.767754504262186
0.35,1.796194350979771
0.36,1.8237434718845142
0.37,1.850429235436072
0.38,1.876277947310813
0.39,1.9013149166729624
0.4,1.9255645165560196
0.41,1.9490502390049358
0.42,1.971794745545147
0.43,1.9938199134726646
0.44,2.0151468783979576
0.45,2.035796073423635
0.46,2.055787265290559
0.47,2.075139587787835
0.48,2.0938715726882062
0.49,2.1120011784409063
0.5,2.12954581682837
0.51,2.1465223777707867
0.52,2.162947252442863
0.53,2.178836354849948
0.54,2.1942051419955098
0.55,2.2090686327586035
0.56,2.2234414255881587
0.57,2.2373377151104497
0.58,2.2507713077368354
0.59,2.2637556363505946
0.6,2.2763037741443224
0.61,2.288428447672792
0.62,2.3001420491803
0.63,2.3114566482562613
0.64,2.3223840028680787
0.65,2.33293556981608
0.66,2.3431225146514807
0.67,2.35295572109488
0.68,2.362445799989689
0.69,2.3716030978220637
0.7,2.3804377048363636
0.71,2.3889594627728443
0.72,2.397177972252182
0.73,2.4051025998295206
0.74,2.412742484738985
0.75,2.420106545348015
0.76,2.4272034853394238
0.77,2.4340417996377646
0.78,2.44062978009536
0.79,2.4469755209522575
0.8,2.4530869240833373
0.81,2.4589717040448704
0.82,2.4646373929319645
0.83,2.4700913450575417
0.84,2.4753407414627615
0.85,2.480392594268136
0.86,2.485253750873956
0.87,2.489930898018079
0.88,2.494430565698604
0.89,2.4987591309684536
0.9,2.502922821608452
0.91,2.5069277196850437
0.92,2.5107797649984267
0.93,2.514484758426496
0.94,2.518048365169671
0.95,2.521476117901354
0.96,2.5247734198284877
0.97,2.5279455476663975
0.98,2.530997654531857
0.99,2.5339347727580823
1.0,2.5367618166351344
1.01,2.5394835850790036
1.02,2.542104764232464
1.03,2.544629930000603
1.04,2.5470635505237547
1.05,2.549409988590427
1.06,2.5516735039926455
1.07,2.553858255826009
1.08,2.5559683047366253
1.09,2.5580076151169635
1.1,2.5599800572525515
1.11,2.561889409421342
1.12,2.563739359947465
1.13,2.5655335092109937
1.14,2.5672753716152537
1.15,2.5689683775131384
1.16,2.5706158750937926
1.17,2.5722211322309696
1.18,2.5737873382942906
1.19,2.5753176059245657
1.2,2.57681497277428
1.21,2.5782824032142866
1.22,2.579722790007692
1.23,2.581138955951868
1.24,2.582533655489479
1.25,2.5839095762893565
1.26,2.585269340798023
1.27,2.5866155077626125
1.28,2.5879505737259043
1.29,2.589276974494147
1.3,2.5905970865783123
1.31,2.5919132286093887
1.32,2.593227662728292
1.33,2.59454259595094
1.34,2.5958601815090065
1.35,2.5971825201668564
1.36,2.598511661515115
1.37,2.599849605241328
1.38,2.6011983023781258
1.39,2.602559656529287
1.4,2.603935525074088
1.41,2.60532772035029
1.42,2.606738010816105
1.43,2.608168122191462
1.44,2.6096197385788815
1.45,2.611094503564243
1.46,2.6125940212977192
1.47,2.614119857555137
1.48,2.61567354078001
1.49,2.617256563106467
1.5,2.6188703813633043
1.51,2.6205164180593536
1.52,2.622196062350368
1.53,2.6239106709876014
1.54,2.6256615692482494
1.55,2.6274500518479122
1.56,2.6292773838352237
1.57,2.631144801468782
1.58,2.6330535130765074
1.59,2.635004699897543
1.6,2.6369995169067995
1.61,2.63903909362224
1.62,2.641124534894989
1.63,2.6432569216823394
1.64,2.645437311803716
1.65,2.647666740679659
1.66,2.6499462220538597
1.67,2.652276748698288
1.68,2.65465929310143
1.69,2.657094808139653
1.7,2.6595842277316892
1.71,2.6621284674762395
1.72,2.6647284252726653
1.73,2.667384981924741
1.74,2.670099001727424
1.75,2.672871333036579
1.76,2.675702808821593
1.77,2.678594247200795
1.78,2.6815464519595866
1.79,2.684560213051175
1.8,2.68763630707978
1.81,2.690775497766184
1.82,2.6939785363954654
1.83,2.6972461622467483
1.84,2.700579103004785
1.85,2.703978075153165
1.86,2.707443784348932
1.87,2.7109769257783722
1.88,2.714578184493712
1.89,2.718248235730452
1.9,2.721987745205041
1.91,2.725797369392563
1.92,2.729677755784103
1.93,2.7336295431234308
1.94,2.7376533616226033
1.95,2.7417498331560837
1.96,2.745919571432934
1.97,2.750163182146617
1.98,2.7544812631019138
1.99,2.7588744043184388
2.0,2.763343188110196
2.01,2.767888189140599
2.02,2.772509974452334
2.03,2.7772091034714292
2.04,2.7819861279848372
2.05,2.786841592090817
2.06,2.7917760321213656
2.07,2.7967899765358992
2.08,2.8018839457853586
2.09,2.807058452145861
2.1,2.812313999520987
2.11,2.8176510832117456
2.12,2.8230701896532087
2.13,2.8285717961167727
2.14,2.8341563703769506
2.15,2.839824370341544
2.16,2.845576243644007
2.17,2.851412427196754
2.18,2.857333346704106
2.19,2.8633394161335346
2.2,2.869431037143785
2.21,2.875608598468417
2.22,2.8818724752532456
2.23,2.8882230283460926
2.24,2.894660603537219
2.25,2.9011855307487284
2.26,2.9077981231711854
2.27,2.9144986763456213
2.28,2.9212874671890456
2.29,2.9281647529615076
2.3,2.9351307701727025
2.31,2.9421857334260433
2.32,2.949329834198062
2.33,2.956563239550939
2.34,2.9638860907759046
2.35,2.97129850196518
2.36,2.978800558510094
2.37,2.9863923155229233
2.38,2.994073796179975
2.39,3.001844989983363
2.4,3.00970585093889
2.41,3.017656295647397
2.42,3.025696201306905
2.43,3.03382540362284
2.44,3.0420436946235956
2.45,3.050350820378682
2.46,3.0587464786166723
2.47,3.0672303162401726
2.48,3.075801926735037
2.49,3.084460847471057
2.5,3.093206556891392
2.51,3.1020384715880427
2.52,3.1109559432607177
2.53,3.1199582555565235
2.54,3.129044620787987
2.55,3.1382141765270304
2.56,3.1474659820726467
2.57,3.156799014790171
2.58,3.1662121663202254
2.59,3.175704238655606
2.6,3.1852739400846297
2.61,3.1949198809997044
2.62,3.204640569570198
2.63,3.214434407279007
2.64,3.2242996843226064
2.65,3.234234574874771
2.66,3.244237132214632
2.67,3.254305283720227
2.68,3.264436825729273
2.69,3.274629418269508
2.7,3.2848805796616083
2.71,3.295187680998436
2.72,3.3055479405051567
2.73,3.315958417785638
2.74,3.3264160079614755
2.75,3.3369174357109954
2.76,3.3474592492166635
2.77,3.3580378140305087
2.78,3.3686493068683947
2.79,3.3792897093453105
2.8,3.3899548016652608
2.81,3.400640156280834
2.82,3.411341131539118
2.83,3.422052865332294
2.84,3.4327702687730204
2.85,3.443488019916537
2.86,3.454200557553381
2.87,3.4649020750985846
2.88,3.4755865146053395
2.89,3.48624756093324
2.9,3.4968786361034625
2.91,3.5074728938754878
2.92,3.518023214582309
2.93,3.5285222002633994
2.94,3.5389621701370904
2.95,3.5493351564563738
2.96,3.5596329007944862
2.97,3.5698468508089527
2.98,3.579968157535003
2.99,3.589987673261447
3.0,3.5998959500441288
3.01,3.609683238913986
3.02,3.619339489838442
3.03,3.628854352496377
3.04,3.6382171779281443
3.05,3.647417021123057
3.06,3.6564426446073695
3.07,3.6652825230959967
3.08,3.6739248492709997
3.09,3.6823575407491766
3.1,3.6905682482998743
3.11,3.69854436537234
3.12,3.7062730389895187
3.13,3.7137411820621113
3.14,3.720935487172912
3.15,3.727842441876897
3.16,3.7344483455572
3.17,3.740739327870964
3.18,3.746701368812071
3.19,3.752320320409909
3.2,3.757581930074643
3.21,3.7624718655899074
3.22,3.766975741743448
3.23,3.771079148575069
3.24,3.774767681209278
3.25,3.778026971227386
3.26,3.7808427195205523
3.27,3.7832007305514557
3.28,3.785086947938061
3.29,3.786487491258428
