time,value_M
0.0,400.0
0.01,400.0
0.02,400.05028100768766
0.03,400.3755820183387
0.04,400.96692864059565
0.05,401.8110224977689
0.06,402.89494441820625
0.07,404.20687178560206
0.08,405.73613649111763
0.09,407.4731374503297
0.1,409.409225725835
0.11,411.5365936859258
0.12,413.84817616958514
0.13,416.33756461302715
0.14,418.99893301521917
0.15,421.8269741398059
0.16,424.81684439183147
0.17,427.96411600050106
0.18,431.2647353554303
0.19,434.7149865410477
0.2,438.31145928116746
0.21,442.05102064354855
0.22,445.9307899663349
0.23,449.9481165590769
0.24,454.10055980466285
0.25,458.38587134836393
0.26,462.80197910910164
0.27,467.34697288819115
0.28,472.019091383938
0.29,476.81671044794564
0.3,481.7383324419059
0.31,486.7825765728526
0.32,491.9481701010347
0.33,497.2339403282597
0.34,502.6388072861915
0.35,508.1617770540261
0.36,513.8019356434814
0.37,519.558443396365
0.38,525.430529846309
0.39,531.4174890017463
0.4,537.518675011962
0.41,543.7334981822153
0.42,550.0614213075538
0.43,556.5019562981355
0.44,563.0546610716684
0.45,569.719136691052
0.46,576.4950247274825
0.47,583.3820048312181
0.48,590.3797924939124
0.49,597.4881369879504
0.5,604.706819469576
0.51,612.035651233817
0.52,619.4744721102927
0.53,627.0231489899621
0.54,634.6815744737427
0.55,642.4496656347104
0.56,650.3273628862985
0.57,658.3146289495447
0.58,666.4114479130141
0.59,674.6178243795373
0.6,682.9337826943802
0.61,691.3593662498778
0.62,699.8946368619595
0.63,708.5396742143367
0.64,717.2945753664477
0.65,726.1594543215425
0.66,735.1344416515573
0.67,744.2196841756696
0.68,753.4153446896477
0.69,762.7216017433094
0.7,772.1386494635941
0.71,781.6666974209189
0.72,791.3059705366519
0.73,801.0567090296754
0.74,810.9191684001495
0.75,820.8936194487072
0.76,830.9803483294272
0.77,841.1796566350364
0.78,851.4918615128921
0.79,861.917295810385
0.8,872.4563082484885
0.81,883.1092636222616
0.82,893.876543027182
0.83,904.7585441102623
0.84,915.7556813449588
0.85,926.8683863289538
0.86,938.09710810394
0.87,949.442313496599
0.88,960.904487480011
0.89,972.484133554786
0.9,984.1817741492528
0.91,995.9979510380848
0.92,1007.9332257787871
0.93,1019.9881801655079
0.94,1032.1634166996773
0.95,1044.4595590770164
0.96,1056.8772526904906
0.97,1069.417165148825
0.98,1082.0799868102226
0.99,1094.8664313309723
1.0,1107.7772362286537
1.01,1120.813163459687
1.02,1133.9750000110014
1.03,1147.2635585056262
1.04,1160.679677822043
1.05,1174.2242237271605
1.06,1187.8980895228058
1.07,1201.7021967056537
1.08,1215.6374956405439
1.09,1229.7049662471618
1.1,1243.905618700089
1.11,1258.240494142254
1.12,1272.7106654118415
1.13,1287.3172377827484
1.14,1302.0613497186955
1.15,1316.9441736411356
1.16,1331.9669167111242
1.17,1347.1308216253422
1.18,1362.4371674264917
1.19,1377.8872703283084
1.2,1393.4824845554629
1.21,1409.2242031986475
1.22,1425.1138590851751
1.23,1441.1529256654392
1.24,1457.3429179156149
1.25,1473.6853932570057
1.26,1490.181952492467
1.27,1506.8342407603666
1.28,1523.6439485065696
1.29,1540.6128124749594
1.3,1557.7426167170406
1.31,1575.0351936211916
1.32,1592.492424962167
1.33,1610.1162429714755
1.34,1627.9086314292915
1.35,1645.8716267785858
1.36,1664.007319262189
1.37,1682.3178540835354
1.38,1700.805432591862
1.39,1719.4723134926683
1.4,1738.3208140842785
1.41,1757.353311521372
1.42,1776.5722441063872
1.43,1795.9801126097332
1.44,1815.579481619778
1.45,1835.372980923617
1.46,1855.3633069196562
1.47,1875.5532240630891
1.48,1895.9455663453698
1.49,1916.5432388088325
1.5,1937.3492190976392
1.51,1958.3665590462786
1.52,1979.5983863068757
1.53,2001.0479060166153
1.54,2022.7184025066206
1.55,2044.6132410536698
1.56,2066.735869676182
1.57,2089.08982097594
1.58,2111.6787140270644
1.59,2134.5062563138113
1.6,2157.5762457187893
1.61,2180.892572563266
1.62,2204.4592217012655
1.63,2228.2802746692178
1.64,2252.3599118929737
1.65,2276.7024149540466
1.66,2301.312168917003
1.67,2326.1936647199805
1.68,2351.351501630365
1.69,2376.7903897677256
1.7,2402.5151526961577
1.71,2428.5307300882578
1.72,2454.842180463011
1.73,2481.45468399994
1.74,2508.3735454319317
1.75,2535.604197019233
1.76,2563.1522016071685
1.77,2591.0232557702125
1.78,2619.2231930451276
1.79,2647.7579872559477
1.8,2676.633755933672
1.81,2705.8567638336126
1.82,2735.4334265534253
1.83,2765.370314254935
1.84,2795.6741554929536
1.85,2826.351841154384
1.86,2857.4104285109856
1.87,2888.857145389275
1.88,2920.6993944611368
1.89,2952.9447576588013
1.9,2985.6010007179634
1.91,3018.676077852902
1.92,3052.1781365675756
1.93,3086.1155226067676
1.94,3120.4967850514613
1.95,3155.3306815627393
1.96,3190.6261837786055
1.97,3226.3924828682475
1.98,3262.638995248359
1.99,3299.3753684662743
2.0,3336.611487254761
2.01,3374.3574797634556
2.02,3412.6237239720285
2.03,3451.4208542902898
2.04,3490.7597683505687
2.05,3530.6516339978116
2.06,3571.1078964829653
2.07,3612.1402858653328
2.08,3653.760824629702
2.09,3695.981835524162
2.1,3738.815949624646
2.11,3782.2761146323314
2.12,3826.375603410162
2.13,3871.1280227648367
2.14,3916.547322480731
2.15,3962.6478046123
2.16,4009.4441330416093
2.17,4056.9513433077204
2.18,4105.184852714739
2.19,4154.160470725392
2.2,4203.894409647076
2.21,4254.403295617344
2.22,4305.704179895855
2.23,4357.8145504698205
2.24,4410.752343979988
2.25,4464.535957974211
2.26,4519.184263495595
2.27,4574.716618012192
2.28,4631.152878695133
2.29,4688.513416051979
2.3,4746.819127921983
2.31,4806.091453839764
2.32,4866.352389773747
2.33,4927.624503245471
2.34,4989.930948835635
2.35,5053.295484082433
2.36,5117.742485777406
2.37,5183.296966663609
2.38,5249.984592540487
2.39,5317.83169977931
2.4,5386.865313252461
2.41,5457.113164679253
2.42,5528.603711390191
2.43,5601.366155510874
2.44,5675.430463565788
2.45,5750.82738650133
2.46,5827.588480126299
2.47,5905.746125966954
2.48,5985.333552532427
2.49,6066.384856984888
2.5,6148.935027207336
2.51,6233.0199642601965
2.52,6318.676505216094
2.53,6405.942446360205
2.54,6494.856566741433
2.55,6585.458652057321
2.56,6677.789518853133
2.57,6771.891039012779
2.58,6867.806164516372
2.59,6965.578952436011
2.6,7065.254590138038
2.61,7166.8794206563325
2.62,7270.500968197321
2.63,7376.167963733193
2.64,7483.930370635334
2.65,7593.839410295196
2.66,7705.947587674723
2.67,7820.308716723026
2.68,7936.9779455901935
2.69,8056.011781562984
2.7,8177.468115640629
2.71,8301.406246662065
2.72,8427.8869048886
2.73,8556.972274938298
2.74,8688.726017960245
2.75,8823.213292928302
2.76,8960.5007769249
2.77,9100.656684276104
2.78,9243.750784389182
2.79,9389.854418133707
2.8,9539.04051259642
2.81,9691.383594028925
2.82,9846.959798795733
2.83,10005.846882118165
2.84,10168.124224397274
2.85,10333.872834886268
2.86,10503.17535246988
2.87,10676.116043294855
2.88,10852.78079498221
2.89,11033.257107138244
2.9,11217.63407786748
2.91,11406.002385976943
2.92,11598.454268547384
2.93,11795.0834935335
2.94,11995.985327041846
2.95,12201.256494922181
2.96,12410.995138295584
2.97,12625.300762630883
2.98,12844.27417997001
2.99,13068.01744389297
3.0,13296.633776804329
3.01,13530.227489115843
3.02,13768.903889894054
3.03,14012.769188537837
3.04,14261.930387049106
3.05,14516.495162460438
3.06,14776.571738986639
3.07,15042.268749473333
3.08,15313.695085725076
3.09,15590.959737308263
3.1,15874.171618440829
3.11,16163.439382601433
3.12,16458.871224516082
3.13,16760.57466920999
3.14,17068.656347847384
3.15,17383.22176012216
3.16,17704.37502300789
3.17,18032.21860572722
3.18,18366.853050857884
3.19,18708.376681556165
3.2,19056.885294948042
3.21,19412.471841814226
3.22,19775.22609277728
3.23,20145.23429128725
3.24,20522.57879379629
3.25,20907.337697612922
3.26,21299.584457031673
3.27,21699.387488444412
3.28,22106.809765254486
3.29,22521.90840353357
3.3,22944.73423948304
3.31,23375.331399885985
3.32,23813.736866861636
3.33,24259.9800383601
3.34,24714.08228596053
3.35,25176.056511659295
3.36,25645.90670545477
3.37,26123.627505650777
3.38,26609.203763910144
3.39,27102.6101171917
3.4,27603.8105687968
3.41,28112.75808083388
3.42,28629.394180479743
3.43,29153.648582473357
3.44,29685.43883031983
3.45,30224.669958708462
3.46,30771.234179657473
3.47,31325.01059488846
3.48,31885.864936905156
3.49,32453.649341202425
3.5,33028.20215196266
3.51,33609.34776350731
3.52,34196.89649966102
3.53,34790.64453305525
3.54,35390.373846247305
3.55,35995.852236360595
3.56,36606.83336476284
3.57,37223.0568530927
3.58,37844.24842672276
3.59,38470.120106509654
3.6,39100.37044943194
3.61,39734.684838455534
3.62,40372.73582169608
3.63,41014.18350067095
3.64,41658.675967151925
3.65,42305.84978784554
3.66,42955.3305358444
