D=0.0 (mm/w),D=0.1 (mm/w),D=0.2 (mm/w),D=0.3 (mm/w),D=0.4 (mm/w),D=0.5 (mm/w),D=0.6 (mm/w),D=0.7 (mm/w),D=0.8 (mm/w),D=0.9 (mm/w),D=1.0 (mm/w)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01639792,0.01639792,0.01639792,0.01639792,0.01639792,0.01639792,0.01639792,0.01639792,0.01639792,0.01639792,0.01639792
0.1062856850832263,0.1062856850832263,0.1062856850832263,0.1062856850832263,0.1062856850832263,0.1062856850832263,0.1062856850832263,0.1062856850832263,0.1062856850832263,0.1062856850832263,0.10628568508322632
0.1942396818360826,0.1942396818360826,0.1942396818360826,0.1942396818360826,0.1942396818360826,0.1942396818360826,0.1942396818360826,0.1942396818360826,0.1942396818360826,0.1942396818360826,0.19423968183608267
0.2786435128878679,0.2786435129194233,0.2786435129509789,0.2786435129825343,0.2786435130140898,0.2786435130456453,0.2786435130772008,0.2786435131087563,0.2786435131403117,0.2786435131718672,0.27864351320342273
0.3594227866418487,0.3594227870531741,0.3594227874643185,0.3594227878752818,0.3594227882860641,0.3594227886966653,0.3594227891070854,0.3594227895173245,0.3594227899273825,0.3594227903372594,0.35942279074695527
0.4367617535388419,0.4367617555178229,0.4367617574944408,0.4367617594686975,0.4367617614405953,0.4367617634101362,0.4367617653773223,0.4367617673421556,0.4367617693046385,0.4367617712647728,0.4367617732225607
0.5108872546505371,0.5108872609055308,0.5108872671480184,0.5108872733780281,0.5108872795955883,0.5108872858007275,0.5108872919934738,0.5108872981738554,0.5108873043419008,0.5108873104976379,0.5108873166410949
0.5820182140382077,0.5820182295715287,0.5820182450610601,0.5820182605069666,0.5820182759094116,0.5820182912685589,0.5820183065845712,0.5820183218576107,0.58201833708784,0.5820183522754201,0.5820183674205119
0.6503536988642915,0.6503537317871498,0.6503537645900973,0.650353797273766,0.6503538298387843,0.6503538622857788,0.6503538946153721,0.6503539268281836,0.650353958924831,0.6503539909059279,0.650354022772085
0.7160716511107604,0.7160717134594397,0.7160717755297846,0.7160718373236878,0.7160718988430286,0.7160719600896744,0.7160720210654796,0.716072081772286,0.7160721422119236,0.7160722023862096,0.7160722622969485
0.7793306447180629,0.7793307532397828,0.7793308611882198,0.7793309685681495,0.7793310753843061,0.7793311816413836,0.7793312873440346,0.7793313924968714,0.7793314971044671,0.7793316011713546,0.7793317047020266
0.8402723181401951,0.8402724950239588,0.8402726708293932,0.8402728455671304,0.8402730192476899,0.8402731918814806,0.8402733634788002,0.8402735340498376,0.8402737036046738,0.8402738721532824,0.8402740397055307
0.8990237383853464,0.8990240119185426,0.8990242835632694,0.8990245533410255,0.8990248212730404,0.8990250873802788,0.8990253516834413,0.8990256142029697,0.8990258749590492,0.8990261339716114,0.8990263912603368
0.95569948334553,0.9556998884814724,0.9557002904958072,0.9557006894288091,0.9557010853201704,0.9557014782090104,0.955701868133881,0.9557022551327772,0.9557026392431442,0.9557030205018836,0.9557033989453629
1.0104034101813877,1.010403989006547,1.0104045629123135,1.0104051319695817,1.0104056962480836,1.0104062558164102,1.0104068107420272,1.0104073610912936,1.0104079069294811,1.010408448320791,1.0104089853283684
1.063230136577814,1.0632309386704184,1.0632317333156414,1.0632325206319808,1.063233300735763,1.0632340737411858,1.063234839760356,1.063235598903326,1.063236351278135,1.0632370969908436,1.0632378361455694
1.114266276885047,1.114267359559106,1.114268431338672,1.1142694924133207,1.1142705429687898,1.114271583187063,1.1142726132464444,1.1142736333216328,1.1142746435837974,1.1142756442006492,1.1142766353365126
1.1635914748551075,1.163592903285889,1.1635943162448987,1.1635957140242343,1.163597096909526,1.1635984651800848,1.1635998191090453,1.1636011589635027,1.1636024850046531,1.1636037974879248,1.1636050966631093
1.211279269490423,1.2112811167190145,1.211282942537162,1.211284747380476,1.2112865316740962,1.2112882958329514,1.2112900402620133,1.211291765356539,1.2112934715023165,1.2112951590758954,1.2112968284448191
1.2573978244041335,1.2574001712200504,1.257402489076685,1.2574047786053224,1.2574070404208817,1.2574092751223571,1.2574114832932466,1.2574136655019656,1.257415822302256,1.2574179542335786,1.2574200618214986
1.3020105454433633,1.302013480145258,1.3020163764658546,1.3020192352970763,1.3020220575060517,1.3020248439358328,1.3020275954060958,1.3020303127138153,1.3020329966339257,1.3020356479199593,1.3020382673046675
1.3451766065422577,1.3451802245776836,1.345183792663324,1.345187312031094,1.3451907838763646,1.3451942093591045,1.34519758960498,1.3452009257064197,1.345204218723651,1.3452074696857006,1.3452106795913648
1.386951399869718,1.3869558033556275,1.3869601428978084,1.3869644201633813,1.3869686367669316,1.3869727942722587,1.3869768941940612,1.3869809379995637,1.386984927110097,1.3869888629026177,1.3869927467111818
1.4273869232101342,1.4273922203363978,1.4273974368200426,1.4274025748757757,1.4274076366444512,1.4274126241956826,1.4274175395303557,1.42742238458305,1.4274271612243814,1.4274318712632528,1.4274365164490306
