D=0.0 (mm^2/w),D=0.1 (mm^2/w),D=0.2 (mm^2/w),D=0.3 (mm^2/w),D=0.4 (mm^2/w),D=0.5 (mm^2/w),D=0.6 (mm^2/w),D=0.7 (mm^2/w),D=0.8 (mm^2/w),D=0.9 (mm^2/w),D=1.0 (mm^2/w)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352
0.0158906267172885,0.0158885006351321,0.0158863745529758,0.0158842484708194,0.0158821223886631,0.0158799963065067,0.0158778702243504,0.015875744142194,0.0158736180600377,0.0158714919778813,0.015869365895725
0.0409660956095222,0.0409480977090454,0.0409301083128973,0.0409121274210778,0.0408941550335869,0.0408761911504247,0.040858235771591,0.040840288897086,0.0408223505269096,0.0408044206610619,0.04078649929954282
0.0768398388800774,0.076781022452609,0.0767222864088184,0.0766636306721666,0.0766050551661146,0.0765465598141235,0.0764881445396543,0.0764298092661681,0.0763715539171259,0.0763133784159888,0.07625528268621784
0.1230123152556489,0.1228771047879084,0.1227422089583301,0.122607626968191,0.1224733580197884,0.1223394013164405,0.1222057560624858,0.1220724214632834,0.1219393967252127,0.121806681055674,0.12167427366308786
0.1790276493566915,0.1787703711665541,0.1785139446850033,0.1782583662943421,0.1780036323885248,0.1777497393731387,0.1774966836653875,0.1772444616940735,0.1769930698995804,0.1767425047338561,0.17649276266039474
0.2444764185870979,0.2440417637756096,0.243608980060888,0.2431780562156435,0.2427489810722587,0.2423217435225732,0.2418963325176691,0.2414727370676565,0.2410509462414599,0.240630949166604,0.24021273502900065
0.3189922800292594,0.3183157008278598,0.3176427110005277,0.3169732826471069,0.3163073880757436,0.3156449998016623,0.3149860905459445,0.3143306332343146,0.3136786009959281,0.313029967162166,0.3123847052654334
0.4022474045744506,0.4012554506765325,0.4002697553305742,0.3992902587324504,0.3983169016547262,0.3973496254419171,0.396388372005777,0.3954330838206169,0.394483703918653,0.3935401758853833,0.39260244385499415
0.4939480451960044,0.4925586472929597,0.4911794141603113,0.4898102304950875,0.4884509823586808,0.4871015571623992,0.4857618436531418,0.4844317318992003,0.4831111132761858,0.4817998804530771,0.4804979273783936
0.5938305796843619,0.5919532868331883,0.5900916212427056,0.588245377667694,0.5864143537423501,0.5845983499429269,0.58279716955079,0.5810106186158903,0.5792385059206485,0.5774806429442455,0.5757368438273174
0.7016580725712296,0.6991942491751144,0.6967534233237107,0.6943352517729866,0.6919393968491717,0.6895655263631594,0.68721331352608,0.6848824368660377,0.6825725801459935,0.6802834322827802,0.678014687267239
0.8172173129072882,0.8140603002704957,0.8109359464714606,0.8078437055594313,0.8047830416445001,0.8017534287189052,0.7987543504812286,0.7957853001634574,0.7928457803608627,0.789935302864654,0.7870533884973736
