D=0.0 (mm^2/w),D=0.1 (mm^2/w),D=0.2 (mm^2/w),D=0.3 (mm^2/w),D=0.4 (mm^2/w),D=0.5 (mm^2/w),D=0.6 (mm^2/w),D=0.7 (mm^2/w),D=0.8 (mm^2/w),D=0.9 (mm^2/w),D=1.0 (mm^2/w)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.00024202490346496002
0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.001810464720812858
0.0046753366161602,0.0046753365846047,0.0046753365530492,0.0046753365214937,0.0046753364899382,0.0046753364583827,0.0046753364268273,0.0046753363952718,0.0046753363637163,0.0046753363321608,0.004675336300605364
0.0087830543195054,0.0087830539052055,0.0087830534910867,0.0087830530771489,0.0087830526633922,0.0087830522498166,0.0087830518364221,0.0087830514232086,0.0087830510101762,0.0087830505973249,0.008783050184654705
0.0140791841581263,0.0140791821345048,0.0140791801132696,0.0140791780944184,0.0140791760779493,0.01407917406386,0.0140791720521484,0.0140791700428126,0.0140791680358503,0.0140791660312595,0.01407916402903814
0.020512234943244,0.0205122284361594,0.0205122219419283,0.020512215460522,0.0205122089919118,0.020512202536069,0.020512196092965,0.0205121896625712,0.0205121832448591,0.0205121768398001,0.020512170447365766
0.0280342593054778,0.0280342428466425,0.028034226433733,0.0280342100665798,0.0280341937450138,0.0280341774688664,0.0280341612379695,0.0280341450521555,0.0280341289112572,0.028034112815108,0.028034096763541745
0.0366007129237339,0.0366006773627423,0.0366006419302716,0.0366006066256551,0.0366005714482291,0.0366005363973335,0.0366005014723109,0.0366004666725071,0.0366004319972711,0.0366003974459549,0.036600363017913654
0.0461701409632003,0.0461700722640859,0.0461700038701708,0.0461699357794103,0.0461698679897735,0.0461698004992427,0.0461697333058133,0.0461696664074942,0.0461695998023075,0.0461695334882882,0.046169467463484506
0.0567038487793578,0.0567037267221054,0.0567036053085621,0.0567034845334371,0.0567033643914838,0.0567032448775008,0.0567031259863304,0.056703007712859,0.0567028900520163,0.0567027729987755,0.056702656548152416
0.0681656010545298,0.0681653978576919,0.0681651959017667,0.0681649951746621,0.0681647956644109,0.0681645973591708,0.0681644002472224,0.0681642043169683,0.0681640095569321,0.0681638159557571,0.0681636235022049
0.0805213589129128,0.0805210377901076,0.0805207188963299,0.0805204022064537,0.0805200876956619,0.0805197753394429,0.0805194651135867,0.080519156994182,0.0805188509576121,0.0805185469805519,0.08051824503996415
