D=0.0 (mm^2/w),D=0.1 (mm^2/w),D=0.2 (mm^2/w),D=0.3 (mm^2/w),D=0.4 (mm^2/w)
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0009680996138598,0.0009680996138598,0.0009680996138598,0.0009680996138598,0.0009680996138598401
0.007194638278492,0.007194638278492,0.007194638278492,0.007194638278492,0.007194638278492029
0.0182407029281014,0.0182407019541857,0.01824070098027,0.0182407000063542,0.018240699032438565
0.0337023307117581,0.0337023182982375,0.0337023058956315,0.0337022935039401,0.03370228112316338
0.0532301734083834,0.0532301146888123,0.0532300561092759,0.0532299976695259,0.0532299393693141
0.0765198474027572,0.0765196640313473,0.0765194813928079,0.0765192994838297,0.0765191183011117
0.1033027973477132,0.1033023456362035,0.1033018964740266,0.1033014498421707,0.10330100572173462
0.1333394228846516,0.1333384700207661,0.1333375241185327,0.1333365851050814,0.13333565290823426
0.1664139945569479,0.1664121934426736,0.1664104084953528,0.1664086394966747,0.1664068862312238
0.202330834714231,0.2023276977491193,0.2023245941947143,0.2023215234980814,0.20231848511572026
0.2409113875655829,0.2409062595592828,0.2409011947722423,0.2408961919654922,0.24089124992592675
0.2819919244889453,0.2819839547929096,0.2819760967377643,0.281968347795439,0.2819607055002786
0.3254217128390415,0.3254098267241663,0.3253981271048397,0.3253866091904334,0.3253752683268418
0.3710615300673036,0.3710443993321019,0.3710275662307975,0.3710110222136326,0.3709947590069952
0.4187824401248904,0.41875845289102,0.418734922863664,0.4187118355226483,0.418689176871825
0.4684647725984066,0.4684320022324557,0.4683999118107493,0.4683684776811085,0.46833767713435
0.5199972610299894,0.5199534341192683,0.5199105906593027,0.5198686934690752,0.5198277069900533
0.5732763080047903,0.5732187713083078,0.5731626231201931,0.5731078067585698,0.5730542682279256
0.628205352483494,0.6281310387757711,0.6280586444662816,0.6279880854241857,0.6279192818209242
0.6846943205579596,0.6845997132817576,0.6845077102414795,0.6844181894650033,0.6843310356728523
0.7426591449925396,0.7425402416361552,0.7424248136032633,0.7423126877019216,0.7422037008876399
0.802021342031857,0.8018736161468105,0.8017304597808317,0.8015916315345061,0.801456905047522
0.8627076363116746,0.8625259980869598,0.8623502884873053,0.8621801765978486,0.8620153533431666
0.9246496265118264,0.924428381821126,0.9242147369265128,0.9240082449619912,0.9238084902007586
0.9877834857850216,0.9875162936231912,0.9872587374291276,0.987010221910417,0.9867701954447263
1.052049692086225,1.05172952031078,1.0514214448429229,1.051124682423729,1.0508385101240312
1.117392784388824,1.1170118636809985,1.1166459896623302,1.1162941433545797,1.1159553879894486
1.1837611414602518,1.1833109174183964,1.1828792535677264,1.1824648379646587,1.1820664692935237
1.2511067804212606,1.2505778636968208,1.2500716645951049,1.2495865100442378,1.2491208741340982
1.3193851727595682,1.3187672871426426,1.3181770096019716,1.3176122252794298,1.3170710130064784
1.3885550758327214,1.3878370041901946,1.3871522620580667,1.3864981978945516,1.3858724125910735
1.4585783781939368,1.4577479061584158,1.4569574234870528,1.456203630894014,1.4554835550999252
1.529419957321616,1.5284638146238676,1.5275553771308914,1.5266905684732448,1.5258657297502092
1.601047548538456,1.5999513478697347,1.5989117526124872,1.5979237593715452,1.596982895135782
