D=0.5 (mm^2/w),D=0.6 (mm^2/w),D=0.7 (mm^2/w),D=0.8 (mm^2/w),D=0.9 (mm^2/w)
0.0,0.0,0.0,0.0,0.0
0.03279584,0.03279584,0.03279584,0.03279584,0.03279584
0.2110053673686567,0.2110053673686567,0.2110053673686567,0.2110053673686567,0.21100536736865672
0.3746834413927463,0.3746834413927463,0.3746834413927463,0.3746834413927463,0.37468344139274634
0.5248828140228582,0.5248828149967739,0.5248828159706898,0.5248828169446054,0.5248828179185212
0.6633517322990384,0.663351744472954,0.6633517566359552,0.6633517687880416,0.6633517809292135
0.7915345030315718,0.7915345583696467,0.7915346135717406,0.7915346686381012,0.7915347235689774
0.9105828079691504,0.9105829731267544,0.9105831376089228,0.9105833014188438,0.9105834645596987
1.0214280879196485,1.0214284754841625,1.0214288608346824,1.021429243988461,1.021429624962645
1.124839143280889,1.1248399200913235,1.124840691229598,1.1248414567574765,1.1248422167361025
1.2214628173738955,1.2214642093207275,1.2214655889529336,1.2214669564424414,1.2214683119587681
1.311852515229229,1.3118548083241035,1.311857077703071,1.3118593237690024,1.3118615469175121
1.3964885153138271,1.3964920530655218,1.3964955491301003,1.3964990043394128,1.3965024195070246
1.4757927432580746,1.475797920545278,1.475803029662851,1.4758080721687266,1.4758130495804769
1.5501397461693205,1.5501469998933424,1.5501541485152013,1.5501611947336025,1.5501681411668782
1.6198650059087567,1.6198748027604672,1.619884445344396,1.6198939380442654,1.6199032850965067
1.6852713494715732,1.6852841711702014,1.6852967757417363,1.6853091699308098,1.6853213602301311
1.7466339716830046,1.7466502980491103,1.7466663297719598,1.7466820767535824,1.7466975484897485
1.80420442754178,1.80422471775906,1.8042446208724976,1.8042641508313648,1.8042833209625315
1.8582138468978333,1.858238519302833,1.85826269776398,1.858286401214761,1.8583096476777519
1.9088755534047488,1.908904964123068,1.9089337612678376,1.9089619696732352,1.908989612894807
1.956387220940921,1.956421641665289,1.9564553191755307,1.95648828501145,1.9565205689869707
2.000932666501356,2.000972261682411,2.001010978119823,2.0010488546364025,2.0010859278118533
2.04268335417822,2.042728157874042,2.04277194701476,2.0428147679138418,2.042856664077893
2.0817996671909675,2.0818495597970537,2.0818983089749703,2.0819459681977954,2.081992587563334
2.1184319919585857,2.1184866770164,2.118540105658753,2.118592337452529,2.1186434280816884
2.152721648557061,2.152780629816933,2.152838268332632,2.152894627741312,2.152949767444873
2.1848016946383555,2.184864253531404,2.184925422691116,2.184985266594317,2.1850438454152923
2.214797624353379,2.214862798007417,2.2149265889346395,2.2149890577390754,2.215050261111312
2.242827979563763,2.242894539479844,2.2429597943539785,2.243023794424049,2.243086587079641
2.269004887319906,2.269071318809212,2.2691366123650387,2.269200799263176,2.269263909947277
2.293434534990705,2.293499017455879,2.2935626393486674,2.2936254019416165,2.293687308979706
2.3162175923820456,2.3162779805127087,2.3163379186044497,2.316397364078706,2.3164562818293515
2.3374495885498336,2.337503394488891,2.3375573190986625,2.33761125891669,2.337665125132249
2.35722124970484,2.357265626230125,2.357310875380335,2.357356812198847,2.3574032763071755
2.3756188035498016,2.3756505283046154,2.3756840939847,2.375719209547047,2.375755621859054
2.392724254530284,2.392739715326348,2.392758230786332,2.3927793747928567,2.392802776633493
2.408615633778441,2.408610814985636,2.408610543063736,2.408614223016658,2.4086213377706174
2.423367226951274,2.423337696980207,2.4233145194612447,2.4232968914742075,2.423284116532062
2.437049782687453,2.4369906825633447,2.4369400905581333,2.436896951114841,2.436860350700525
2.4497307040100464,2.4496367370295427,2.4495538223594595,2.449480601000836,2.4494158998571955
2.461474224671134,2.4613396471274664,2.4612190946931647,2.461110847608038,2.461013425513566
2.472341572156454,2.472160185112732,2.47199626622124,2.4718476707117447,2.471712557798471
2.482391118834047,2.4821562609194427,2.4819428275397453,2.4817481773292545,2.481570050169144
2.491678522532829,2.491383063731873,2.491113543645428,2.4908667449939603,2.490639923418878
2.500256857668762,2.4998931940699403,2.4995605868793653,2.499255155468936,2.4989736000873677
2.5081767378928466,2.507736787359121,2.507333661315537,2.506962719865812,2.5066200302379538
2.5154864311124023,2.514961629833127,2.5144801194402526,2.5140363960131364,2.51362580944471
2.5222319676316904,2.521613267512676,2.5210450718637687,2.5205208988141194,2.520035289728258
2.5284572420670988,2.52773510891324,2.527071490715321,2.526458804243847,2.525890684089658
2.5342041096136074,2.533368522056523,2.5326003072949765,2.531890647558523,2.5312321652144028
2.539512477171189,2.5385529262927244,2.5376705044883314,2.5368550162221477,2.5360979588516077
2.544420389780614,2.5433258793817792,2.542319204391514,2.5413886379977293,2.540524432315361
2.5489641127665545,2.5477231602305435,2.546581751542968,2.545526464599358,2.5445461785046146
