D=1.0 (mm^2/w),D=1.5 (mm^2/w),D=2.0 (mm^2/w)
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.000004140714109,4.000004140714109,4.000004140714109
4.000058337509683,4.000058222575644,4.000058107641605
4.000246840281468,4.000245298984866,4.000243766405675
4.000677527039029,4.0006702829202,4.00066315495079
4.001471946484695,4.001449723389151,4.00142809198661
4.002758484547936,4.002704950304882,4.002653389691364
4.004667608955947,4.00455743473721,4.004452396578768
4.00732854140032,4.007125648930009,4.006934086396382
4.010866935768906,4.01052296463889,4.010201193514453
4.01540327872484,4.014856281767756,4.014349066543459
4.021051815891628,4.020225176100184,4.019465019238157
4.027919864019398,4.026721418303397,4.0256280272356335
4.036107408231086,4.034428759101234,4.032908665342942
4.045706910382906,4.04342290497594,4.041369211390041
4.056803273702634,4.053771629457377,4.051063864227977
4.0694739226875605,4.065534979817429,4.062039038502556
4.083788967367188,4.078765549638874,4.074333709449185
4.099811428539238,4.093508795491154,4.087979788506898
4.117597506203794,4.109803381648819,4.103002515961081
4.137196877658639,4.127681541005558,4.119420860724536
4.158653014938805,4.14716944347084,4.137247920190652
4.18200351374356,4.16828756547434,4.156491315144999
4.207280427882005,4.191051055952309,4.177153576217478
4.234510604722576,4.215470095500383,4.199232519449187
4.263716018254363,4.241550246359301,4.222721609345984
4.294914097236413,4.269292791635349,4.247610308373368
4.328118046583028,4.298695062706609,4.273884412272136
4.363337160652911,4.329750754174938,4.301526370883031
4.400577127511608,4.362450226026026,4.330515594391832
4.439840323546252,4.396780792881821,4.360828745066636
4.481126098049321,4.432727000390599,4.3924400146728315
4.524431047569678,4.4702708889149205,4.425321387830879
4.569749279966927,4.509392244758005,4.459442891636441
4.617072668208635,4.5500688392232815,4.494772831898516
4.666391094026853,4.592276655836841,4.531278016373877
4.7176926816065485,4.635990106083061,4.568923965389223
4.770964021518791,4.681182234013908,4.607675110248577
4.826190385139388,4.727824910095149,4.647494979824884
4.883355929812282,4.775889014650264,4.6883463757327855
4.942443895028483,4.825344611256884,4.730191536475462
5.003436789897644,4.876161110442467,4.772992290952963
5.066316572191867,4.92830742401649,4.816710201713169
5.131064819241164,4.981752110366503,4.861306698319901
5.197662890958044,5.036463511035409,4.906743201205993
5.26609208526558,5.092409878887616,4.952981236372487
