D=1.0 (mm/w),D=1.5 (mm/w),D=2.0 (mm/w)
0.0,0.0,0.0
0.03279584,0.03279584,0.03279584
0.2110053673686567,0.2110053673686567,0.21100536736865672
0.3746834413927463,0.3746834413927463,0.37468344139274634
0.5248828188924369,0.5248828237620156,0.5248828286315942
0.6633517930594708,0.6633518535470383,0.663351913761741
0.7915347783646169,0.7915350503229585,0.791535318937632
0.91058362703466,0.9105844295315638,0.9105852158525252
1.0214300037742758,1.0214318659832151,1.0214336766243102
1.1248429712260029,1.1248466634204466,1.1248502271288052
1.2214696556690434,1.2214762028156598,1.2214824785560363
1.3118637475370678,1.311874425810983,1.3118845952177305
1.396505795428585,1.396522112984808,1.396537559057662
1.4758179633763124,1.4758416272204833,1.4758639014196755
1.550174990355338,1.5502078613581085,1.5502386412616398
1.6199124905952214,1.6199565287097122,1.6199975682592118
1.685333352890089,1.6853905545383596,1.6854436286959777
1.7467127540872225,1.7467850835288403,1.746851928940474
1.804302143999588,1.8043914603144944,1.8044737133493753
1.858332454311124,1.858440435439636,1.8585395687661999
1.9090167132801423,1.909144778377004,1.9092620370461677
1.956552199292684,1.9567014304765664,1.9568377683179858
2.001122232125183,2.001293296543573,2.0014493135377394
2.0428976763960174,2.0430907493795982,2.0432666305470177
2.082038214034827,2.0822529039855806,2.082448360231496
2.118693429638463,2.118928705181154,2.119142916447863
2.153003742941993,2.153257862768541,2.1534894237749276
2.185101215375631,2.185371661124816,2.1856185299120625
2.21511025215384,2.2153936645935053,2.215653114045126
2.243148217093983,2.2434403358081227,2.2437089082697286
2.269325974062953,2.269621580790405,2.269895045878607
2.2937483663659144,2.2940412320898087,2.2943145477490923
2.3165146433501973,2.316797479196601,2.317064756036945
2.3377188418727064,2.337983253842218,2.3382377227678153
2.357450128976707,2.357686576503179,2.3579205596232167
2.3757931110725345,2.3759908693779264,2.3761957541734446
2.392828114062779,2.3929752402556983,2.3931414569616902
2.408631438154628,2.408714741001896,2.408831743150635
2.423275590528544,2.4232806038135983,2.4233368518735086
2.436829498558605,2.4367404579273653,2.436723405961315
2.449358705886364,2.449158529069984,2.449054614327561
2.460925553321759,2.460595823616192,2.460390458966183
2.471589346269416,2.4711102991436795,2.470787868245548
2.481406510147009,2.4807570228452733,2.4803008779518163
2.490430735066501,2.489588319063468,2.488980781341017
2.49871311088289,2.4976539070472423,2.496876269294679
2.506302253573501,2.505001029890386,2.5040335615338782
2.5132444237898355,2.5116745754903054,2.5104965297269746
2.5195836383201646,2.517717190263153,2.516306813223869
2.525361775111711,2.5231693862624325,2.5215039280615543
2.5306186724241218,2.5280696422716837,2.526125369809834
2.5353922226191834,2.532454499375663,2.530206710760484
2.539718461033748,2.5363586514569705,2.5337816919062957
2.543631650332393,2.5398150310151264,2.536882310107043
2.547164360692312,2.5428548906615625,2.5395389007964506
2.550347546134452,2.5455078806059364,2.5417802165467114
2.553210617281151,2.547802122415886,2.5436335017743223
2.5557815107909323,2.549764279303125,2.545124563842279
2.558086755695044,2.5514196231631243,2.5462778407884645
2.560151536837367,2.552792098573045,2.547116465887916
2.561999755599063,2.5539043839326867,2.5476623292371503
2.563654088071434,2.5547779499156524,2.547936136531525
2.5651360408246133,2.5554331153824275,2.5479574651914416
2.5664660044057075,2.555889100893334,2.5477448179797504
2.567663304687552,2.556164079947189,2.547315674240854
2.56874625217824,2.5562752280607124,2.5466865388814397
2.569732189391776,2.55623876979419,2.545872989203434
2.570637536371532,2.5560700238204275,2.544889719691437
2.571477834450448,2.555783446126469,2.5437505848495
2.572267788325048,2.555392671430909,2.5424686401754912
2.573021306514261,2.554910552893616,2.541056181355408
2.5737515402685767,2.554349200189415,2.5395247817547073
2.57447092099026,2.5537200160125435,2.5378853282790024
2.575191196221022,2.5530337310744526,2.536148055672217
2.575923464249737,2.552300437653793,2.5343225793164774
2.57667820738936,2.5515296217540167,2.53241792659456
2.577465323969172,2.5507301939210434,2.5304425668725945
2.5782941590857344,2.549910518770685,2.5284044401578956
2.579173534153531,2.5490784432731317,2.5263109844842084
2.5801117752940668,2.54824132383956,2.524169162074306
2.581116740600243,2.5474060522539808,2.521985484327714
2.582195846311069,2.5465790804915907,2.5197660356793548
2.583356091930151,2.5457664444633004,2.5175164963730676
2.584604084319966,2.544973786724577,2.515242164192257
2.585946060802582,2.5442063781853794,2.5129479751883403
2.58738791129627,2.543469138856681,2.510638523446177
2.58893519951632,2.5427666576679187,2.508318079924272
2.590593183267304,2.542103211388579,2.5059906104062266
2.5923668338530463,2.541482782686137,2.5036597925986657
2.594260854629594,2.5409090773515657,2.5013290324096853
2.5962796987255747,2.5403855407227343,2.4990014794407265
2.598427585953449,2.539915373335132,2.496680041723702
2.6007085189342884,2.539501545828514,2.494367399734155
2.6031262984578603,2.5391468131372688,2.4920660197102302
2.605684538098944,2.5388537279915124,2.4897781663062477
2.608386678109949,2.5386246537551784,2.4875059146087533
2.6112359986090365,2.538461776626611,2.4852511615419792
2.614235632082069,2.538367117226473,2.4830156366887746
2.6173885752158053,2.538342541597051,2.480800912552192
2.620697700078832,2.5383897716363646,2.4786084142820726
2.6241657646657752,2.538510394989785,2.476439428890147
2.6277954228193403,2.5387058744212063,2.4742951139763636
2.6315892335436915,2.538977556685146,2.4721765059883674
2.635549669721644,2.5393266809204778,2.470084528035283
2.639679126246998,2.53975438658587,2.468019997276206
2.6439799275822167,2.5402617209563374,2.4659836319030677
2.648454334750411,2.540849646199694,2.4639760577368186
2.653104551769357,2.541519046051045,2.46199781445518
2.6579327315339363,2.542270732102848,2.4600493614695194
2.662940981152013,2.543105449727443,2.4581310834677423
2.668131366737322,2.544023883648345,2.4562432956394327
2.673505917661425,2.545026663175989,2.4543862485988455
2.679066630265211,2.546114367123021,2.452560133020725
2.684815471028764,2.547287528413632,2.450765084003328
2.6907543791967035,2.548546638400862,2.449001185172427
2.69688526885426,2.549892150905231,2.4472684725395175
2.703210030447485,2.5513244859874664,2.4455669381268765
2.7097305317389946,2.552844033467572,2.4438965333715954
2.7164486181885894,2.554451156201916,2.442257172320174
2.7233661127459063,2.5561461931294893,2.4406487346247676
2.730484815040028,2.557929462097954,2.4390710683516765
2.7378064999485945,2.55980126247958,2.437523992612195
2.745332915526515,2.5617618775866737,2.4360073000254823
2.7530657802718186,2.5638115768955863,2.4345207590226625
2.76100677970352,2.565950618087914,2.4330641160009425
2.769157562223612,2.568179248917021,2.4316370973361163
2.7775197342324374,2.570497708907538,2.4302394112614256
2.7860948544637263,2.572906230895052,2.428870749620364
2.794884427502529,2.575405042412723,2.427530789500645
2.8038898964461345,2.5779943669311542,2.42621919475619
2.813112634664822,2.58067442495739,2.4249356174236607
2.8225539366160297,2.5834454349985068,2.423679699039725
2.8322150076621337,2.586307614394844,2.422451071864936
2.8420969528386704,2.589261180027523,2.4212493600197953
2.8522007645164096,2.592306348904504,2.4200741805382937
2.862527308897296,2.595443338629048,2.418925144343933
2.87307731128091,2.598672367754068,2.4178018571529765
2.883851340034816,2.60199365602549,2.416703920309419
2.89484978919902,2.605407424517377,2.4156309315559286
2.906072859651744,2.608913895661205,2.414582485744777
2.917520538761013,2.6125132931713595,2.41355817549256
2.929192578444084,2.616205841868534,2.4125575917822935
2.9410884715547088,2.6199917674024253,2.4115803245162772
2.953207426516657,2.6238712958747503,2.4106259630229254
2.96554834012098,2.6278446533633075,2.4096940965205764
2.9781097684042326,2.6319120653474783,2.40878431454113
2.990889895525509,2.636073756035256,2.407896207316193
3.0038865005618,2.6403299475915745,2.4070293661282567
3.017096922144012,2.644680859267411,2.4061833836292803
3.0305180208602844,2.649126706428838,2.405357854128924
3.044146139359076,2.653667699484896,2.404552373854527
3.0579770600922886,2.6583040427128863,2.4037665411848157
3.072005960648588,2.6630359329793887,2.4029999568591913
3.0862273666394064,2.667863558355012,2.40225222416435
3.1006351021152248,2.672787096620648,2.401522949099868
3.115222237507913,2.677806713662689,2.4008117405242873
3.129981035116568,2.6829225617544328,2.400118210283149
3.1449028921797617,2.688134777720617,2.3994419733203154
3.159978281606884,2.6934434809817893,2.3987826477738525
3.1751966904755955,2.6988487714749536,2.398139855057656
3.190546556441864,2.704350727446716,2.397513219929924
3.2060152022539303,2.709949403114894,2.3969023705495225
3.221588768612244,2.715644826194352,2.3963069385211986
3.237252145674298,2.721436995282603,2.3957265589305625
3.2529889035666586,2.727325877100517,2.3951608703696716
3.268781222336452,2.73331140358328,2.3946095149540096
3.284609821851488,2.739393468816588,2.394072138331599
3.300453892241731,2.745571925812893,2.393548389684929
3.3162910255651195,2.751846583122369,2.393037921726339
3.3320971494771903,2.758217201273169,2.392540390687458
3.347846463786082,2.7646834890354186,2.3920554563032423
3.3635113808813624,2.771245099503359,2.3915827817911413
3.3790624711355,2.777901625989962,2.391122033825856
3.394468414489128,2.7846525977283827,2.390672882510148
3.409695959543485,2.791497475374596,2.3902350013420994
3.424709891593119,2.798435646305666,2.3898080671792186
3.439473011136089,2.80546641970819,2.3893917601997354
3.4539461244941023,2.8125890214516214,2.3889857638614242
3.4680880482571346,2.819802588741401,2.3885897648582537
3.4818556293316822,2.827106164547096,2.3882034530751453
3.4952037824137605,2.8344986918010835,2.3878265215411028
3.5080855467217065,2.8419790073637503,2.3874586663809514
3.5204521638039266,2.8495458357516443,2.387099586765909
3.532253178177033,2.857197782625625,2.3867489848631895
3.5434365624443345,2.86493332803672,2.386406565784836
3.553948868387663,2.8727508194281755,2.3860720375359445
3.5637354053118586,2.880648464393077,2.385745110962448
3.5727404466464407,2.8886243231879374,2.3854254996985986
3.580907465470076,2.896676301003769,2.3851129201142856
3.58817939921875,2.9048021399974537,2.3848070912623114
3.594498943368709,2.9129994110876383,2.384507734825738
3.599808873353156,2.9212655055209678,2.3842145750654016
3.604052393383211,2.92959762621623,2.3839273387676942
3.6071735102076623,2.9379927788959144,2.3836457551926937
3.609117429174754,2.946447763016784,2.3833695560227204
3.609830969268351,2.954959162513423,2.3830984753113884
3.6092629930990334,2.963523336371192,2.3828322494332164
3.607364847159831,2.9721364090478035,2.382570617033854
3.604090807030484,2.9807942607656672,2.382313318980975
3.599398521658859,2.989492517700343,2.3820600983158817
3.59324945038964,2.998226542093881,2.381810700205866
3.58560928607379,3.0069914223254663,2.3815648718973574
3.576448357400805,3.015781962975691,2.381322362669895
3.565742003568709,3.0245926749249112,2.38108292379095
3.553470914558476,3.0334177655305177,2.3808463084716247
3.539621430617947,3.042251128932514,2.3806122718232485
3.524185795085628,3.051086336541636,2.380380570814892
3.507162355389323,3.0599166277692214,2.3801509642318117
3.488555707922119,3.068734901063217,2.379923212634843
3.4683767835046138,3.0775337053200573,2.379697078320749
3.446642871256176,3.0863052317475863,2.37947232528354
3.4233775798824047,3.095041306259711,2.3792487191767595
3.398610736600088,3.103733382489076,2.3790260272767596
3.3723782251225067,3.112372535509555,2.3788040184469526
3.344721765275525,3.120949456365871,2.3785824631030517
3.315688637870264,3.1294544475129324,2.3783611331792986
3.2853313593885534,3.1378774192726246,2.3781398020956774
3.253707311816855,3.146207887420541,2.3779182447261165
3.2208783335755737,3.154434972019547,2.377696237367672
3.186910277924641,3.162547397620915,2.377473557710692
3.151872545482782,3.170533494957047,2.37724998480996
3.1158375975844934,3.1783812042522475,2.3770252990568084
3.078880457129554,3.186078080279664,2.3767992821521977
3.041078203373856,3.1936112992931083,2.3765717170807594
3.00250946678965,3.2009676679619083,2.3763423880857926
2.963253929711432,3.208133634435111,2.376111080645205
2.9233918380039343,3.215095301658056,2.3758775814483983
2.8830035284627265,3.2218384430594686,2.375641678374083
2.842168976105002,3.2283485207206173,2.3754031604690162
2.800967364944412,3.234610706129608,2.375161817927659
2.7594766852822143,3.240609903613465,2.374917442072735
2.7177733599975213,3.2463307765280995,2.374669825336692
2.6759319017890206,3.2517577762715684,2.374418761244047
2.6340246028143883,3.2568751741691018,2.3741640443946133
2.592121257694771,3.261667096259147,2.373905470447596
2.550288920402493,3.266117560988219,2.373642836106545
2.508591695131934,3.2702105197986326,2.3733759391051596
2.4670905608674887,3.2739299005673352,2.373104578193931
2.4258432290096685,3.277259653826186,2.3728285531276136
2.3849040331016864,3.280183801664312,2.372547664653515
2.344323849415318,3.2826864891818466,2.3722617145005933
2.304150046907281,3.284752038331717,2.371970505369354
2.2644264648465806,3.286365003952534,2.3716738409225298
2.225193416239576,3.2875102317614457,2.3713715257765386
2.186487715043067,3.2881729180415165,2.3710633654937086
2.1483427250557936,3.288338670724253,2.3707491665752527
2.110788428314525,3.2879935715349142,2.37042873645499
2.0738515107907345,3.287124238836732,2.370101883493798
2.0375554631855106,3.285717890780793,2.3697684169747872
2.001920694651425,3.2837624083416883,2.3694281470991823
1.9669646573273447,3.281246397795712,2.3690808849829055
1.9327019796525715,3.2781592521790843,2.368726442653846
1.899144606526538,3.2744912112488413,2.3683646330498043
1.866301944496188,3.270233419459307,2.3679952700171025
1.834181010281413,3.265377981462873,2.367618168309847
1.802786581086231,3.259918014645541,2.3672331435898326
1.7721213452863644,3.253847698215647,2.366840012427075
1.7421860522296526,3.247162318378571,2.3664385923009656
1.7129796600315104,3.239858309151134,2.3660287016020267
1.6844994803911129,3.2319332883966903,2.3656101596342656
1.656741319593099,3.223386088695514,2.3651827866181083
1.629699614992674,3.214216782704601,2.364746403693907
1.6033675664077405,3.2044267027060056,2.3643008329260016
1.577737261959044,3.1940184540927428,2.363845897307331
1.552799798007651,3.182995922595416,2.363381420764576
1.528545392937878,3.171364275110268,2.3629072281638255
1.5049634946229151,3.159129954049437,2.36242314531675
1.482042881489833,3.146300665195896,2.3619289989872736
1.4597717571706188,3.1328853591078327,2.3614246168987285
1.438137838786686,3.1188942061791782,2.3609098277414824
1.4171284389663887,3.1043385655235065,2.360384461181023
