D=1.0 (mm^2/w),D=1.5 (mm^2/w),D=2.0 (mm^2/w)
400.0,400.0,400.0
400.0,400.0,400.0
400.2011240307508,400.2011240307508,400.20112403075075
401.4886232161375,401.48661197582993,401.4846007355224
403.74201230866896,403.72529560373016,403.7086593484037
406.85839399531073,406.805715947822,406.7537727322325
410.7540262182867,410.6372176083436,410.52312183697285
415.360337978935,415.14555920672206,414.9376931045685
420.6205753053876,420.26925660519225,419.932247167659
426.4872895373804,425.9568460934562,425.452309762438
432.9204608724856,432.1648390793776,431.45192716201313
439.88607523059727,438.8561710372152,437.8919682624515
447.3550264913436,445.9990059877896,444.7388201855493
455.30225646456057,453.5658011965876,451.9633719171528
463.70607191490825,461.5325658682924,459.54021249644666
472.5475958131759,469.8782669511038,467.4469916195501
481.810321971121,478.5843481977761,475.6639049694261
491.4797504246191,487.6343375918592,484.1732765534544
501.5430866687925,497.0135245352516,492.9592173436579
511.9889919403529,506.7086926890988,502.007344538817
522.8073747118184,516.7078976306241,511.30454942611374
533.9892157520655,527.0002809046073,520.8388045230121
545.5264207458272,537.5759138578868,530.5990027034902
557.4116957060481,548.4256660174786,540.5748225451489
569.6384413644766,559.5410938249513,550.7566153064921
582.2006634627685,570.9143463543247,561.1353098497503
595.0928964424685,582.5380852772365,571.7023325306816
608.310138486444,594.4054168404667,582.4495396313332
621.8477962252502,606.5098340187827,593.369160350471
635.7016377107191,618.845167323977,604.4537487157993
649.8677524917049,631.4055430066134,615.6961430621577
664.3425178154628,644.1853475937831,627.0894319456854
679.1225701318011,657.1791978743664,638.6269255470327
694.2047812030787,670.3819155808256,650.3021317659764
709.5862382268289,683.7885061295785,662.1087363321384
725.2642274636362,697.3941408753321,674.0405863573052
741.2362209342791,711.1941424122047,686.0916768383194
757.499865809796,725.1839725190223,698.2561396889987
774.0529761681969,739.3592224002582,710.5282349376768
790.8935268337634,753.7156049195892,722.9023437758568
808.0196490506478,768.2489485615356,735.3729631848239
825.4296277729399,782.9551928893602,747.9347019022092
843.1219003794262,797.8303852953414,760.5822775205525
861.095056643677,812.8706788635362,773.3105145357349
879.3478398094746,828.072331185864,786.1143431854805
897.8791486384448,843.4317039903314,798.9887989375236
916.688040311486,858.9452634559277,811.9290225039944
935.7737340785536,874.6095811025124,824.9302602734671
955.1356155628256,890.4213351562005,837.9878650652627
974.7732416354894,906.3773123015748,851.0972971222626
994.6863457865444,922.474409741715,864.2541252688812
1014.8748439252596,938.709637495714,877.4540281701411
1035.3388405514045,955.0801208711752,890.6927956361384
1056.0786352451953,971.583103056282,903.9663299236973
1077.0947294301477,988.2159477824788,917.27064699379
1098.3878333687865,1004.976142014698,930.6018776894238
1119.9588733564976,1021.861298631462,943.9562688042424
1141.808999083763,1038.8691590621356,957.330184017106
1163.939591141636,1055.9975958531547,970.7201046724562
1186.3522686496458,1073.244615139251,984.1226303903825
1209.0488969893722,1090.6083589995333,997.5344794940165
1232.0315956307484,1108.0871076818455,1010.9524892452198
1255.302746041742,1125.679281682074,1024.3736158825386
1278.8649996754564,1143.3834436680745,1037.7949344580834
1302.721286031891,1161.198300240637,1051.213638472386
1326.8748207946276,1179.1227035264071,1064.6270393084096
1351.329114045571,1197.1556525999756,1078.0325654677515
1376.087978563576,1215.2962947344154,1091.4277616137124
1401.155538215356,1233.5439264814215,1104.8102874273097
1426.5362364495,1251.89799458389,1118.1779162835214
1452.2348449067097,1270.358096725269,1131.5285337560558
1478.256472161563,1288.9239821213578,1144.8601359597833
1504.6065726131594,1307.5955519613806,1158.1708277406374
1531.2909555439771,1326.3728597061904,1171.4588207233196
1558.3157943681258,1345.2561112523222,1184.7224312275282
1585.68763609196,1364.2456649713538,1197.960078063694
1613.4134110117077,1383.342031634642,1211.1702802193563
1641.50044267439,1402.54587423399,1224.3516544473564
1669.956458129867,1421.8580077091926,1237.5029127669864
1698.7895985033329,1441.27939859368,1250.6228598890975
1728.0084299190437,1460.811164589676,1263.7103905759818
1757.6219548074698,1480.454574084392,1276.7644869465744
1787.6396236294347,1500.2110456188052,1289.7842157372122
1818.071347052169,1520.0821473205372,1302.7687255278236
1848.927508613545,1540.0695963122373,1315.7172439430224
1880.218977912096,1560.175258106737,1328.6290748371523
1911.957124361756,1580.4011460000263,1341.5035954718692
1944.153831551625,1600.7494204728714,1354.340253694376
1976.8215122524207,1621.2223886116117,1367.1385651239368
2009.97312411268,1641.8225035583712,1379.8981103538001
2043.62218608921,1662.552364000592,1392.6185321751605
2077.782795657795,1683.414713709452,1405.29953282929
2112.4696468516395,1704.412441136367,1417.9408712934699
2147.6980491766867,1725.548579076415,1430.5423606058687
2183.483947454563,1746.8263044071398,1443.1038652340283
2219.843942645652,1768.248937910824,1455.6252984911555
2256.795313706604,1789.819944187944,1468.1066200039609
2294.356040538483,1811.5429316691548,1480.5478332353475
2332.5448280837463,1833.4216527327908,1492.9489830648367
2371.381131632312,1855.4600039345207,1505.3101534292095
2410.885183399171,1877.662026355453,1517.6314650254635
2451.078020438275,1900.0319060746688,1529.9130730778224
2491.9815139597995,1922.573974771847,1542.1551651701884
2533.6184001204065,1945.292710465344,1554.3579591451112
2576.0123123587045,1968.192738390844,1566.521701070041
2619.187815350827,1991.2788320253928,1578.6466632713555
2663.1704406638546,2014.5559142614284,1590.7331424363858
2707.9867241877337,2038.029058735188,1602.7814577834315
2753.664245429349,2061.703491313654,1614.791949299525
2800.231668755525,2085.584591744049,1626.7649760455117
2847.718786674911,2109.677895469703,1638.7009145278225
2896.156565251992,2133.989095615977,1650.6001571361473
2945.577191749765,2158.524045149817,1662.463110646074
2996.0141246010257,2183.28875921638,1674.290194785618
3047.502145811579,2208.2894176561,1686.0818408644527
3100.077415902112,2233.5323677054903,1697.8384904645432
3153.777531498832,2259.024126884909,1709.5605941908004
3208.6415856863064,2284.7713860764834,1721.2486104802913
3264.7102312391585,2310.7810127953558,1732.9030044684766
3322.025746852387,2337.0600546574065,1744.5242469108973
3380.6321064929766,2363.615743046606,1756.1128131586793
3440.5750519981425,2390.4554969851483,1767.6691821862023
3501.902169047911,2417.586927209564,1779.193835669247
3564.6629666417225,2445.0178404560165,1790.6872571119202
3628.908960210257,2472.7562439580483,1802.1499310206518
3694.693758494612,2500.8103501600654,1813.5823421235507
3762.0731543252464,2529.188581649929,1824.984974633416
3831.105219432564,2557.899576314064,1836.3583115527065
3901.8504034195057,2586.952192718556,1847.7028340187906
3974.371637023957,2616.355515719791,1859.0190206878146
4048.7344397948655,2646.118862308221,1870.3073471555556
4125.007032300599,2676.2517876889497,1881.5682854136473
4203.260452980973,2706.7640916028545,1892.8023033396069
4283.568679745282,2737.665824892042,1904.0098642191133
4366.008756407327,2768.9672963134813,1915.1914262990333
4450.660924034488,2800.679079604703,1926.3474423697226
4537.6087572710085,2832.8120208054947,1937.4783593751717
4626.939305675413,2865.3772458395456,1948.584618049609
4718.74324008801,2898.386168360006,1959.6666525792077
4813.115004016119,2931.850497862933,1970.7248902875979
4910.152969991637,2965.782248072555,1981.7597513439143
5009.959600817061,3000.1937456022733,1992.7716484921666
5112.641615571628,3035.097638895244,2003.7609868007514
5218.310160198018,3070.5069074482803,2014.7281634309788
5327.080982431327,3106.4348713227323,2025.6735674235213
5439.074610764999,3142.8952009458185,2036.597579501739
5554.4165370721175,3179.9019272057226,2047.5005718908808
5673.237402414015,3217.4694518435326,2058.3829081521967
5795.673185470459,3255.612558144835,2069.2449430310407
5921.865392915705,3294.346421933465,2080.0870223180864
6051.9612509411945,3333.6866228695453,2090.9094827228123
6186.113896987578,3373.6491560535114,2101.7126517584556
6324.482570594597,3414.250443937357,2112.49684763767
6467.232802106032,3455.5073485437506,2123.262379178158
6614.536597777061,3497.4371839930545,2134.0095457175903
6766.572619621595,3540.0577293375777,2144.7386370371464
