H_i=0.0,H_i=10.0,H_i=50.0,H_i=100.0,H_i=1000.0
400.0,400.0,400.0,400.0,400.0
400.0,400.0,400.0,400.0,400.0
400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766
400.3758334233771,400.3758334233771,400.3758334233771,400.3758334233771,400.3758334233771
400.9690551091783,400.9690574870555,400.9690669985646,400.9690788879509,400.9692928969037
401.81796092044846,401.8179833914224,401.81807327531794,401.81818563018646,401.82020801766026
402.9108682908739,402.9109561983837,402.91130783068354,402.9117473761461,402.9196601611382
404.2371201191028,404.2373579551639,404.2383093253679,404.2394985965327,404.2609165753623
405.7871512750346,405.78767353641337,405.78976271563096,405.792374490487,405.8394436017403
407.55240945452334,407.5534109586324,407.5574174446552,407.5624266087911,407.65279238908676
409.5252477789673,409.5269935523697,409.53397795475786,409.542711402731,409.70047345907847
411.6988205062112,411.70165534336377,411.7129978108532,411.7271829137152,411.9838502046172
414.0669899033127,414.0713476788087,414.0887854143488,414.1105975127508,414.5060583352683
416.62424534529407,416.63065815042097,416.6563223100398,416.688431632557,417.27195163910244
419.3656336218562,419.3747407857806,419.4111930162758,419.45681137305655,420.2880726868668
422.2866989411403,422.2992559882344,422.3495248244293,422.4124523857252,423.56264692825914
425.383431146812,425.40031873427006,425.4679360481431,425.5526084842773,427.10559895399535
428.65222084516927,428.6744537188814,428.7634913892688,428.8750276218746,430.92859016221604
432.08982034462935,432.1185563460768,432.2336632980232,432.3779140908508,435.0450775544493
435.6933094984038,435.72985865094125,435.8762983974296,436.0598959978021,439.47039386127545
439.4600657012951,439.5058994004544,439.6895882056289,439.919997234015,444.2218496585656
443.3877374234018,443.4444977526747,443.67204352431605,443.9576132988968,449.3188585904077
447.4742207706856,447.54372996152574,447.8224719710755,448.1724904461651,454.7830872771232
451.717638649098,451.8019087015549,452.1399582221152,452.5647077134556,460.63863196993333
456.1163221792073,456.2175646575983,456.62384660380326,457.134661469804,466.91222453231785
460.66879406531547,460.7894300816146,461.2737257298764,461.8830521755546,473.633470897104
465.37375366958526,465.5164240657104,466.0894149289208,466.81087309841575,480.8351257841737
470.2300635798401,470.39763931871977,471.0709522458965,471.9194007698242,488.5534081844284
475.2367374911243,475.43233026529936,476.218583833788,477.2101869992328,496.8283629417282
480.3929292471474,480.61990231267816,481.5327545782631,482.68505229176486,505.704274719477
485.6979229094188,485.95990215201016,487.0140998205677,488.34608053797433,515.2301417499197
491.15112374002655,491.4520089795359,492.6634380626143,494.19561486405365,525.4602180646483
496.75204999928405,497.0960265381213,498.4817645539987,500.2362545474385,536.4546344331384
502.5003254723733,502.8918758927321,504.4702456740375,506.4708529168934,548.2801100389449
508.3956726500722,508.8395888644321,510.6302140332783,512.9025161682775,561.0107690566058
514.4379064980001,514.9393020569034,516.9631642286366,519.5346030376227,574.7290788241481
520.6269287568138,521.1912514175483,523.4707491946455,526.3707252822018,589.5269293186143
526.9627227226719,527.595767282158,530.1547771004712,533.4147489281488,605.5068772351259
533.4453484632138,534.153269858121,537.0172087485616,540.6707962501092,622.7835822653808
540.0749384294435,540.8642651063185,544.060155436177,548.1432484545021,641.4854683175813
546.8516934283698,547.7293409863618,551.2858772457532,555.8367490434,661.7566485980511
553.7758789251465,554.7491640337485,558.6967817341605,563.75620784088,683.7591609072621
560.8478216468545,561.9244762409496,566.2954229945217,571.9068056680679,707.6755684617666
568.0679064630507,569.2560922174486,574.0845010674426,580.293999657056,733.7119923724586
575.4365735208238,576.744896606403,582.0668616813134,588.9235291974954,762.101654998571
582.9543156144107,584.3918417379349,590.245496303836,597.8014225129941,793.1090292595237
590.6216757714598,592.1979455011186,598.6235424891566,606.9340038675435,827.0347082421866
598.4392450398354,600.1642894185679,607.2042845069655,616.3279014050894,864.22113285014
606.4076604604597,608.292016909146,615.9911542417079,625.9900556280875,905.0593437387083
614.5276032131073,616.5823317257733,624.9877323516547,635.9277285234781,949.9969585118795
622.799796923342,625.0364965565968,634.1977496790255,646.148513346996,999.5476175297871
631.2250061199125,633.6558317789418,643.625088903676,656.6603450791313,1054.302193405166
639.8040348329379,642.4417143564996,653.2737864340531,667.4715115683902,1114.9421224442328
648.5377253241221,651.3955768711382,663.1480345302178,678.5906653797916,1182.2552934432595
657.4269569410461,660.5189066815551,673.2521836547382,690.0268363687952,1257.1550234308074
666.4726450883229,669.8132452017478,683.5907450481834,701.7894450030957,1340.7027647721611
675.6757403090545,679.2801872929588,694.1683935268053,713.8883164569634,1434.1353277851936
685.037227470627,688.9213807633673,704.9899705007942,726.3336955050602,1538.897572562495
694.558125049413,698.7385259703595,716.060487212243,739.1362622449353,1656.6817285497493
704.2394845094364,708.7333755207159,727.3851281926519,752.3071486797136,1789.4747464898292
714.0823897704951,718.9077340645184,738.9692549404768,765.8579561948372,1939.6153804781914
724.0879567616317,729.263458179,750.818409819844,779.8007739651277,2109.863043138728
734.2573330562059,739.802456338945,762.938320182163,794.1481983308945,2303.4808771401317
744.5916975851505,750.5266889706008,775.3349027129418,808.913353184354,2524.335939647755
755.0922604252926,761.4381685863874,788.014268006663,824.109911410232,2777.0198925968684
765.7602626598922,772.5389599979849,800.9827253731222,839.7521174271203,3066.9941060481437
776.596976308804,783.8311806056574,814.2467878791497,855.8548108789475,3400.763565458241
787.6037043258904,795.3170007619235,827.8131776301526,872.4334515288178,3786.0843392081697
798.7817806615277,806.9986442079152,841.6888312964192,889.504145410466,4232.209463445794
810.1325703882371,818.8783885809913,855.8809058896225,907.083672295694,4750.17770084151
821.6574698876467,830.9585659923681,870.3967847954599,925.1895145393856,5353.1483607649625
833.3579070971556,843.24156367372,885.2440840688535,943.8398873670624,6056.782678316502
845.2353418148199,855.729824691883,900.4306589986298,963.0537706734324,6879.6673376295685
857.2912660611174,868.4258487309563,915.9646109490942,982.85094240403,7843.767478225077
869.5272044963788,881.3321929412542,931.854294486408,1003.2520135958132,8974.883482042293
881.9447148927891,894.4514728547086,948.108324798184,1024.2784651565337,10303.066244917472
894.545388659977,907.7863633664622,964.7355854152224,1045.9526864667594,11862.917672713686
907.330851423311,921.339599782523,981.745236244824,1068.298015892705,13693.665539305573
920.3027636541192,935.1139789334812,999.1467219256518,1091.3387833024071,15838.855106269202
933.4628213511426,949.1123603544054,1016.9497805146342,1115.1003546823815,18345.448451042546
946.8127567726108,963.3376675311572,1035.1644525169684,1139.6091789566344,21262.077817758047
960.354339218422,977.7928892134698,1053.801090270829,1164.892837114812,24636.184018583663
974.0893758619728,992.4810807952496,1072.870367698971,1190.9800937613747,28509.8213201032
988.0197126312672,1007.4053657626616,1092.3832904400003,1217.9009512029156,32914.07432365558
1002.1472351389996,1022.5689372106638,1112.3512063726996,1245.686706196182,37862.35585432595
1016.4738696613724,1037.9750594287584,1132.7858165474097,1274.370009484932,43343.348906888255
1031.0015841654813,1053.6270695568203,1153.6991865391187,1303.984928259498,49314.94609731921
1045.732389385153,1069.5283793119695,1175.1037582375704,1334.56701167882,55701.020355347944
1060.6683399451945,1085.6824767875432,1197.0123620903764,1366.153359600717,62392.901190551886
1075.8115355340583,1102.09292832532,1219.4382298158323,1398.7826946723285,69256.70928398224
1091.164122125002,1118.7633804622535,1242.395007602855,1432.4954379388764,76146.15917575068
1106.7282932458645,1135.6975619530506,1265.8967698162069,1467.3337881352484,82918.51743528387
1122.5062912976475,1152.8992858700408,1289.9580332259457,1503.3418048312597,89449.99493580294
1138.5004089221447,1170.3724517818737,1314.593771780835,1540.5654956078768,95646.81434727837
1154.712990418913,1188.1210480126745,1339.8194319462707,1579.0529074480587,101449.69828671817
1171.1464332119483,1206.1491539833933,1365.650948628132,1618.854222532216,106831.82371971545
1187.8031893664688,1224.4609426371735,1392.1047617048262,1660.0218586345102,111792.21411384373
1204.6857671562802,1243.0606829506762,1419.197833190717,1702.6105743222738,116347.30368532735
1221.7967326822454,1261.9527425333897,1446.9476650550416,1746.6775791666596,120523.00922072829
1239.138711542443,1281.1415903170646,1475.3723177213865,1792.2826491781354,124348.6443590128
1256.7143905546566,1300.631799337517,1504.4904292737713,1839.4882476855532,127853.02072740832
1274.526519531898,1320.4280496111548,1534.3212353964211,1888.359651882124,131062.43635325093
1292.577913111725,1340.5351311086922,1564.8845900753274,1938.9650852656107,133999.99331607565
1310.8714526401786,1360.957946828628,1596.2009870907973,1991.3758562032856,136685.6943322186
1329.410088111231,1381.70151597319,1628.2915823312724,2045.6665028545171,139136.89891937078
1348.1968401626896,1402.7709772295566,1661.17821695984,2101.9149446851115,141368.8730290502
1367.2348021295809,1424.1715921593022,1694.8834414660146,2160.202640807514,143395.291850541
1386.5271421561004,1445.9087486991325,1729.4305406365495,2220.614755379511,145228.6402576616
1406.0771053672804,1467.987964776108,1764.843559480256,2283.24033029085,146880.5037479078
1425.8880161016057,1490.4148920406997,1801.147330143035,2348.172465362044,148361.7653235974
1445.9632802058766,1513.1953197211412,1838.3674998505967,2415.508506272145,149682.7308233176
1466.306387393694,1536.3351786027094,1876.5305599176063,2485.3502404222395,150853.20431973293
1486.920913669021,1559.840545135694,1915.6638758633064,2557.8041009283647,151882.53112916087
1507.8105238163528,1583.7176456759858,1955.795718674984,2632.9813789211557,152779.62131698665
1528.978973959109,1607.9728608623604,1996.9552972619515,2710.9984443093003,153552.96249641172
1550.4301141879498,1632.6127301347096,2039.172792144083,2791.9769751393687,154210.62756816295
1572.1678912607993,1657.6439563976328,2082.4793904202484,2876.0441956551954,154760.28080950465
1594.1963513764545,1683.0734108339836,2126.90732206336,2963.333123125233,155209.18421998507
1616.519643023747,1708.9081378731448,2172.489897590051,3053.982823465438,155564.2050728907
1639.1420199083211,1735.1553603189934,2219.2615471543404,3148.1386756376723,155831.82503664802
1662.0678439591898,1761.8224846427136,2267.257861115925,3245.95264474856,156018.1508915131
1685.301588417332,1788.9171064458135,2316.5156321350096,3347.5835637103755,156128.9266839428
1708.8478410086984,1816.447016098915,2367.072898846813,3453.197423253118,156169.54707395393
1732.7113072041002,1844.4202045620889,2418.9689911700666,3562.96766999442,156145.07160076144
1756.8968135685657,1872.8448693927528,2472.244577304928,3677.0755121804896,156060.23959463486
1781.4093112028677,1901.72942094735,2526.941712476778,3795.710232605869,155919.4854831676
1806.253879280037,1931.0824887832923,2583.1038894833123,3919.0695081013146,155726.954268885
1831.435728679804,1960.912928267878,2640.776091103173,4047.3597348466287,155486.5169868899
1856.9602057240293,1991.22982740116,2700.0048444250783,4180.796358617548,155201.78598291168
1882.8327960163333,2022.04251386,2760.838277156972,4319.604208911876,154876.12988193467
1909.059128389224,2053.360562270815,2823.326175975091,4464.017835718747,154512.6881446484
1935.6449789622231,2085.193801718808,2887.520046973064,4614.281847495298,154114.38513291185
1962.5962753145795,2117.552323501752,2953.4731782710924,4770.651248695998,153683.94362620157
1989.9191007763231,2150.446489136716,3021.240704844999,4933.391774960724,153223.89774873943
2017.6196988415784,2183.886938628429,3090.879675634332,5102.7802238075055,152736.60528189727
2045.7044777081908,2217.884599008263,3162.4491229878045,5279.10477839428,152224.25934881996
2074.1800149478886,2252.450693153205,3236.0101345030785,5462.665321610564,151688.8994682899
2103.053062311378,2287.5967488944766,3311.625927316186,5653.773737434838,151132.4219829563
2132.3305506729225,2323.334608425838,3389.36192489374,5852.7541961468805,150556.58987344697
2162.0195951191467,2359.6764380219706,3469.285836378388,6059.943419617251,149963.04197481697
2192.1275001869867,2396.6347380776983,3551.467738534729,6275.690922509925,149353.30161549567
2222.6617652558907,2434.2223534791983,3635.980160338977,6500.35922483084,148728.7847015715
2253.630090099572,2472.452484318745,3722.8981702510905,6734.324030837513,148090.8072710806
2285.0403806028103,2511.33869696494,3812.2994662026567,6977.974368896745,147440.5925440929
2316.900754649019,2550.8949355007903,3904.264468327576,7231.712686443141,146779.27749495272
2349.2195481844783,2591.135533542444,3998.876414455369,7495.95489375676,146107.91897313838
2382.0053214653926,2632.075226451806,4096.221458378672,7771.130349850247,145427.49939895913
2415.2668654941167,2673.7291639567434,4196.38877089706,8057.681783342865,144738.9320597803
2449.013208651159,2716.112923193021,4299.470643628684,8356.0651408103,144043.06603173274
2483.253623529787,2759.2425221826024,4405.562595569143,8666.749354746222,143340.6907509721
2517.997633980324,2803.134433763437,4514.763482363473,8990.216022966939,142632.54025755287
2553.2550223714657,2847.805599986333,4627.175608241979,9326.95899104819,141919.297133911
2589.035837076221,2893.2734469950515,4742.904840553664,9677.483829218809,141201.59615883447
2625.350400190336,2939.555900406242,4862.060726812173,10042.307195066644,140480.0276966687
2662.209315491348,2986.6714012063976,4984.756614148224,10421.95607345592,139755.14084037277
2699.6234766467014,3034.638922183517,5111.10977103935,10816.966885230917,139027.4463259258
2737.604075679644,3083.477984911717,5241.241511162194,11227.884456608555,138297.41923449337
2776.162611701925,3133.2086773076003,5375.27731918446,11655.260841661046,137565.50149770992
2815.310899922639,3183.8516717777056,5513.346978282706,12099.653990978632,136832.10422041838
2855.061080942849,3235.428243976976,5655.584699138326,12561.62626049931,136097.609834241
2895.4256303459947,3287.960292198709,5802.129250127054,13041.742755612078,135362.37409443356
2936.41736859437,3341.470357417044,5953.1240883770215,13540.569506995813,134626.72793160338
2978.049471242357,3395.981644003596,6108.717491326542,14058.671476254418,133890.97916904927
