Hi,t_convergence (weeks)
0.0,74.65
45.0,48.050000000000004
90.0,41.650000000000006
135.0,32.25
180.0,30.0
225.0,28.1
270.0,25.3
315.0,23.700000000000003
360.0,21.55
405.0,19.35
450.0,18.75
495.0,18.150000000000002
540.0,17.650000000000002
585.0,17.150000000000002
630.0,16.8
675.0,16.5
720.0,16.2
765.0,15.950000000000001
810.0,15.700000000000001
855.0,15.450000000000001
900.0,15.25
945.0,15.05
990.0,14.850000000000001
1035.0,14.600000000000001
1080.0,14.4
1125.0,14.200000000000001
1170.0,13.850000000000001
1215.0,13.700000000000001
1260.0,13.600000000000001
1305.0,13.450000000000001
1350.0,13.3
1395.0,13.200000000000001
1440.0,13.100000000000001
1485.0,13.05
1530.0,12.950000000000001
1575.0,12.850000000000001
1620.0,12.700000000000001
1665.0,12.600000000000001
1710.0,12.5
1755.0,12.450000000000001
1800.0,12.350000000000001
1845.0,12.25
1890.0,12.15
1935.0,12.05
1980.0,12.0
2025.0,11.9
2070.0,11.8
2115.0,11.75
2160.0,11.65
2205.0,11.55
2250.0,10.8
2565.0,10.350000000000001
2610.0,10.4
2655.0,10.350000000000001
2700.0,10.200000000000001
2835.0,10.100000000000001
2880.0,10.05
2925.0,10.0
2970.0,9.950000000000001
3015.0,9.9
3060.0,9.850000000000001
3105.0,9.850000000000001
3150.0,9.8
3195.0,9.8
3330.0,9.65
3375.0,9.65
3420.0,9.600000000000001
3465.0,9.600000000000001
3600.0,9.5
3645.0,9.450000000000001
3690.0,9.450000000000001
3780.0,9.4
3825.0,9.35
4095.0,9.15
4140.0,9.15
4500.0,8.950000000000001
