Mi,t_convergence (weeks)
0.0,41.75
1000.0,45.900000000000006
2000.0,54.400000000000006
3000.0,63.900000000000006
4000.0,87.85000000000001
5000.0,122.0
6000.0,191.35000000000002
23000.0,138.4
24000.0,88.65
25000.0,53.25
26000.0,54.900000000000006
27000.0,56.45
28000.0,57.6
29000.0,58.25
30000.0,58.25
31000.0,57.800000000000004
32000.0,57.1
33000.0,56.300000000000004
34000.0,55.5
35000.0,54.7
36000.0,53.95
37000.0,53.25
38000.0,52.650000000000006
39000.0,52.150000000000006
40000.0,51.7
41000.0,51.300000000000004
42000.0,50.95
43000.0,50.650000000000006
44000.0,50.400000000000006
45000.0,50.1
46000.0,49.900000000000006
47000.0,49.650000000000006
48000.0,49.45
49000.0,49.25
50000.0,49.050000000000004
51000.0,48.85
52000.0,48.7
53000.0,48.550000000000004
54000.0,48.35
55000.0,48.2
56000.0,48.1
57000.0,47.95
58000.0,47.800000000000004
59000.0,47.7
60000.0,47.550000000000004
61000.0,47.45
62000.0,47.35
63000.0,47.2
64000.0,47.1
65000.0,47.0
66000.0,46.900000000000006
67000.0,46.85
68000.0,46.75
69000.0,46.650000000000006
70000.0,46.550000000000004
71000.0,46.5
72000.0,46.400000000000006
73000.0,46.35
74000.0,46.25
75000.0,46.2
76000.0,46.1
77000.0,46.050000000000004
78000.0,46.0
79000.0,45.900000000000006
80000.0,45.85
81000.0,45.800000000000004
82000.0,45.75
83000.0,45.7
84000.0,45.650000000000006
85000.0,45.550000000000004
86000.0,45.5
87000.0,45.45
88000.0,45.400000000000006
89000.0,45.35
90000.0,45.300000000000004
91000.0,45.300000000000004
92000.0,45.25
93000.0,45.2
94000.0,45.150000000000006
95000.0,45.1
96000.0,45.050000000000004
97000.0,45.0
98000.0,45.0
99000.0,44.95
100000.0,44.900000000000006
