Ni,t_convergence (weeks)
0.0,79.35000000000001
1.0,79.30000000000001
2.0,79.25
3.0,79.15
4.0,79.10000000000001
5.0,79.0
6.0,78.95
7.0,78.85000000000001
8.0,78.80000000000001
9.0,78.7
10.0,78.60000000000001
11.0,78.55000000000001
12.0,78.45
13.0,78.35000000000001
14.0,78.25
15.0,78.15
16.0,78.05000000000001
17.0,77.95
18.0,77.85000000000001
19.0,77.75
20.0,77.65
21.0,77.55000000000001
22.0,77.45
23.0,77.30000000000001
24.0,77.2
25.0,77.10000000000001
26.0,76.95
27.0,76.85000000000001
28.0,76.7
29.0,76.60000000000001
30.0,76.45
31.0,76.3
32.0,76.2
33.0,76.05
34.0,75.9
35.0,75.75
36.0,75.60000000000001
37.0,75.5
38.0,75.35000000000001
39.0,75.2
40.0,75.05
41.0,74.9
42.0,74.75
43.0,74.60000000000001
44.0,74.5
45.0,74.35000000000001
46.0,74.2
47.0,74.05
48.0,73.9
49.0,73.8
50.0,73.65
51.0,73.5
52.0,73.4
53.0,73.25
54.0,73.15
55.0,73.0
56.0,72.9
57.0,72.8
58.0,72.65
59.0,72.55
60.0,72.45
61.0,72.35000000000001
62.0,72.2
63.0,72.10000000000001
64.0,72.0
65.0,71.9
66.0,71.8
67.0,71.7
68.0,71.60000000000001
69.0,71.5
70.0,71.4
71.0,71.3
72.0,71.25
73.0,71.15
74.0,71.05
75.0,70.95
76.0,70.85000000000001
77.0,75.85000000000001
78.0,75.85000000000001
79.0,75.8
80.0,75.75
81.0,75.7
82.0,75.65
83.0,75.60000000000001
84.0,75.55
85.0,75.45
86.0,75.4
87.0,75.35000000000001
88.0,75.3
89.0,75.25
90.0,75.2
91.0,75.15
92.0,75.05
93.0,75.0
94.0,74.95
95.0,74.9
96.0,74.85000000000001
97.0,74.8
98.0,74.75
99.0,74.7
100.0,74.65
