Ri,t_convergence (weeks)
0.0,255.65
1.0,255.65
2.0,255.65
3.0,255.65
4.0,255.65
5.0,255.65
6.0,255.65
7.0,255.65
8.0,255.65
9.0,255.65
10.0,255.65
11.0,255.65
12.0,255.65
13.0,255.65
14.0,255.65
15.0,255.65
16.0,255.65
17.0,255.65
18.0,255.65
19.0,255.65
20.0,255.65
21.0,255.65
22.0,255.65
23.0,255.65
24.0,255.65
25.0,255.65
26.0,255.65
27.0,255.65
28.0,255.65
29.0,255.65
30.0,255.65
31.0,255.65
32.0,255.65
33.0,255.65
34.0,255.65
35.0,255.65
36.0,255.65
37.0,255.65
38.0,255.65
39.0,255.65
40.0,255.65
41.0,255.65
42.0,255.65
43.0,255.65
44.0,255.65
45.0,255.65
46.0,255.65
47.0,255.65
48.0,255.65
49.0,255.65
50.0,255.65
51.0,255.65
52.0,255.65
53.0,255.65
54.0,255.65
55.0,255.65
56.0,255.65
57.0,255.65
58.0,255.65
59.0,255.65
60.0,255.65
61.0,255.65
62.0,255.65
63.0,255.65
64.0,255.65
65.0,255.65
66.0,255.65
67.0,255.65
68.0,255.65
69.0,255.65
70.0,255.65
71.0,255.65
72.0,255.65
73.0,255.65
74.0,255.65
75.0,255.65
76.0,255.65
77.0,255.65
78.0,255.65
79.0,255.65
80.0,255.65
81.0,255.65
82.0,255.65
83.0,255.65
84.0,255.65
85.0,255.65
86.0,255.65
87.0,255.65
88.0,255.65
89.0,255.65
90.0,255.65
91.0,255.65
92.0,255.65
93.0,255.65
94.0,255.65
95.0,255.65
96.0,255.65
97.0,255.65
98.0,255.65
99.0,255.65
100.0,255.65
